date,bull,bigBull,cancelSell,bear,bigBear,cancelBuy
2019-12-02,61700,20900,100,26600,0,0
2019-12-03,32100,0,2000,15100,0,0
2019-12-04,26500,0,0,44000,10000,0
2019-12-05,35700,0,5200,28700,0,5000
2019-12-06,56000,13600,100,33100,0,0
2019-12-09,171250,101400,3000,42150,12600,0
2019-12-10,73700,11000,0,19900,0,3000
2019-12-11,29600,0,100,21100,0,200
2019-12-12,62550,25400,5200,44750,25000,0
2019-12-13,32750,0,0,24750,0,0
2019-12-16,26200,0,0,40300,0,0
2019-12-17,44900,35000,0,9000,0,0
2019-12-18,51250,18900,1000,20250,0,0
2019-12-19,75800,16000,6100,24700,0,0
2019-12-20,43000,14400,12800,25800,14400,5000
2019-12-23,29500,0,1500,27700,11000,100
2019-12-24,59050,0,0,32750,0,0
2019-12-25,44050,0,0,40450,0,5900
2019-12-26,38100,0,500,25400,0,0
2019-12-27,86150,9100,400,49050,0,0
2019-12-30,50800,0,1000,37100,14200,4300
2019-12-31,32550,0,0,25950,0,100
2020-01-02,66300,0,1600,27900,0,0
2020-01-03,40150,0,100,21550,10600,0
2020-01-06,20600,0,0,28000,14300,0
2020-01-07,53400,11500,0,31000,8900,0
2020-01-08,58900,10000,0,16700,0,100
2020-01-09,30900,0,6500,18900,0,2000
2020-01-10,30650,0,800,27250,0,700
2020-01-13,119200,44000,5300,47300,9200,2300
2020-01-14,97500,9400,100,37400,0,0
2020-01-15,26200,0,0,13700,0,100
2020-01-16,65950,36100,1200,63750,48300,9600
2020-01-17,53250,10000,5100,29650,0,0
2020-01-20,96950,29100,1000,36650,0,0
2020-01-21,55950,0,7300,37750,0,9400
2020-01-22,54600,10000,4700,26300,12900,0
2020-01-30,34750,0,900,20050,0,900
2020-01-31,33400,0,2000,28000,0,1000
2020-02-03,28600,0,0,50200,12400,0
2020-02-04,29700,0,100,38800,18500,0
2020-02-05,32300,0,0,22200,0,0
2020-02-06,36600,0,0,25900,8500,2400
2020-02-07,40150,0,0,43250,8900,100
2020-02-10,43900,0,1300,16300,0,1200
2020-02-11,43750,0,3000,28450,9600,0
2020-02-12,39900,0,300,16900,0,3300
2020-02-13,44500,0,100,21700,0,600
2020-02-14,291700,79200,9000,213200,65400,16700
2020-02-17,84150,0,4200,83650,21400,1000
2020-02-18,63750,10000,5800,65750,38500,0
2020-02-19,96600,34000,6600,62100,21400,6000
2020-02-20,85050,20000,4600,43250,11800,8000
2020-02-21,37700,0,1100,14000,0,0
2020-02-24,29200,10000,0,34600,8400,0
2020-02-25,43200,0,12500,42200,9400,0
2020-02-26,35500,0,0,21200,0,0
2020-02-27,45000,27700,0,33800,0,4200
2020-02-28,70000,18700,1000,50700,12500,5300
2020-03-02,48300,0,1000,19600,0,0
2020-03-03,286750,75000,2200,203050,76500,10100
2020-03-04,118800,15300,12900,195000,107700,4100
2020-03-05,133150,48000,2800,101350,42000,2100
2020-03-06,127300,18000,29600,131600,41800,12200
2020-03-09,178300,61900,26800,153400,61800,8900
2020-03-10,527444,84900,19300,318456,74000,12300
2020-03-11,336800,84400,6400,168900,75100,500
2020-03-12,249900,88000,7900,101100,18000,1000
2020-03-13,116000,55700,2500,99800,10500,10100
2020-03-17,96550,59100,500,32650,0,0
2020-03-18,177400,26100,3600,156200,71800,4400
2020-03-19,47890,23600,2100,26110,0,0
2020-03-20,67350,14600,0,32950,8600,0
2020-03-23,4950,0,0,6350,0,0
2020-03-24,44100,13600,200,20800,0,0
2020-03-25,100350,15000,13000,80050,46200,1700
2020-03-26,38750,0,3000,35550,16700,0
2020-03-27,59050,9500,27300,66750,27000,0
2020-03-30,72200,7900,2100,59100,8100,12500
2020-03-31,95100,17700,3200,56500,21900,8000
2020-04-01,66300,47200,0,34300,12000,0
2020-04-02,51400,51400,0,51400,51400,0
2020-04-03,97050,18800,1900,39450,0,1200
2020-04-06,42000,0,2600,33800,8700,0
2020-04-07,66800,26900,4300,41000,0,1500
2020-04-08,31900,0,1000,23300,7900,500
2020-04-09,67600,0,4000,38100,7600,2100
2020-04-10,82250,0,4000,54950,10600,300
2020-04-13,82600,0,800,38600,10200,200
2020-04-14,61950,0,3100,14450,0,6800
2020-04-15,53200,0,11000,32600,0,4300
2020-04-16,48950,0,4700,8650,0,11000
2020-04-17,55350,0,5000,19050,0,12000
2020-04-20,71100,0,8200,28500,0,5400
2020-04-21,43700,0,600,41900,0,2100
2020-04-22,83250,0,2800,20550,0,3500
2020-04-23,47850,0,200,14850,0,3200
2020-04-24,45000,0,8300,21000,0,2000
2020-04-27,106900,0,1900,16100,0,2100
2020-04-28,47250,0,4800,3850,0,0
2020-04-29,30450,0,0,15950,0,0
2020-05-04,41600,0,2400,9800,0,500
2020-05-05,53750,0,1900,11250,0,2500
