Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2014,4,41820690459,0,41820690459,-42815977235,-995286776,4830070669,-879526591,-100632441,0,-4314041406,-1358784104,16801750,-188658621,-171856871,0,-1530640975,-813487798,0,-813487798,-2344128773,0,-2344128773,0,0
2015,1,10586413525,0,10586413525,-6672177187,3914236338,63345040,-913728723,-913728723,0,-3797915430,-734062775,3546656765,-4124122,3542532643,0,2808469868,-374490410,0,-374490410,2433979458,165936110,2268043348,570,0
2015,2,47829898253,0,47829898253,-44473808220,3356090033,58928055,-498346298,-498346298,0,-2173786748,742885042,3823437,-45220372,-41396935,0,701488107,-260477555,0,-260477555,441010552,-43859321,484869873,68,0
2015,3,57139179891,0,57139179891,-51489265288,5649914603,5531778450,-1013761163,-985720610,0,-2632640007,7535291883,1284886882,-2863268,1282023614,0,8817315497,-1433844745,45523784,-1388320961,7428994536,355465909,7073528627,356,0
2015,4,7371997111,0,7371997111,-5536059940,1835937171,89015106,-433657393,-393933422,0,-2778850164,-1287555280,7754715241,-116637896,7638077345,0,6350522065,-1927002876,0,-1927002876,4423519189,-44982961,4468502150,76,0
2016,1,52837007102,0,52837007102,-41531015305,11305991797,124614675,-1259035463,-1259035463,0,-2610358748,7561212261,0,-15700000,-15700000,0,7545512261,-1624941147,0,-1624941147,5920571114,127532911,5793038203,242,0
2016,2,64031872490,0,64031872490,-53317316975,10714555515,23124625,-405628833,-405628833,0,-2649979320,7682071987,2158718699,-2967727,2155750972,0,9837822959,-1745141296,0,-1745141296,8092681663,181964498,7910717165,264,0
2016,3,81163963886,0,81163963886,-74331037276,6832926610,148702779,-696330015,-680006961,0,-3793659648,2491639726,-43737048,-401302684,-445039732,0,2046599994,-834331485,0,-834331485,1212268509,-258281412,1470549921,49,0
2016,4,71012886913,0,71012886913,-61689445119,9323441794,503058254,-487614465,-37333333,0,-2182274365,7156611218,0,-116990111,-116990111,0,7039621107,-1463087507,0,-1463087507,5576533600,-25074220,5601607820,177,0
2017,1,65231837267,0,65231837267,-59481125484,5750711783,16486563233,25132424,-985641382,0,-3399860916,20001965154,449896300,-416407000,33489300,0,20035454454,-3635389193,0,-3635389193,16400065261,349504337,16050560924,525,0
2017,2,86072253913,-140166400,85932087513,-79604512855,6327574658,4017433897,-344924529,-344924529,0,-2525457695,7474626331,368100000,-156706,367943294,0,7842569625,-1568545266,0,-1568545266,6274024359,40277312,6233747047,197,0
2017,3,159097874064,-4284173,159093589891,-152098794643,6994795248,2934650690,-203947787,-203947787,0,-3283972999,6441525152,334666857,-696342354,-361675497,0,6079849655,-1198641949,11498378,-1187143571,4892706084,138880780,4753825304,152,0
2017,4,92154935176,0,92154935176,-85533454727,6621480449,3252916,-355344250,-355344250,0,-2945723455,3323665660,36458031,-204451623,-167993592,0,3155672068,-774837945,0,-774837945,2380834123,19401704,2361432419,75,0
2018,1,227086198245,-4284173,227081914072,-216581149477,10500764595,5090256204,-7982709628,-903131431,0,-7212674481,395636690,586218957,-885020261,-298801304,0,96835386,-2718113120,0,-2718113120,-2621277734,250958041,-2872235775,0,0
2018,2,75316550224,0,75316550224,-70379662849,4936887375,2914068,-353656318,-353656318,0,-2860037324,1726107801,0,0,0,0,1726107801,-373130232,0,-373130232,1352977569,0,1352977569,0,0
2018,3,71155338018,0,71155338018,-70352638024,802699994,760093,387975111,-373665374,0,-2875092029,-630132368,9653274,-804066534,-794413260,0,-1424545628,-171496077,647783677,476287600,-948258028,-57409653,-890848375,0,0
2018,4,108521121705,0,108521121705,-103490438244,5030683461,38162285,-460000693,-460000693,0,-3570846249,1615410992,54731679,-1424191,53307488,0,1668718480,-219177540,0,-219177540,1449540940,-77968640,1527509580,27,0
2019,1,42412032868,-170602,42411862266,-39250119928,3161742338,2667720086,-5494560456,-1164490664,0,-1092268953,-1170122803,199332905,-656428711,-457095806,0,-1627218609,-4875619,520062515,515186896,-1112031713,-131757984,-980273729,-24,0
2019,2,106060617125,0,106060617125,-101396036345,4664580780,568806844,1180466663,-585660214,0,-4111085091,2888429410,10416,-2146200,-2135784,0,2886293626,-460546674,0,-460546674,2425746952,7876120,2417870832,42,0
2019,3,73110169596,0,73110169596,-69736388105,3373781491,-40825388,2187710908,-590706700,0,-4602217409,652980313,3540000,-3063714,476286,0,653456599,-221816346,88866216,-132950130,520506469,-22902009,543408478,9,0
2019,4,64407318307,0,64407318307,-61359074510,3048243797,26802229799,-594511598,-594511598,0,-14255320170,15179045834,308215,-277314503,-277006288,0,14902039546,-2972557160,-226895886,-3199453046,11702586500,-309021052,12011607552,204,0
2020,1,93846870966,0,93846870966,-89871794017,3975076949,-21362313250,-9960994824,-4531962036,0,-8124989682,-35892884372,203305733,-65400227,137905506,0,-35754978866,676429754,289940737,966370491,-34788608375,681543695,-35470152070,-601,0
