Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2014,4,514669112662,117266822561,11266822561,106000000000,72000000000,72000000000,0,229869032811,122033934936,14244804090,0,108634516399,4903124344,-19947346958,78359917275,79551207284,-1191290009,17173340015,162132506,33434400,277687291,16700085818,69822519088,0,0,0,0,0,38843150688,34834858989,63954200719,-29119341730,0,0,0,4008291699,7430634903,-3422343204,0,0,0,0,29949081813,0,16236726359,16076544944,-2364189490,1030286587,1018379570,0,11907017,0,584491631750,205909834527,204012532839,632482996,44125547697,47660130253,2007506710,2110775443,1954505057,59839242,0,105460861940,883501,1897301688,0,0,739000000,0,0,0,1158301688,378581797223,378581797223,225590300000,136237470000,0,-19010756592,0,0,12788285298,6840705686,0,16135792831,0,0,0,0,584491631750
2015,1,433517050024,106232995348,55072995348,51160000000,72000000000,72000000000,0,201623150594,55635523965,5365736632,0,113170293941,27862958103,-411362047,52341269054,54254294122,-1913025068,1319635028,248141249,491051694,580442084,1,81855087291,4164358979,21777436141,0,1235972188,-18849049350,48401878596,34084485261,62284295844,-28199810583,0,0,0,3838307661,7430634903,-3592327242,10479085674,0,0,0,28511873402,0,23500000000,15076544944,-10064671542,776976314,776976314,0,0,0,515372137315,137541633435,107120414167,0,12888394316,15528377255,549206455,1073950012,1648626290,0,0,74845238070,586621416,30421219268,0,0,9368761437,1118447996,0,0,0,377830503880,377830503880,225590300000,136237470000,0,-19010756592,0,0,19628990984,0,0,15384499488,0,0,0,0,515372137315
2015,2,491057061504,44827357793,19777357793,25050000000,72000000000,72000000000,0,254817158074,63080055828,11420508560,0,120085669853,82590512763,-22665786088,112989203008,113903153441,-913950433,6423342629,647952522,4873282449,902107658,0,75303844865,22130008,0,0,22130008,0,37206078475,33524591748,64797518332,-31272926584,0,0,0,3681486727,7445612093,-3764125366,0,0,0,0,30218592135,0,18166522039,15076544944,-3024474848,1795459506,649038313,815879813,330541380,0,566360906369,210423013716,185013563026,45200000,54662030024,48569870627,272206420,215065739,1878431446,0,0,77896708824,0,25409450690,0,0,832249600,0,4408384466,0,587504917,355937892653,355937892653,225590300000,136237470000,0,-19010756592,0,0,19628990984,0,0,-6235165638,0,0,0,0,566360906369
2015,3,569674874583,29805058216,19755058216,10050000000,72000000000,0,0,367729230022,152966085715,33551246088,0,119388566403,86339350616,-24816018800,96405056239,98060909067,-1655852828,3735530106,263049115,2877875852,594605139,0,81133315105,310041380,0,0,310041380,0,36706071681,33201370297,63404761286,-30203390989,0,0,0,3504701384,7430634903,-3925933519,0,0,0,0,31352029942,0,18166522039,15076544944,-1891037041,1686259391,870379578,815879813,0,0,650808189688,296398248089,270491193438,0,121795953044,66536824961,678897725,282750570,1013615161,0,0,78677472963,0,25907054651,0,0,832249600,0,5146316555,0,587504917,354409941599,354409941599,225590300000,136237470000,0,-19010756592,0,0,19628990984,0,0,-8036062793,0,0,0,0,650808189688
2015,4,473674876550,145686298646,9906298646,135780000000,0,0,0,276894743015,183301017814,19611365679,0,75219108693,21601551147,-24338300318,49912412761,50826363194,-913950433,1181422128,521269153,206307618,453845357,0,57273020424,325041380,0,0,325041380,0,35629227087,32290372245,63404761286,-31114389041,0,0,0,3338854842,7430634903,-4091780061,0,0,0,0,19944509872,0,15775732392,6764044944,-2595267464,1374242085,522354945,851887140,0,0,530947896974,153970636036,132615710618,14652854596,40114771091,53831314300,9811122788,8714221128,1008147027,0,-55172389,3127659565,0,21354925418,0,55172389,728549600,-1118447991,0,0,2813735969,376977260938,376977260938,225590300000,136237470000,0,-19010756592,0,0,19628990984,0,0,14531256546,0,0,0,0,530947896974
2016,1,531010839273,135635386327,69263286327,66372100000,0,0,0,256802875376,175308290794,1944373727,0,77030832912,23539737665,-23020359722,64244806060,65130355886,-885549826,74327771510,254054331,1488835770,584881409,72000000000,64791395650,323304000,0,0,323304000,0,34944424482,31760844046,65693801983,-33932957937,0,0,0,3183580436,7445612093,-4262031657,0,0,0,0,21393991947,0,17542121235,7264044944,-3412174232,1447313791,677201439,770112352,0,0,595802234923,218190105384,197953530872,24253852005,43064433413,47655513752,1837981839,1503885414,20806154,0,0,78206265782,0,20236574512,0,0,728549600,0,0,0,984807590,377612129539,377612129539,225590300000,136237470000,0,-19010756592,0,0,19628990984,0,0,15439035248,0,0,0,0,595802234923
2016,2,476964680958,111617402748,7617402748,104000000000,15212100000,0,0,237435318109,118270543329,5227929813,0,77447741150,58059008107,-23569904290,39884727196,40770277022,-885549826,72815132905,0,230251496,584881409,72000000000,64387458179,300304000,0,0,300304000,0,33856178782,30838444886,65766433483,-34927988597,0,0,0,3017733896,7445612093,-4427878197,0,0,0,0,22186091024,0,18334220312,7264044944,-3412174232,1362522943,794641894,567881049,0,0,541352139137,185620496502,164809953875,10719445400,20846611423,50997809607,1733959313,778413353,24340000,0,0,78298582267,0,20810542627,0,0,817949600,0,0,0,1822073833,355731642635,355731642635,225590300000,136237470000,0,-19010756592,0,0,19628990984,0,0,-6438511653,0,0,0,0,541352139137
2016,3,505359230256,150787410852,95787410852,55000000000,15212100000,0,0,213785361552,111435001098,15561762445,0,77910567833,30328616608,-23450586432,52660441956,53545991782,-885549826,72913915896,0,329034487,584881409,72000000000,63662698090,301104000,0,0,301104000,0,32879814929,29973705518,63774722564,-33801017046,0,0,0,2906109411,7500392093,-4594282682,0,0,0,0,22376167219,0,18334220312,7264044944,-3222098037,1420646420,776254360,644392060,0,0,569021928346,213885873447,193377817937,4273505,31938221755,81727381244,359172895,186596589,41502400,0,2468886896,77709877037,0,20508055510,0,0,791649600,0,76511011,0,1822073833,355136054899,355136054899,225590300000,136237470000,0,-19010756592,0,0,19628990984,0,0,-7037039392,0,0,0,0,569021928346
2017,1,482004891127,98282208665,83282208665,15000000000,212100000,0,0,247334432979,94008116486,20658464725,0,90696921092,42681542878,-1710612202,61876669888,62357735499,-481065611,74299479595,0,1591641834,707837761,72000000000,36126878002,257581000,0,0,257581000,0,15695289182,13125597797,41831338517,-28705740720,0,0,0,2569691385,7500392093,-4930700708,0,0,0,0,18817989774,0,15752409359,7264044944,-4198464529,1034718046,601569199,433148847,0,0,518131769129,191441499294,188977773345,71467500,40682230295,66898612228,550804227,70786063,150418773,0,0,80255596259,0,2463725949,0,0,838492000,0,0,0,1625233949,326690269835,326690269835,225590300000,136237470000,0,-60144990832,0,0,19628990984,0,0,5651409784,0,0,0,0,518131769129
2017,2,542801453008,98150239695,9150239695,89000000000,212100000,0,0,273318108895,117070863213,9161313863,0,93972687694,53833151223,-1719907098,96196987045,96678052656,-481065611,74924017373,0,2326592439,597424934,72000000000,32535856153,248023000,0,0,248023000,0,15262662467,12867787679,44032749436,-31164961757,0,0,0,2394874788,7500392093,-5105517305,0,0,0,0,16416093729,0,13350513314,7264044944,-4198464529,609076957,609076957,0,0,0,575337309161,245794356684,244002724208,21745480389,81541692587,62092933658,531495792,148338353,41502400,0,0,77603423029,0,1791632476,0,0,900332622,0,160572001,0,730727853,329542952477,329542952477,225590300000,136237470000,0,-60144990832,0,0,19628990984,0,0,8507032429,0,0,0,0,575337309161
