date,open,high,low,close,volume,unadjusted,putthrough
2009-06-25,10.0600,10.0600,9.0700,9.2900,10600,29.0000,0
2009-06-26,9.2900,9.2900,8.4300,8.4600,9870,26.4000,0
2009-06-29,8.0100,9.2900,7.6300,7.6200,12546,23.8000,0
2009-06-30,7.0400,7.3600,7.0400,7.0500,17201,22.0000,0
2009-07-01,6.3400,6.4100,6.3400,6.3400,39225,19.8000,0
2009-07-02,5.7300,6.4000,5.7300,6.4100,14996,20.0000,0
2009-07-03,6.8900,6.9900,6.8900,6.8900,4200,21.5000,0
2009-07-06,7.5600,7.5600,7.5600,7.5600,5528,23.6000,0
2009-07-07,7.3000,7.5600,7.3000,7.5600,300,23.6000,0
2009-07-08,7.5300,7.5300,7.3700,7.3700,5150,23.0000,0
2009-07-09,7.0500,7.3700,7.0500,7.3700,11137,23.0000,0
2009-07-10,7.0500,7.7500,7.0500,7.7500,25792,24.2000,0
2009-07-13,8.0100,8.1000,7.6900,7.8500,2826,24.5000,0
2009-07-14,8.0100,8.0100,7.6900,7.8800,8730,24.6000,0
2009-07-15,7.4300,8.3300,7.4300,8.0100,14162,25.0000,0
2009-07-16,8.3300,8.4900,8.0100,8.4900,17860,26.5000,0
2009-07-17,8.0100,8.0100,7.8500,8.0100,14400,25.0000,0
2009-07-20,7.6900,7.6900,7.5300,7.5300,14282,23.5000,0
2009-07-21,8.0100,8.0100,8.0100,8.0100,1200,25.0000,0
2009-07-22,8.8100,8.8100,7.2400,7.2400,20,22.6000,0
2009-07-23,7.4600,8.1700,7.4600,8.1700,4000,25.5000,0
2009-07-24,8.3300,8.8700,7.2700,8.8700,45884,27.7000,0
2009-07-27,9.5700,9.5700,9.2500,9.5800,44202,29.9000,0
2009-07-28,8.6500,8.7500,8.6500,8.7400,25176,27.3000,0
2009-07-29,9.2800,9.2800,8.2600,8.2600,3580,25.8000,0
2009-07-30,8.5800,8.5800,8.0400,8.4600,5900,26.4000,0
2009-07-31,9.0400,9.0400,8.3600,9.0300,1870,28.2000,0
2009-08-03,8.8100,8.8100,8.8100,8.8100,200,27.5000,0
2009-08-04,9.6700,9.6700,8.3900,9.2900,35571,29.0000,0
2009-08-05,10.0300,10.0300,9.2900,9.6100,57718,30.0000,0
