date,open,high,low,close,volume,unadjusted,putthrough
2017-06-22,10.2993,10.2993,10.2993,10.2993,1900,14.2500,0
2017-06-23,10.9859,10.9859,10.9859,10.9859,1000,15.2000,140000
2017-06-26,11.7448,11.7448,11.7448,11.7448,2900,16.2500,290000
2017-06-27,12.5398,12.5398,12.5398,12.5398,5900,17.3500,0
2017-06-28,13.4071,13.4071,13.4071,13.4072,1000,18.5500,0
2017-06-29,14.3107,14.3107,14.3107,14.3106,1000,19.8000,0
2017-06-30,15.2863,15.2863,15.2863,15.2863,120000,21.1500,0
2017-07-03,16.3343,16.3343,16.3343,16.3343,34000,22.6000,150000
2017-07-04,17.4546,17.4546,17.3462,17.4546,1607600,24.1500,0
2017-07-05,18.5026,18.6472,16.9848,17.8160,451610,24.6500,179000
2017-07-06,17.2017,17.6353,16.9848,16.9848,298690,23.5000,0
2017-07-07,16.1175,16.9848,15.8284,16.0452,413280,22.2000,0
2017-07-10,16.0452,17.0932,15.1779,16.6234,253850,23.0000,200000
2017-07-11,17.0571,17.5630,16.2620,17.5630,251850,24.3000,30000
2017-07-12,17.9244,18.1412,17.5630,18.1412,338380,25.1000,0
2017-07-13,18.1412,19.4060,17.9244,19.4060,537250,26.8500,0
2017-07-14,20.7431,20.7431,18.0689,18.0689,768850,25.0000,100000
2017-07-17,18.9362,19.3337,18.9362,19.3338,502100,26.7500,0
2017-07-18,19.7313,19.7313,18.8640,18.8640,250250,26.1000,0
2017-07-19,18.8640,19.4422,18.7917,19.2254,269890,26.6000,0
2017-07-20,19.5145,20.1650,19.2254,20.1649,354920,27.9000,40000
2017-07-21,20.2372,20.8154,19.2976,20.7431,538020,28.7000,0
2017-07-24,20.6708,20.6708,20.2372,20.4540,222900,28.3000,0
2017-07-25,19.9481,20.9599,19.9481,20.5263,333870,28.4000,0
2017-07-26,20.8154,20.8154,20.2733,20.5986,313080,28.5000,0
2017-07-27,20.6709,21.0684,20.4540,20.9600,342130,29.0000,0
2017-07-28,20.9600,21.9719,20.9600,21.5020,393290,29.7500,0
2017-07-31,21.5020,21.9718,21.5020,21.8273,286910,30.2000,0
2017-08-01,21.8273,22.0080,21.7550,21.8273,228960,30.2000,0
2017-08-02,21.8273,21.8996,21.2491,21.8273,279880,30.2000,0
2017-08-03,21.9719,22.0441,21.7550,21.8634,273590,30.2500,0
2017-08-04,22.1164,22.1164,21.3213,21.5382,210970,29.8000,0
2017-08-07,21.6105,21.6105,20.8877,20.8877,336310,28.9000,0
2017-08-08,20.8154,21.9718,20.8154,21.7550,492620,30.1000,65000
2017-08-09,21.8273,21.8273,21.1045,21.3936,217460,29.6000,0
2017-08-10,21.3936,21.8273,21.3213,21.5382,225670,29.8000,0
2017-08-11,22.0329,22.0329,21.6143,21.8425,237720,28.7000,0
2017-08-14,21.9567,22.3752,21.9567,22.2231,312730,29.2000,0
2017-08-15,22.1470,22.3373,21.9187,22.1470,301600,29.1000,0
2017-08-16,22.0709,22.1851,21.6904,22.1850,330480,29.1500,0
2017-08-17,22.1850,22.1850,21.9947,22.0709,274300,29.0000,0
2017-08-18,22.0709,22.0709,21.6904,22.0709,203250,29.0000,0
2017-08-21,22.0709,23.5169,21.9187,23.1363,598260,30.4000,0
2017-08-22,23.1363,23.8213,23.0602,23.5169,264800,30.9000,0
2017-08-23,23.9735,23.9735,23.2886,23.5169,196980,30.9000,0
2017-08-24,23.5930,23.5930,23.2886,23.5169,252100,30.9000,0
2017-08-25,23.5550,23.5930,23.2886,23.4408,199080,30.8000,0
2017-08-28,23.5169,23.5169,23.2886,23.4408,243370,30.8000,0
2017-08-29,23.3647,23.5930,23.0603,23.4408,149380,30.8000,0
2017-08-30,23.4408,23.4408,22.9842,23.2124,108560,30.5000,0
2017-08-31,23.2885,23.3646,22.6797,22.8319,145570,30.0000,0
2017-09-01,23.2505,23.2505,22.8319,23.1363,595700,30.4000,0
2017-09-05,23.0602,23.2124,22.8319,23.1363,511130,30.4000,0
2017-09-06,23.2124,23.2124,22.7558,22.7558,369920,29.9000,0
