date,open,high,low,close,volume,unadjusted,putthrough
2017-02-28,23.1973,23.1973,23.1973,23.1973,300,33.6000,0
2017-03-01,26.6493,26.6493,26.6493,26.6492,200,38.6000,0
2017-03-02,30.5844,30.5844,30.5844,30.5845,200,44.3000,0
2017-03-03,35.1411,35.1411,35.1411,35.1411,200,50.9000,0
2017-03-06,40.3881,40.3881,40.3881,40.3881,100,58.5000,0
2017-03-07,46.3945,46.3945,46.3945,46.3945,100,67.2000,0
2017-03-09,46.3945,46.3945,46.3945,46.3945,500,67.2000,0
2017-03-10,39.4906,39.4906,39.4906,39.4906,100,57.2000,0
2017-03-13,39.4906,39.4906,33.6222,33.6222,600,48.7000,0
2017-03-27,31.9653,31.9653,31.9653,31.9653,1100,46.3000,0
2017-04-05,27.2016,27.2016,27.2016,27.2016,100,39.4000,0
2017-04-07,23.1283,23.1283,23.1283,23.1282,100,33.5000,0
2017-04-10,19.6762,19.6762,19.6762,19.6762,100,28.5000,0
2017-04-13,16.7765,16.7765,16.7765,16.7766,100,24.3000,0
2017-04-14,14.2912,14.2912,14.2912,14.2912,100,20.7000,0
2017-05-05,16.4314,16.4314,16.4314,16.4314,100,23.8000,0
2017-05-09,18.8478,18.8478,14.1531,14.1531,200,20.5000,0
2017-05-10,18.9168,18.9168,18.9168,18.9168,100,27.4000,0
2017-05-11,21.7474,21.7474,21.7474,21.7474,100,31.5000,0
2017-05-12,24.9923,24.9923,24.9923,24.9923,100,36.2000,0
2017-05-15,28.7204,28.7204,28.7204,28.7204,900,41.6000,0
2017-05-16,33.0008,33.0008,31.7581,31.7582,300,46.0000,0
2017-05-17,36.9362,36.9362,36.9362,36.9361,100,53.5000,0
2017-06-07,31.4470,31.4470,31.4470,31.4470,100,44.7000,0
2017-06-08,26.7335,27.4370,26.7335,27.4370,300,39.0000,0
2017-06-09,30.9546,30.9546,22.9345,28.1405,500,40.0000,0
2017-06-12,30.5324,30.5324,30.5324,30.5324,100,43.4000,0
2017-06-13,35.0349,35.0349,26.0299,26.0300,500,37.0000,0
2017-06-14,23.7084,23.7084,23.7084,23.7084,100,33.7000,0
2017-06-15,27.2260,27.2260,27.2260,27.2259,300,38.7000,0
2017-06-16,31.3063,31.3063,31.3063,31.3063,100,44.5000,0
2017-06-20,35.9495,35.9495,27.7887,27.7887,200,39.5000,0
2017-06-22,27.1556,35.1053,27.1556,27.1556,400,38.6000,0
2017-06-23,24.8340,24.8340,24.8340,24.8340,100,35.3000,0
2017-06-28,28.1405,28.1405,21.1757,28.1405,300,40.0000,0
2017-06-29,21.9496,21.9496,21.9496,21.9496,100,31.2000,0
2017-06-30,25.1858,25.1858,25.1858,25.1857,100,35.8000,0
2017-07-04,21.8088,21.8088,21.8088,21.8089,4746,31.0000,0
2017-07-05,20.4019,25.0451,20.4019,25.0450,700,35.6000,500
2017-07-06,24.9746,24.9746,21.8088,21.8089,200,31.0000,0
2017-07-07,26.8742,26.8742,26.8742,26.8742,100,38.2000,0
2017-07-11,30.8842,30.8842,30.8842,30.8842,100,43.9000,0
2017-07-13,35.4570,35.4570,35.4570,35.4570,100,50.4000,0
2017-07-17,30.1807,30.1807,30.1807,30.1807,200,42.9000,0
2017-07-18,34.6832,34.6832,25.6782,25.6782,200,36.5000,0
2017-07-21,34.6832,34.6832,34.6832,34.6832,100,49.3000,0
2017-07-26,39.8188,39.8188,29.5476,29.5475,600,42.0000,0
2017-07-28,26.5927,26.5927,26.5927,26.5928,100,37.8000,0
2017-08-03,22.6531,22.6531,22.6531,22.6531,200,32.2000,0
2017-08-07,26.0300,26.0300,26.0300,26.0300,100,37.0000,4750
2017-08-09,26.7335,26.7335,26.7335,26.7335,400,38.0000,0
2017-08-11,24.7637,26.7335,24.7637,26.7335,500,38.0000,0
2017-08-14,22.5124,22.5124,22.5124,22.5124,100,32.0000,0
2017-08-15,20.4019,25.8893,20.4019,25.8892,1140,36.8000,0
2017-08-16,18.2913,18.2913,18.2913,18.2913,5000,26.0000,0
2017-08-18,21.0350,21.0350,21.0350,21.0350,100,29.9000,0
2017-08-30,24.0601,24.1305,24.0601,24.1305,200,34.3000,0
2017-08-31,20.5426,20.5426,20.5426,20.5426,100,29.2000,0
2017-09-14,20.5433,20.5433,20.5433,20.5433,90,28.2000,0
