Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2009,1,46932760679,-6941557098,-29902475230,-5844583,0,1082641057,-12477539300,1085697428,-1312014475,-1186003800,5289643392,0,40500000000,-13000000000,0,4412473496,36016113088,0,0,0,-50000000,0,-23827580831,0,-23877580831,10826517782,12748104940,0,23574622722
2010,1,56250335051,-19607091672,-34943139648,-133126054,-1293647478,2708901418,-12821314461,1230975195,-9839082844,-2125290000,5389701399,0,13000000000,-3500000000,922750800,1236434403,14923596602,0,0,0,0,0,-26053810000,0,-26053810000,-20969296242,54990587151,0,34021290909
2010,2,108032843983,-63190435261,-45073741812,0,-8647899081,3961415893,-21266971871,0,-26184788149,-4064688579,20038634379,0,15000000000,-17535931057,2822750800,3504495289,19765260832,0,0,0,0,0,-36068480000,0,-36068480000,-42488007317,54990587151,0,12502579834
2010,3,263953749660,-145238804242,-68929287911,-164176657,-10268491753,4952441777,-27825989605,0,16479441269,-5034404219,20038634379,0,17300000000,-33285931057,2822750800,5348292988,7189342891,0,0,0,0,0,-36068480000,0,-36068480000,-12399695840,54990587151,0,42590891311
2010,4,419452068297,-270294029262,-98611474645,-164176657,-12968766911,9577996150,-44458239581,0,2533377391,-5379417511,20404661379,0,19200000000,-41535931057,922750800,6972049074,584112685,0,3462595435,0,0,0,-36068480000,0,-32605884565,-29488394489,54990587151,-456962473,25045230189
2011,1,215535952170,-112797792526,-46954693183,0,-9587218266,2376567170,-11784953647,844115557,36787861718,-2639414027,18916785500,-1000000000,0,-6000000000,0,414433227,9691804700,2678982829,0,0,0,0,0,0,2678982829,49158649247,25045230189,0,74203879436
2011,2,88731168989,-94065941375,-9575142587,0,-4785538622,12484076895,-24223384621,0,-31434761321,-1475121282,14964629254,-1000000000,2000000000,-2000000000,12720000000,3456507944,28666015916,0,0,0,0,0,-43140725000,0,-43140725000,-45909470405,74203879436,0,28294409031
2011,3,199732342503,-150117008465,-28818023070,-107500000,-7505003658,504826431,-6414344286,0,7275289455,-2827136145,0,0,0,-2500000000,0,674340566,-4652795579,0,0,28680000000,0,0,-9450000,0,28670550000,31293043876,28294409031,0,59587452907
2011,4,185788762409,-145413343310,-48115930022,-172023610,-2155380046,13984886869,-8945460968,0,-5028488678,-2186073138,26000000000,0,0,-15550000000,0,1556374947,9820301809,327000,0,23350000000,-24950000000,0,-25880889000,0,-27480562000,-22688748869,59587452907,-119486873,36779217165
2012,1,128646430681,-50974137331,-49672280030,-338845139,0,2733139774,-26312730669,0,4081577286,-1815880427,20199072000,0,0,0,6000000000,845966128,25229157701,0,0,23690000000,-20000000000,0,0,0,3690000000,33000734987,36779217165,0,69779952152
2012,2,145863979341,-136789994669,-14642456699,-127373432,-11648943798,2727455361,-8321852662,0,-22939186558,-3441458082,18368404572,0,1000000000,-5000000000,0,1735994351,12662940841,0,0,37898230000,-10050000000,0,-25897389000,0,1950841000,-8325404717,69779952152,0,61454547435
2012,3,126162177815,-91945361932,-20515227394,-184609111,-7398641515,2611485972,-6357075298,0,2372748537,-3317247225,13225167029,0,0,-10250000000,10739999379,926939059,11324858242,0,0,24358493000,-12705785350,0,0,0,11652707650,25350314429,61454547435,0,86804861864
