date,bull,bigBull,cancelSell,bear,bigBear,cancelBuy
2019-12-02,41094,18400,9440,159196,118660,3890
2019-12-03,188374,105364,29600,116136,18056,19780
2019-12-04,20097,15460,4790,79023,60700,10000
2019-12-05,4696,0,5000,55014,30000,10
2019-12-06,28730,20000,2500,66380,47980,6170
2019-12-09,201360,83690,2130,46140,18370,7290
2019-12-10,23979,0,3070,38731,0,14030
2019-12-11,8885,0,3090,22425,12910,1000
2019-12-12,18620,10000,1090,14610,10690,1000
2019-12-13,79547,19340,5580,122903,75640,10580
2019-12-16,18849,9000,1200,25041,0,2540
2019-12-17,45530,14500,6050,77840,55000,1370
2019-12-18,36486,20220,5460,13824,0,1500
2019-12-19,21586,8000,2110,27294,0,3050
2019-12-20,16485,0,1500,76625,0,2700
2019-12-23,38945,0,1990,118415,0,5870
2019-12-24,11145,0,10560,29035,20110,100
2019-12-25,11645,0,4400,50875,39800,2000
2019-12-26,69458,34080,21800,126472,29510,3000
2019-12-27,12380,0,1270,90790,60300,0
2019-12-30,36068,14950,21760,25072,0,0
2019-12-31,6755,0,2070,8915,0,1340
2020-01-02,39720,27400,7390,25800,19820,0
2020-01-03,40283,14980,1040,111687,16082,4690
2020-01-06,26085,0,200,112965,93830,6980
2020-01-07,66180,53050,1120,110960,28000,370
2020-01-08,19342,0,2000,68458,25438,0
2020-01-09,46716,24020,3300,34354,0,3810
2020-01-10,46465,22300,10320,47395,0,0
2020-01-13,41772,15500,17010,51968,28800,7000
2020-01-14,64406,18100,2000,17494,0,10040
2020-01-15,45663,28500,0,11417,0,0
2020-01-16,33880,29000,100,20040,7000,0
2020-01-17,138418,82523,10040,12712,0,3020
2020-01-20,24155,21210,0,13515,7060,620
2020-01-21,2235,0,760,5,0,110
2020-01-22,5516,0,270,12514,0,500
2020-01-30,715,0,880,5125,0,0
2020-01-31,2653,0,9800,21557,10480,100
2020-02-03,77623,46850,9400,317937,267000,7290
2020-02-04,9537,0,1240,7683,0,400
2020-02-05,2145,0,1330,27205,9000,200
2020-02-06,111955,74900,2060,16895,0,8210
2020-02-07,13295,10000,0,10985,7210,930
2020-02-10,10480,9000,0,5380,0,100
2020-02-11,4420,0,1120,11560,0,210
2020-02-12,91365,31000,2000,15355,10000,3790
2020-02-13,9180,0,1500,5060,0,4900
2020-02-14,17732,0,0,21918,10000,0
2020-02-17,4420,0,1020,12360,0,0
2020-02-18,3845,0,0,18775,12190,590
2020-02-19,11703,8020,0,22487,8460,4370
2020-02-20,18465,0,20,11055,7500,300
2020-02-21,17405,15080,0,5605,0,0
2020-02-24,6260,0,0,21660,0,0
2020-02-25,5010,0,0,4700,0,1200
2020-02-26,26470,23950,2790,22860,10800,300
2020-02-27,15430,15070,60,380,0,0
2020-02-28,12550,0,4000,2360,0,300
2020-03-02,113645,79110,11980,21445,0,1000
2020-03-03,24335,19810,0,35255,20000,0
2020-03-04,41787,0,2930,43383,0,30
2020-03-05,46266,9270,6740,122304,15259,2310
2020-03-06,58045,42000,0,73395,18060,16780
2020-03-09,31300,8010,0,120190,62520,1100
2020-03-10,10560,0,23000,22550,10000,4050
2020-03-11,87730,71730,5090,33530,13500,0
2020-03-12,26050,8500,6600,52620,0,0
2020-03-13,5740,0,0,25130,0,10550
2020-03-17,14405,8900,0,16635,11530,0
2020-03-18,9303,0,0,76467,70000,510
2020-03-19,31905,9210,0,30215,8970,500
2020-03-20,23985,20000,0,8335,0,1300
2020-03-23,21610,20160,0,23180,0,100
2020-03-24,49860,19580,2000,132380,85390,3560
2020-03-25,122810,100570,200,45580,29270,2000
2020-03-26,8600,0,1000,8710,0,0
2020-03-27,9855,0,3030,4815,0,300
2020-03-30,12180,0,500,55280,40000,17100
2020-03-31,16074,0,0,59706,43000,2730
2020-04-01,46800,32800,2310,34960,20000,1030
2020-04-02,40880,40880,0,40880,40880,0
2020-04-03,49883,10000,380,40447,9990,0
2020-04-06,29060,9810,5660,23250,20000,900
2020-04-07,3345,0,2510,3245,0,1000
2020-04-08,20300,0,0,65570,36430,350
2020-04-09,295485,206110,420,67235,22430,115500
2020-04-10,39165,0,4380,60565,20000,1000
2020-04-13,13850,0,340,60380,8230,50
2020-04-14,85760,28460,25090,129830,20000,4530
2020-04-15,88360,47440,630,50810,10500,3580
2020-04-16,36760,0,0,33940,20490,5900
2020-04-17,111665,47845,2000,23925,0,6160
2020-04-20,104010,23560,1020,110590,17670,14500
2020-04-21,74460,35230,4920,101510,20000,5450
2020-04-22,56730,28490,2800,50930,10110,5930
2020-04-23,56168,20000,3410,66032,29670,15010
2020-04-24,25477,0,1860,36523,10813,1000
2020-04-27,24160,10000,11600,43800,0,6920
2020-04-28,5120,0,230,13740,0,0
2020-04-29,7170,0,0,2300,0,4000
2020-05-04,6635,0,30,18775,0,7140
2020-05-05,11440,9590,500,11610,9590,0
