Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,138691496421,-4132909,138687363512,-126056846070,12630517442,3103596271,0,0,-4631159776,-4008155059,7094798878,31856739,-3750000,28106739,0,7122905617,-1265955741,-2840909,-1268796650,5854108967,0,5854108967,1673,0
2010,1,139687252408,-5112573,139682139835,-128432091541,11250048294,2644847497,0,0,-4601258068,-2943941342,6349696381,21035115,-10074314,10960801,0,6360657182,-1592741965,-2840909,-1595582874,4765074308,0,4765074308,1361,0
2010,2,144469672447,-5734600,144463937847,-131992265095,12471672752,3363067959,0,0,-5299997405,-3057012603,7477730703,10154007,-188565000,-178410993,0,7299319710,-1826139017,-2840909,-1828979926,5470339784,0,5470339784,1563,0
2010,3,133016597320,-3979720,133012617600,-120047201290,12965416310,3012904363,-165050000,0,-5324668247,-3531762315,6956840111,1388188366,-88204654,1299983712,0,8256823823,-2113700590,-2840909,-2116541499,6140282324,0,6140282324,1754,0
2010,4,152386036690,-3656642,152382380048,-134579908176,17802471872,3030922582,-155000000,0,-5158072962,-5436069957,10084251535,51323352,-62333061,-11009709,0,10073241826,-2494056384,-2840909,-2496897293,7576344533,0,7576344533,2165,0
2011,1,221728728043,-2334963,221726393080,-206883493439,14842899641,2052367540,-190000000,0,-4593763797,-3569773017,8541730367,43864197,-44500000,-635803,0,8541094564,-2137832732,-2840909,-2140673641,6400420923,0,6400420923,1829,0
2011,2,256280323410,-4082517,256276240893,-242591014254,13685226639,2547776957,-334286000,0,-5071033657,-3003133437,7824550502,208713010,0,208713010,0,8033263512,-2021079969,-2840909,-2023920878,6009342634,0,6009342634,1576,0
2011,3,214377788728,-3656643,214374132085,-201733783197,12640348888,1886257544,-33333333,-23333333,-5075827942,-2899327221,6518117936,41797068,0,41797068,0,6559915004,-1643387843,-2840909,-1646228752,4913686252,0,4913686252,936,0
2011,4,175737505210,-3553845,175733951365,-161272361000,14461590365,1857654601,-100888889,-20888889,-4789956291,-3837575614,7590824172,3219191879,0,3219191879,0,10810016051,-2714106468,-2840909,-2716947377,8093068674,0,8093068674,1542,0
2012,1,199466006117,-2716782,199463289335,-185113155144,14350134191,1071563173,62088889,-20888889,-4858843937,-3698334916,6926607400,12925676,0,12925676,0,6939533076,-1743654421,-2840909,-1746495330,5193037746,0,5193037746,989,0
2012,2,197882395615,-4244056,197878151559,-184243001008,13635150551,1357630313,-32083333,-17083333,-4889950941,-3544254264,6526492326,22465973,0,22465973,0,6548958299,-1646010727,-2840909,-1648851636,4900106663,0,4900106663,934,0
2012,3,245191662021,-3965035,245187696986,-224210193496,20977503490,983261527,-13680556,-8680556,-6185325923,-5594381535,10167377003,6312033,0,6312033,0,10173689036,-1866602581,-2840909,-1869443490,8304245546,0,8304245546,1582,0
2012,4,214220402141,-2922377,214217479764,-199427608446,14789871318,1231930157,185000000,0,-5271893609,-4704004656,6230903210,1015821277,-82632787,933188490,0,7164091700,-1512992640,-2840909,-1515833549,5648258151,0,5648258151,1076,0
2013,1,239218626210,-2452446,239216173764,-221098901266,18117272498,725301220,-61980000,-11980000,-5556975213,-4529829941,8693788564,12354866,0,12354866,0,8706143430,-2185619509,-2840909,-2188460418,6517683012,0,6517683012,1241,0
2013,2,209788732539,-4009089,209784723450,-193906102208,15878621242,837260755,-5000000,0,-6397857921,-3078438978,7234585098,26480483,0,26480483,0,7261065581,-1851992093,25113636,-1826878457,5434187124,0,5434187124,1036,0
2013,3,259074218452,-4132865,259070085587,-240957983882,18112101705,659274474,42627778,-22372222,-6824027983,-3679192243,8310783731,65852870,0,65852870,0,8376636601,-2112598343,-2840909,-2115439252,6261197349,0,6261197349,1193,0
2013,4,234211743356,-3440556,234208302800,-215863894780,18344408020,681491320,30560203,-48555555,-5938367595,-4770103351,8347988597,59899722,-77500000,-17600278,0,8330388319,-2267006201,137420000,-2129586201,6200802118,0,6200802118,1181,0
2014,4,217700176151,-3818179,217696357972,-196032573516,21663784456,1650988443,132178280,0,-7142745455,-5076976273,11227229451,6934667890,-451011001,6483656889,0,17710886340,-2763947242,193506494,-2570440748,15140445592,0,15140445592,2884,0
2015,1,243369681672,-3188808,243366492864,-221560179968,21806312896,1387663179,-16080,0,-7660250815,-5096059555,10442215867,8833500,0,8833500,0,10451049367,-2416850125,63168661,-2353681464,8097367903,0,8097367903,1542,0
