Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2010,2,39364312573,3956466187,-217426692,0,0,-1860692885,0,5002817654,46245476837,-244522437053,-333884690501,676182481007,-6642578358,-16252341080,-5694869776,0,-2198761968,113232279108,-439214964581,2505136363,0,0,-8197297131,263000000,6140121127,-438504004222,10000000,0,580540421624,-169423473478,-455960182,-2648583200,0,408022404764,82750679650,166997084053,0,249747763703
2015,3,14986952703,24256095712,22846763636,0,0,-5671744841,31203578145,0,87621645355,17799224336,-11486016142,37717631888,-27601950960,-31203578145,-238277476,0,-6039203000,66569475856,-406444542584,0,-89302041800,40256150159,-49920000000,0,3747803746,-501662630479,0,0,1003973796078,-115566658981,0,-3970500,0,888403166597,453310011974,173041622466,0,626351634440
2015,4,155528218273,33381503090,-4619207217,0,0,-11792557324,39246280281,0,211744237103,-560923465321,2760781341,540111156940,-27572000720,-39246280281,-76505315944,0,1691152550,52060265668,-274685961013,26000000,-165730000000,158871189358,-41756000000,0,5194000904,-318080770751,0,0,437931181873,-221382181753,0,0,0,216549000120,-49471504963,626351634440,0,576880129477
2016,1,104553952449,37699674431,2965779091,0,0,-7452259486,39073461596,0,176840608081,-93727514764,-1168895544,40164681318,-16618616477,-39073461596,-23039027614,0,1306227653,44684001057,-283647980355,0,-205600000000,0,0,0,6073995699,-483173984656,110000000000,0,512839552171,-151942946079,0,-84800568650,0,386096037442,-52393946157,576880129477,0,524486183320
2016,2,82744261009,39979048509,2965779091,0,0,-30188104206,60748763226,0,156249747629,239488677279,-2849204450,-398043730319,-14204358624,-60748763226,-17569444756,0,-7839028473,-105516104940,-1055659048536,1059416494348,-462165000000,87287000000,0,0,8122058904,-362998495284,400531830000,0,261933350776,-263503371806,0,-724778845,0,398237030125,-70277570099,524486183320,0,454208613221
2016,3,166534855653,47229462773,2965779091,0,0,-19119752505,44567141392,0,242177486404,-137718718761,-651234398,234086423053,-15627189112,-44567141392,-8829999017,0,728630627,269598257404,-319215451626,60141086,-156216000000,351949951230,0,0,3957801200,-119463558110,-3355000000,0,150801416153,-159936100997,0,-76733400320,0,-89223085164,60911614130,454208613221,0,515120227351
2016,4,135857351096,53088540648,-320451257,-415047,0,835153210,41393187656,0,230853366306,-214862924425,19546384490,572624767491,-41442788628,-41393187656,-26338025221,4902687957,1279808236,505170088550,-200396284222,-1058603524348,-288000000000,335345511023,0,0,86412824458,-1125241473089,2055208042,0,850022124050,-316511850000,0,-1926249450,0,533639232642,-86432151897,515120227351,0,428688075454
2017,1,159417093944,74336524071,0,647579,0,-7843077323,41462888390,0,267374076661,-77831315934,-7369739182,-54581384689,-8982040388,-88670039829,-24631024674,18330000000,-1941842362,21696689603,-304586360356,0,-50000000000,123558066137,0,0,4400145614,-226628148605,0,0,388482505525,-44789301640,0,0,0,343693203885,138761744883,428688075454,0,567449820337
2017,2,60491305564,76691734327,-1668778586,625671,0,-18423647758,45159858954,0,162251098172,445218586828,1324944254,-97791680159,-37103336515,-31625067800,-35734595465,-6777272727,-6682315185,393080361403,-287329173127,0,-55765757860,116200709567,0,0,7528134255,-219366087165,0,0,148319739176,-163011205892,0,-110973857330,0,-125665324046,48048950192,567449820337,0,615498770529
2017,3,51068962031,73522133605,1668778586,0,0,-14883451646,40756432659,0,152132855235,8205640124,-2696057441,-364314361390,-31075715200,-76647295996,-11100111167,-11524493765,8583283547,-328436256053,-457450407141,0,-469400000000,123308000000,-8432000000,0,384353631,-811590053510,534730000000,0,572344665347,-316123975991,0,-6160162945,0,784790526411,-355235783152,615498770529,0,260262987377
2017,4,95944460145,136018351938,-385610699,0,0,-8066081530,40611680223,0,264122800077,-176994826187,1826715019,428805144273,-68080593042,-42474226908,-16375688069,0,0,390829325163,-1155926554742,8045888700,-136750000000,379905760433,-70321673464,0,31994429452,-943052149621,-9974471111,0,756321060158,-130202669883,0,0,0,616143919164,63921094706,260262987377,0,324184082083
2018,1,11422136324,93218017709,0,0,0,-5971538778,37836749924,0,136505365179,-179293774844,-1919708681,164824870957,-27733689032,-68452769112,-28856104664,112606053,-20069227,-4833273371,-245616987044,65000000,-91900000000,211287000000,-2000000000,0,7365405336,-120799581708,236600000,0,184936850956,-204494264538,0,-342190000,0,-19663003582,-145295858661,324184082083,0,178888223422
2018,2,44435457971,37276316522,0,0,0,-6007628028,30461436625,0,106165583090,389006833343,13542832505,-376941113542,-28836075671,-62393109571,-1919700503,-89809980,-302311270,38233128401,-240746116359,1018171000,-11155000000,100990030000,-18183743040,0,2335441191,-165741217208,0,0,316168715896,-48005669428,0,-99750000,0,268063296468,140555207661,178888223422,0,319443431083
2018,3,54330689153,18373661844,5250482400,0,0,-81961097738,35972789331,0,31966524990,-67562613467,5334375376,269932813560,-23502151955,-31491554054,-5757162851,55656918,-9460800,178966427717,-110201589272,0,-51600000000,27841702203,-31623400000,76588415504,10076178211,-78918693354,-236600000,-709567,86597773848,-285515953265,0,0,0,-199155488984,-99107754621,319443431083,0,220335676462
2018,4,-16100576325,30250371052,16150567257,0,0,-7400186036,35240452806,0,58140628754,-113252777191,-47196911220,285754512742,-26346042786,-26589873445,-15568503968,-78452991,-4419955,114858159940,-123376224944,272090909,-1794368255,15705684255,-105708600000,10186585500,4179369506,-200535463029,0,0,181096909727,-53528392913,0,-119700225850,0,7868290964,-77809012125,220335676462,0,142526664337
2019,1,-13152470407,53593921149,0,0,0,-2456517667,61902631608,0,99887564683,38554886522,27146072815,-33477568558,-37917150747,-90895649519,-5737330940,227068646574,-229571747361,-4942276531,-14201790439,0,-7233000000,14892382277,0,0,945981756,-5596426406,0,0,30793302184,-14595268252,0,-393877030,0,15804156902,5265453965,142526664337,0,147792118302
2019,2,2474464127,56308578522,0,0,0,-9558524546,71284250747,0,120508768850,-31160041327,25753756778,85159095604,-61992706199,-118292990088,-7925345255,-226914366835,227669051324,12805222852,-31944573226,0,-1129000000,9465632225,0,0,5700296988,-17907644013,0,0,3943359405,-13309603194,0,0,0,-9366243789,-14468664950,147792118302,0,133323453352
2019,3,53599138005,54334605515,0,0,0,-90697893819,62875436540,0,80111286241,181310480038,-14568347284,-53968950125,-46296203503,-85273362706,-732515625,1036448855,-1008179190,60610656701,-34128939098,758000000,-5291100000,1402500000,-660000000,0,15167105777,-22752433321,0,0,30806533942,-34105216629,0,0,0,-3298682687,34559540693,133323453352,0,167882994045
2019,4,29962881355,57716506785,10288399853,0,0,-14886853547,59787077735,0,142868012181,197846659907,2055623265,-166408724485,-64749216670,-97659786690,-10382794127,179714349,-1317495296,2431992434,-114788500566,2300105291,-15694000000,539600000,-2000000,79664756,-14006290641,-141571421160,0,0,118200261198,-857891842,0,-8947765,0,117333421591,-21806007135,167882994045,0,146076986910
2020,1,16319528680,53720203706,0,0,0,-56185577206,58331996858,0,72186152038,-16414334034,3586697871,141507805912,-66890889825,-99780248421,-8368141893,1625440905,-950800744,26501681809,-25678673430,100000000,-1540000000,1900000000,0,95093292750,732586260,70607205580,0,0,12605823481,-45548846204,0,0,0,-32943022723,64165864666,146076986910,0,210242851576
