date,bull,bigBull,cancelSell,bear,bigBear,cancelBuy
2019-12-02,60987,17670,7000,109503,42480,0
2019-12-03,91423,0,1100,122747,27267,780
2019-12-04,72007,0,5400,61733,7180,3740
2019-12-05,141809,73487,9350,87061,29980,480
2019-12-06,42737,5730,430,83413,30920,6890
2019-12-09,60033,13600,200,116837,54482,5000
2019-12-10,108623,18000,4500,89247,16230,0
2019-12-11,117554,20380,70,76976,16090,10530
2019-12-12,71560,12070,3820,72020,14019,0
2019-12-13,64195,8510,1500,70625,8000,1200
2019-12-16,74626,8000,0,69794,7000,6270
2019-12-17,105582,19882,6350,131788,72218,0
2019-12-18,96720,66350,0,58260,6000,0
2019-12-19,206189,27340,500,98921,32530,0
2019-12-20,592192,231490,3330,357438,223839,3400
2019-12-23,310354,106380,700,379456,241040,21160
2019-12-24,94518,27917,1550,58872,25809,0
2019-12-25,944530,280360,20160,271120,152330,2070
2019-12-26,451829,131570,9300,1233621,642371,8350
2019-12-27,785215,253090,13100,427645,249010,1860
2019-12-30,23421,13741,27900,474239,274479,0
2019-12-31,6022,0,76830,406058,231648,0
2020-01-02,133632,11000,20080,785258,395458,330
2020-01-03,781750,380215,3300,153820,54535,0
2020-01-06,587374,264214,2030,519956,345460,22300
2020-01-07,34361,7500,205200,635799,293919,0
2020-01-08,36760,29920,30270,373620,115760,0
2020-01-09,51597,0,13410,60563,0,280
2020-01-10,66389,0,1940,49881,13800,1030
2020-01-13,133096,16930,3870,103324,11040,540
2020-01-14,197619,38050,1190,86631,20988,0
2020-01-15,143571,49550,1190,73589,31260,710
2020-01-16,238716,111506,7640,62834,11240,0
2020-01-17,152005,57550,1000,26485,0,1000
2020-01-20,156493,41580,0,67947,20660,100
2020-01-21,196723,84920,0,57337,0,600
2020-01-22,137040,48160,15400,56130,22310,10
2020-01-30,54534,0,0,186296,46296,10
2020-01-31,19066,0,63170,176584,45734,0
2020-02-03,100660,38020,32130,75850,8640,480
2020-02-04,142306,12710,18130,358554,129674,0
2020-02-05,214490,154880,12010,117520,64590,0
2020-02-06,157600,18970,4000,69940,0,3700
2020-02-07,244743,43900,700,86107,0,6930
2020-02-10,99980,26520,730,120380,37030,1080
2020-02-11,121566,25170,0,62904,0,0
2020-02-12,111322,27940,7870,69768,0,230
2020-02-13,83322,0,9000,70858,0,3070
2020-02-14,104535,0,200,48655,0,1630
2020-02-17,158475,91386,0,60915,20354,2000
2020-02-18,274724,236850,13150,79106,15000,900
2020-02-19,118806,34340,50,54134,0,1340
2020-02-20,236476,37190,1870,151014,9750,41320
2020-02-21,549415,116200,1230,470035,132209,30430
2020-02-24,116630,53000,86170,231800,105380,1000
2020-02-25,170082,140770,2760,100218,54080,6000
2020-02-26,15580,0,5400,367570,132790,0
2020-02-27,79829,0,6990,151471,77340,2380
2020-02-28,265698,160315,100,56062,20265,500
2020-03-02,149633,40200,20,253517,195470,1650
2020-03-03,225452,87433,8500,156098,79390,12120
2020-03-04,324665,10000,530,245895,45722,21060
2020-03-05,67294,9684,1990,99176,32106,6060
2020-03-06,68985,17500,830,115655,62800,1000
2020-03-09,58645,41355,28610,234385,143925,80
2020-03-10,150185,51315,3550,84675,24165,710
2020-03-11,39382,0,8940,121398,18725,7200
2020-03-12,102885,69790,0,99085,24210,1170
2020-03-13,140068,42700,6290,122692,34972,28500
2020-03-17,97890,34810,0,98440,32490,1990
2020-03-18,131973,15000,2500,45977,0,1010
2020-03-19,107550,0,1000,130160,35150,1500
2020-03-20,104703,13230,63320,548587,128997,0
2020-03-23,16780,0,0,130130,0,0
2020-03-24,161173,20000,192980,661897,111777,0
2020-03-25,69611,0,12580,699319,102130,0
2020-03-26,31687,21460,12050,347823,54720,0
2020-03-27,31,0,118670,92459,23309,0
2020-03-30,1,0,27700,161939,60000,0
2020-03-31,0,0,230170,110560,30000,0
2020-04-01,67751,31798,231280,209969,103019,5650
2020-04-02,138860,138860,0,138860,138860,0
2020-04-03,95640,0,0,17200,0,5120
2020-04-06,152255,37690,1000,3325,0,6650
2020-04-07,170685,20085,30000,684175,147355,9800
2020-04-08,17700,0,0,20200,0,5830
2020-04-09,16293,0,10,10477,0,2040
2020-04-10,66079,0,140,30461,0,18700
2020-04-13,130200,0,2600,115910,60000,19530
2020-04-14,231326,60280,310,37484,0,4850
2020-04-15,71895,0,3530,67045,0,57290
2020-04-16,45668,0,6340,44002,0,530
2020-04-17,70995,0,27940,96645,18060,5230
2020-04-20,55380,0,11120,84270,13730,5510
2020-04-21,53770,0,5390,194850,43270,780
2020-04-22,97793,0,12160,29627,0,2120
2020-04-23,69975,0,4730,21065,0,1000
2020-04-24,40119,0,2760,26681,0,420
2020-04-27,35945,0,250,36285,22100,0
2020-04-28,38375,0,2600,6995,0,0
2020-04-29,86090,0,500,11890,0,140
2020-05-04,45180,30000,100,10680,0,0
2020-05-05,7005,0,1500,23845,15000,3650
