date,open,high,low,close,volume,unadjusted,putthrough
2020-01-15,19.9300,19.9300,17.5600,17.5600,14970,18.5000,0
2020-01-16,16.3700,16.3700,16.3700,16.3700,4800,17.2500,0
2020-01-17,15.2300,15.2300,15.2300,15.2300,10440,16.0500,0
2020-01-20,14.1900,15.2300,14.1900,15.2300,23100,16.0500,0
2020-01-21,15.2300,16.2700,14.2300,16.2700,12030,17.1500,0
2020-01-22,16.1300,16.1300,15.1300,15.1400,5560,15.9500,0
2020-01-30,14.2400,14.2400,14.1000,14.0900,17300,14.8500,0
2020-01-31,13.4700,13.7600,13.1400,13.1400,12900,13.8500,0
2020-02-03,13.1900,13.1900,12.2400,12.2400,11140,12.9000,0
2020-02-04,12.0000,12.8100,11.5800,12.2400,28040,12.9000,0
2020-02-05,12.2400,12.2400,12.1500,12.2400,10350,12.9000,0
2020-02-06,12.2400,13.0900,12.2400,13.1000,17690,13.8000,0
2020-02-07,12.8200,13.1900,12.8200,12.8100,16480,13.5000,0
2020-02-10,13.0900,13.0900,12.5300,12.8100,7790,13.5000,0
2020-02-12,13.0900,13.6600,12.8100,12.9500,22750,13.6500,0
2020-02-13,12.9500,12.9500,12.9000,12.9100,13430,13.6000,0
2020-02-14,13.2900,13.2900,13.2900,13.2900,500,14.0000,0
2020-02-17,13.2900,13.2900,12.8200,12.9100,13020,13.6000,0
2020-02-18,12.8600,12.9100,12.7200,12.9100,42070,13.6000,0
2020-02-19,12.9100,12.9100,12.7700,12.9100,7320,13.6000,0
2020-02-20,12.9100,13.1900,12.8200,13.1900,21790,13.9000,0
2020-02-21,13.2800,13.2800,13.2800,13.2900,10,14.0000,0
2020-02-24,13.2900,13.2900,12.8200,13.1900,34170,13.9000,0
2020-02-25,12.8600,13.2800,12.8100,12.9100,36100,13.6000,0
2020-02-26,12.9100,13.2900,12.9100,13.1900,10760,13.9000,0
2020-02-27,13.1900,13.7600,13.1900,13.7600,4160,14.5000,0
2020-02-28,13.2900,13.2900,13.2900,13.2900,3020,14.0000,0
2020-03-02,12.9100,13.2000,12.9100,13.1900,5000,13.9000,0
2020-03-03,13.2800,13.2800,13.1900,13.1900,4600,13.9000,0
2020-03-04,13.1900,13.1900,12.9100,12.9100,29400,13.6000,0
2020-03-05,12.9100,12.9100,12.9100,12.9100,53010,13.6000,0
2020-03-06,13.0000,13.0000,12.8200,12.9100,82280,13.6000,0
2020-03-09,12.9100,12.9100,12.2500,12.3400,4040,13.0000,0
2020-03-10,13.1900,13.1900,12.3400,12.7200,27140,13.4000,0
2020-03-11,12.7200,12.7200,12.3400,12.6200,14130,13.3000,0
2020-03-12,12.3400,12.4300,11.7700,12.2400,27080,12.9000,0
2020-03-13,12.0500,12.2400,11.4800,12.1000,17480,12.7500,0
2020-03-16,12.7200,12.7200,12.0500,12.0500,6630,12.7000,0
2020-03-17,11.7700,12.3300,11.7700,11.8600,5480,12.5000,0
2020-03-18,11.1500,11.9500,11.1500,11.9600,19650,12.6000,0
2020-03-19,11.5800,12.3400,11.5800,11.8600,16730,12.5000,0
2020-03-20,11.9500,12.0500,11.8600,11.9100,6460,12.5500,0
2020-03-23,11.8600,11.8600,11.5800,11.6700,15730,12.3000,0
2020-03-24,11.4300,12.2400,11.3900,12.2400,4010,12.9000,0
2020-03-25,12.2400,12.2400,12.0500,12.0500,1090,12.7000,0
2020-03-26,12.0500,12.0500,11.2900,11.2900,21800,11.9000,0
2020-03-27,11.2900,11.6700,11.2900,11.4800,2140,12.1000,0
2020-03-30,11.3900,11.5700,11.2900,11.5800,6850,12.2000,0
2020-03-31,11.7700,11.8600,11.3900,11.3900,8100,12.0000,0
2020-04-01,11.7700,11.8600,11.7700,11.8600,1700,12.5000,0
2020-04-03,11.8600,12.3300,11.8600,11.9600,6750,12.6000,0
2020-04-06,11.9600,12.5300,11.8700,12.5300,32820,13.2000,0
2020-04-07,12.1500,12.3400,12.1500,12.2400,3210,12.9000,0
2020-04-08,12.2900,12.3300,12.1500,12.1500,2180,12.8000,0
2020-04-09,12.1500,12.3400,12.0600,12.0500,18490,12.7000,0
2020-04-10,12.3300,12.3300,11.9600,11.9600,8960,12.6000,0
2020-04-13,11.9600,12.3400,11.9600,12.0000,12720,12.6500,0
2020-04-14,12.3300,12.3300,12.0000,12.0000,2060,12.6500,0
2020-04-15,12.2400,12.2400,11.9100,12.2400,16720,12.9000,0
2020-04-16,11.8600,11.9600,11.8600,11.9100,15190,12.5500,0
2020-04-17,11.9600,12.2400,11.8600,11.9100,8580,12.5500,0
2020-04-20,11.9100,12.1500,11.8600,12.1500,9230,12.8000,0
2020-04-21,12.0600,12.0600,11.6800,11.7700,3010,12.4000,0
2020-04-22,11.5800,12.0500,11.5800,11.7700,6180,12.4000,0
2020-04-23,11.7700,12.2400,11.3900,12.1000,20110,12.7500,0
2020-04-24,12.0500,12.2900,11.8600,12.2900,5010,12.9500,0
2020-04-27,12.1500,12.6200,12.1500,12.4300,14350,13.1000,0
2020-04-28,12.9000,13.2800,12.8100,13.2900,80140,14.0000,0
2020-04-29,14.1900,14.1900,14.1900,14.1900,33060,14.9500,0
2020-05-04,15.1400,15.1400,15.1400,15.1400,45780,15.9500,0
2020-05-05,16.1800,16.1800,14.5200,14.5200,201620,15.3000,0
