disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2010-05-18,stockAlert,listedHnx,Ngày giao dịch đầu tiên trên HNX,2010-06-01,,,Ngày giao dịch đầu tiên trên sàn HNX,,,,
2010-09-23,investorRight,POLL,Lấy ý kiến cổ đông,2010-09-30,,,Lấy ý kiến cổ đông bằng văn bản,,,,
2010-10-22,investorRight,DIVIDEND,Cổ tức bằng tiền,2010-10-29,2010-11-19,2010-11-19,Tạm ứng cổ tức đợt 1/2010 (1.000 đ/cp),1000,10,1,2010
2011-02-11,investorRight,MEETING,Họp cổ đông,2011-02-22,2011-03-31,2011-03-31,ĐHCĐ thường niên 2011,,,,
2011-02-11,investorRight,DIVIDEND,Cổ tức bằng tiền,2011-02-22,2011-03-31,2011-03-31,Tạm ứng cổ tức đợt 2/2010 (1.000 đ/cp),1000,10,2,2010
2011-08-09,investorRight,DIVIDEND,Cổ tức bằng tiền,2011-08-17,2011-09-01,2011-09-01,Tạm ứng cổ tức đợt 1/2011 (1.000 đ/cp),1000,10,1,2011
2011-10-31,investorRight,DIVIDEND,Cổ tức bằng tiền,2011-11-18,2011-12-22,2011-12-22,Tạm ứng cổ tức đợt 2/2011 (1.000 đ/cp),1000,10,2,2011
2012-01-19,investorRight,MEETING,Họp cổ đông,2012-02-08,2012-02-25,2012-02-25,Đại hội đồng cổ đông thường niên năm 2012,,,,
2012-01-19,investorRight,DIVIDEND,Cổ tức bằng tiền,2012-02-08,2012-02-24,2012-02-24,Tạm ứng cổ tức đợt 3/2011 (300 đ/cp),300,3,3,2011
2012-08-13,investorRight,DIVIDEND,Cổ tức bằng tiền,2012-08-16,2012-09-21,2012-09-21,Tạm ứng cổ tức đợt 1/2012 (1.000 đ/cp),1000,10,1,2012
2012-08-29,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2012-09-05,,,Số lượng 105.850 cp,,,,
2012-11-20,investorRight,MEETING,Họp cổ đông,2012-11-27,2012-12-29,2012-12-29,Đại hội đồng cổ đông thường niên năm 2013,,,,
