date,open,high,low,close,volume,unadjusted,putthrough
2006-12-04,21.08,21.08,21.08,21.08,62050,100.00,0
2006-12-05,20.24,20.24,20.03,20.03,89420,95.00,0
2006-12-06,19.08,19.08,19.08,19.08,3250,90.50,0
2006-12-07,18.24,20.03,18.24,20.03,216560,95.00,0
2006-12-08,20.87,20.87,20.87,20.87,18700,99.00,0
2006-12-11,21.71,21.71,21.71,21.72,73020,103.00,0
2006-12-12,22.56,22.56,21.72,21.72,92600,103.00,0
2006-12-13,20.67,21.09,20.67,21.08,87350,100.00,0
2006-12-14,21.08,21.71,21.08,21.08,58750,100.00,0
2006-12-15,21.08,21.08,20.87,20.87,84120,99.00,0
2006-12-18,20.87,20.87,20.24,20.66,47200,98.00,0
2006-12-19,20.24,20.24,20.24,20.24,30160,96.00,0
2006-12-20,20.24,20.35,20.24,20.35,48390,96.50,0
2006-12-21,20.35,20.35,20.03,20.03,55170,95.00,0
2006-12-22,19.08,19.08,19.08,19.08,26950,90.50,0
2006-12-25,18.55,20.03,18.55,20.03,26850,95.00,0
2006-12-26,20.98,20.98,20.45,20.66,80250,98.00,0
2006-12-27,21.08,21.08,21.08,21.08,97420,100.00,0
2006-12-28,21.08,21.08,20.87,21.08,57710,100.00,0
2006-12-29,21.08,21.08,20.76,21.08,34500,100.00,0
2007-01-02,21.08,21.08,21.08,21.08,33390,100.00,0
2007-01-03,21.08,21.08,20.66,21.08,34780,100.00,0
2007-01-04,22.13,22.13,22.13,22.14,43650,105.00,0
2007-01-05,23.19,23.19,22.77,22.77,123610,108.00,0
2007-01-08,23.82,23.82,23.19,23.19,98860,110.00,0
2007-01-09,23.19,23.19,23.19,23.19,119530,110.00,0
2007-01-10,23.61,24.03,23.61,24.03,92650,114.00,0
2007-01-11,24.66,25.08,24.66,25.09,131220,119.00,0
2007-01-12,26.14,26.14,26.14,26.14,70430,124.00,0
2007-01-15,26.56,26.56,26.56,26.56,43810,126.00,0
2007-01-16,26.35,26.35,25.72,25.72,38020,122.00,0
2007-01-17,25.30,25.30,24.46,24.46,44580,116.00,0
2007-01-18,23.41,24.88,23.41,24.88,59940,118.00,0
2007-01-19,25.30,25.72,25.30,25.72,63440,122.00,0
2007-01-22,24.46,25.30,24.46,25.30,38260,120.00,0
2007-01-23,25.30,25.51,25.30,25.51,65400,121.00,0
2007-01-24,25.72,25.72,25.30,25.30,96830,120.00,0
2007-01-25,24.88,24.88,24.46,24.88,39090,118.00,0
2007-01-26,25.30,25.30,25.30,25.30,68980,120.00,0
2007-01-29,26.57,26.57,26.57,26.56,68730,126.00,0
2007-01-30,27.82,27.82,27.82,27.83,39230,132.00,0
2007-01-31,29.09,29.09,29.09,29.09,138870,138.00,0
2007-02-01,29.72,29.72,29.09,29.09,104890,138.00,0
2007-02-02,28.46,28.46,28.46,28.46,88700,135.00,0
2007-02-05,27.41,28.46,27.41,27.41,23530,130.00,0
2007-02-06,26.99,27.41,26.99,26.99,66210,128.00,0
2007-02-07,28.26,28.26,28.26,28.25,83850,134.00,0
2007-02-08,29.51,29.51,29.51,29.52,79680,140.00,0
2007-02-09,28.04,28.04,28.04,28.04,28970,133.00,0
2007-02-12,28.46,28.46,28.46,28.46,32160,135.00,0
2007-02-13,28.88,28.88,28.67,28.88,26550,137.00,0
2007-02-14,29.51,29.72,28.67,29.52,53510,140.00,0
2007-02-15,29.94,29.94,29.52,29.94,36370,142.00,0
2007-02-26,30.57,30.57,30.36,30.57,45490,145.00,0
2007-02-27,31.62,32.05,31.20,31.62,80190,150.00,0
2007-02-28,30.14,30.78,30.14,30.15,17630,143.00,0
2007-03-01,30.15,30.57,30.15,30.15,25870,143.00,0
2007-03-02,30.57,30.57,30.15,30.15,48820,143.00,0
2007-03-05,30.57,30.57,30.15,30.57,44210,145.00,0
2007-03-06,30.15,30.78,30.15,30.15,42730,143.00,0
2007-03-07,30.57,30.57,30.57,30.57,18980,145.00,0
2007-03-08,30.57,30.57,30.57,30.57,27390,145.00,0
2007-03-09,30.36,30.57,30.15,30.15,11540,143.00,0
2007-03-12,30.36,30.36,30.15,30.36,33720,144.00,0
2007-03-13,31.62,31.62,30.57,31.62,62280,150.00,0
2007-03-14,31.20,32.04,31.20,31.20,42340,148.00,0
2007-03-15,30.57,30.57,29.72,29.73,5670,141.00,0
2007-03-16,29.73,31.21,29.73,31.20,12010,148.00,0
2007-03-19,31.20,31.20,30.57,30.57,21240,145.00,0
2007-03-20,29.73,30.57,30.15,30.15,30030,143.00,0
2007-03-21,28.88,29.52,28.67,29.52,9590,140.00,0
2007-03-22,29.10,29.10,28.47,28.46,18690,135.00,0
2007-03-23,28.46,28.46,27.41,27.41,18230,130.00,0
2007-03-26,26.36,26.36,26.14,26.14,18780,124.00,0
2007-03-27,24.88,24.88,24.88,24.88,22630,118.00,0
2007-03-28,23.83,25.30,23.83,25.30,49710,120.00,0
2007-03-29,26.57,26.57,26.57,26.56,23540,126.00,0
2007-03-30,27.82,27.82,27.82,27.83,37520,132.00,0
2007-04-02,27.83,27.83,27.83,27.83,21160,132.00,0
2007-04-03,27.20,27.20,26.57,26.78,10000,127.00,0
2007-04-04,25.73,26.78,25.73,26.78,5920,127.00,0
2007-04-05,26.78,26.99,26.78,26.99,15590,128.00,0
2007-04-06,26.15,26.78,26.15,26.78,10340,127.00,0
2007-04-09,26.78,26.78,26.78,26.78,6250,127.00,0
2007-04-10,27.41,27.83,27.41,27.83,19410,132.00,0
2007-04-11,27.83,27.83,27.41,27.41,15010,130.00,0
2007-04-12,27.41,27.41,27.20,27.20,19880,129.00,0
2007-04-13,25.93,26.99,25.93,26.99,13870,128.00,0
