Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,457356717000,-175663442000,281693275000,-174758478000,106934797000,216838413000,-21508555000,0,-2250000,-25498328000,276764077000,69943525000,-48680543000,21262982000,-48982000,297978077000,-23828852000,0,-23828852000,274149225000,0,274149225000,1321,0
2010,1,403688788000,-21966174000,381722614000,-280054430000,101668184000,36038025000,-8728595000,-5743874000,-180655000,-19568503000,109228456000,3117428000,-14250000,3103178000,-48982000,112282652000,-11746181000,-8839641000,-20585822000,91696830000,1018801000,90678029000,440,0
2010,2,847283910395,-46494791638,800789118757,-765135075544,35654043213,103515832334,-16297385799,-18426823992,-5000742185,-17944107683,99927639880,2324139589,-102863975,2221275614,-30016144,102118899350,7298708813,-10643938912,-3345230099,98773669251,3408987316,95364681935,111,0
2010,3,374833981000,-37495616000,337338365000,-213229037000,124109328000,25781861000,-17207959000,-14814810000,-474977000,-21304160000,110904093000,5742422000,0,5742422000,-31643000,116614872000,-23025623000,-1662235000,-24687858000,91927014000,1980892000,89946122000,264,0
2010,4,1040305692712,-79916859225,960388833487,-688410131952,271978701535,241110944697,-18492315117,-13787865603,-129831837,-16880408376,477587090902,2813450158,-1116322069,1697128089,0,479284218991,-25996245279,-41148804625,-67145049904,412139169087,2247446623,409891722464,1211,0
2011,1,125040270961,-24583400716,100456870245,-33263099902,67193770343,3410148053,-14699889830,-7587016785,-66188000,-15491035850,40346804716,1006258347,0,1006258347,-110641000,41242422063,-1809799093,-7418823444,-9228622537,32013799526,969256305,31044543221,91,0
2011,2,130559855209,14422834577,144982689786,-62414599155,82568090631,29521469695,-53287824955,-26872164526,-11843299599,-20258081327,26700354445,6365761040,-215541732,6150219308,46469997,32897043750,-15849861935,6414820084,-9435041851,23462001899,-37125694,23499127593,69,0
2011,3,112015050144,-30119445872,81895604272,-36971311167,44924293105,38351073688,-64566297972,-60997203557,-17547636,-13746036390,4945484795,2733939163,-1760519,2732178644,-46469997,7631193442,4567203147,5996795063,10563998210,18195191652,189880991,18005310661,0,0
2011,4,67791197699,0,67791197699,-41630024315,26161173384,45423309444,-30475016527,-23036221709,0,-7903373746,33206092555,11265447736,-1025233139,10240214597,-10010000,43436297152,-12971405714,18750804940,5779399226,49215696378,1405520610,47810175768,0,0
2012,1,34711851971,0,34711851971,-17294425762,17417426209,19663057200,-14431121994,-14288596890,-209827236,-18611058382,3828475797,1600751684,-104843611,1495908073,33967070,5358350940,-2399482497,1798815894,-600666603,4757684337,49449691,4708234646,11,0
2012,2,35160454237,0,35160454237,-30509345301,4651108936,1606188766,-50777280777,-49727017805,-989621681,-22646164580,-68155769336,-154747017,-936228488,-1090975505,51609021965,-17637722876,-2971366306,21209409007,18238042701,600319825,-410681338,1011001163,2,0
2012,3,410736002244,-643688343716,-232952341472,287974383366,55022041894,7930703232,-23815424248,-24579820174,-121616909,-6298246309,32717457660,1831918099,-25500000,1806418099,-76425906,34447449853,-2173834655,-20857277667,-23031112322,11416337531,486626336,10929711195,0,0
2012,4,231869394971,-24487169088,207382225883,-158415991654,48966234229,10320195100,-36228813593,-35877227851,-73878240,-8691084574,14292652922,1890616594,-169703506,1720913088,0,16013566010,7532620868,-22293775854,-14761154986,1252411024,-60597276,1313008300,0,0
2013,1,147382971085,-154147340507,-6764369422,15419522646,8655153224,7600918578,-27165846862,-26855167812,-322634446,-14239174471,-25471583977,1090144956,-339112756,751032200,-33967070,-24754518847,-1431224735,28265222550,26833997815,2079478968,32553951,2046925017,4.5,0
2013,2,46967079308,-159493,46966919815,-21719356920,25247562895,15149781836,-31575536787,-20931447843,-1031638200,-17389825468,-9599655724,34273355341,-8105530140,26167825201,-16308106,16551861371,-7624629631,-6566762266,-14191391897,2360469474,83603794,2276865680,3,0
2013,3,104793125528,-123550324952,-18757199424,3230030359,-15527169065,56271735635,-18281010263,-18281010263,0,-8521498850,13942057457,4562826032,-56436121,4506389911,-101901209,18346546159,3741544690,-12669339478,-8927794788,9418751371,334915024,9083836347,0,0
2013,4,41201244248,0,41201244248,-40326980413,874263835,86243914396,-35135545097,-19965464063,-1989137880,-22643780127,27349715127,2353881654,-6473616085,-4119734431,-47553897,23182426799,-3478516060,2194145433,-1284370627,21898056172,2360758655,19537297517,0,0
2014,4,61485098977,-26397931500,35087167477,-26895520647,8191646830,80286513243,-17625696628,-16992331790,0,-12557415292,58295048153,3640051287,0,3640051287,0,61935099440,-959346367,-2560725567,-3520071934,58415027506,-4979744,58420007250,0,0
2015,1,443777053454,0,443777053454,-336918342036,106858711418,5742996643,-29609094185,-19648680297,-703943269,-14429351649,67859318958,1767516144,-1728653617,38862527,-126910000,67771271485,-16205123814,-2040207085,-18245330899,49525940586,44231163,49481709423,0,0
2015,2,135635618885,0,135635618885,-26708260081,108927358804,24718038500,-38637343785,-24451529520,-1035354081,-21736770240,71791567141,5535646387,-1667112137,3868534250,0,75660101391,4053853471,-15843151415,-11789297944,63870803447,-1546550,63872349997,0,0
2015,3,204570690208,-67411271440,137159418768,-47765382465,89394036303,20024899926,-38151215348,-31493933169,-324841919,-1282883854,69535174203,6394815524,-1106586533,5288228991,0,74823403194,-17204646220,4380629455,-12824016765,61999386429,76913953,61922472476,0,0
2015,4,251165549096,-258829876816,-7664327720,-10050156124,-17714483844,134839126896,-291566101746,-276582532406,-154800183,-15303012430,-190341544269,181504040586,-831545681,180672494905,0,-9669049364,5095131869,62026014,5157157883,-4511891481,555068388,-5066959869,0,0
2016,1,93242740799,0,93242740799,-32987687263,60255053536,4291593655,-28329237304,-27998732489,-230859396,-11301205376,24577197877,1984203244,-180611187,1803592057,0,26380789934,-4707449937,-4338153932,-9045603869,17335186065,282730741,17052455324,20.34,0
2016,2,87846702518,0,87846702518,-43932884320,43913818198,4871838392,-33984056419,-11534741134,-812840265,-13749015766,3567533029,11841559591,-5114872642,6726686949,0,10294219978,-3252385085,5845286407,2592901322,12887121300,147306024,12739815276,15,0
2016,3,72433728539,-67846215360,4587513179,-21579637534,-16992124355,53337839041,-18784410722,-18784410722,-321279845,-11815928697,5033217443,2110710699,-3827309047,-1716598348,0,3316619095,-1688797433,-349372394,-2038169827,1278449268,574457063,703992205,0,0
2016,4,42623364111,0,42623364111,-21434701580,21188662531,23079545503,-6767825141,-6767825141,-352551026,-11358353460,25442907426,1010500843,-1788255149,-777754306,0,24665153120,-1644678487,-144871322,-1789549809,22875603311,329738388,22545864923,0,0
2017,1,148579016953,0,148579016953,-82973609508,65605407445,3201024294,-22240732347,-11758077303,-988952055,-16015168933,29204591168,1929208986,-17102683,1912106303,0,31116697471,-7746612235,358940474,-7387671761,23729025710,336594709,23392431001,24.93,0
2017,2,111030877952,0,111030877952,-75787239918,35243638034,3096105020,-10208627973,-24255846116,811517583,-15153973160,14145646740,2261710453,-506817945,1754892508,0,15900539248,-660388062,-1666012120,-2326400182,13574139066,-13991166,13588130232,14.07,0
2017,3,94554030495,0,94554030495,-68525604104,26028426391,3003119862,-18806052008,0,-86528247,-7650296591,2488669407,3366804895,-1738659661,1628145234,0,4116814641,-3193920806,1000150578,-2193770228,1923044413,552645423,1370398990,1.46,0
2017,4,487640147837,-143357738800,344282409037,-80358268481,263924140556,3508111857,-16054259153,-16054259153,-3787404627,-233575040349,14015548284,969637642,-37953000,931684642,0,14947232926,359034749,-2583811136,-2224776387,12722456539,212560008,12509896531,0,0
2018,1,96622390691,-53346404340,43275986351,-27108785743,16167200608,1707880540,-14127966979,-14127966979,-63981812,-15841489826,-12158357469,193039120,-1445608632,-1252569512,0,-13410926981,-218485564,8080667945,7862182381,-5548744600,109982025,-5658726625,0,0
2018,2,164354014712,-5935754677,158418260035,-81681715638,76736544397,15819180484,-15313313755,-15313313755,-55548655,-17245492564,59941369907,2020591127,-2193728864,-173137737,0,59768232170,-12401258828,2749820479,-9651438349,50116793821,782853779,49333940042,0,0
2018,3,234064451686,0,234064451686,-91873410828,142191040858,1667335050,-24159989772,-13253344559,-605035647,-9979719365,109113631124,3957425489,-597428822,3359996667,0,112473627791,-27867189452,-299997604,-28167187056,84306440735,1310979648,82995461087,88.44,0
2018,4,264564980713,-175364330035,89200650678,-82978096620,6222554058,6979128536,-16991899336,-11975042759,-151405945,-46004291575,-49945914262,21167116064,-21070942507,96173557,0,-49849740705,28185600171,1022964991,29208565162,-20641175543,-401387569,-20239787974,21.57,0
2019,1,92736605543,-2430083628,90306521915,-50444767657,39861754258,128574548,-15364831223,-12001356400,-3287336098,-9077501836,12260659649,1141880744,-4142834595,-3000953851,0,9259705798,-3856758851,358435072,-3498323779,5761382019,241382634,5519999385,5.88,0
2019,2,317970504630,-39968339250,278002165380,-125260764285,152741401095,3400139986,-7471060450,-10296671452,-2939233314,-676651421,143429384673,5145844391,-485697032,4660147359,0,148089532032,-24719550070,298356033,-24421194037,123668337995,982512993,122685825002,131,0
2019,3,474283368344,-22158333554,452125034790,-337011032298,115114002492,2228030838,-26514581572,-8805949684,-3418258138,-15038590445,72370603175,2360903703,-670384339,1690519364,0,74061122539,-9696578556,3320861710,-6375716846,67685405693,2056273060,65629132633,69.93,0
2019,4,-365548835866,0,-365548835866,276277128242,-89271707624,1357725324,-8131819600,-7413357140,-86472669,-7310935260,-105068421052,1630969731,-233836820,1397132911,0,-103671288141,6299022039,367345317,6666367356,-97004920785,-1192150665,-95812770120,-102.1,0
2020,1,97795702605,-3479494562,94316208043,-42594891784,51721316259,1802140967,-9295555436,-9295555436,-274323593,-12150804137,31802774060,2216955633,-4326632,2212629001,0,34015403061,-8895106113,289550531,-8605555582,25409847479,320406098,25089441381,26.73,0
2020,2,162041931709,0,162041931709,-104480400188,57561531521,467068385,-5286106318,-5283126818,-279631307,-9469379435,41690080915,1072653578,-1461814664,-389161086,0,41300919829,-4309828521,-1276759815,-5586588336,35714331493,732037052,34982294441,37.28,0
