date,open,high,low,close,volume,unadjusted,putthrough
2009-12-04,14.3383,16.7280,12.4265,12.4265,1020,26.0000,0
2009-12-07,13.3346,13.3346,13.3346,13.3346,50,27.9000,0
2009-12-15,11.8530,11.8530,11.8530,11.8530,400,24.8000,0
2009-12-16,10.7059,10.7059,10.7059,10.7059,600,22.4000,0
2009-12-17,9.6544,9.6544,9.6544,9.6545,100,20.2000,0
2009-12-18,8.6986,8.6986,8.6986,8.6986,1001,18.2000,0
2009-12-21,7.8383,7.8383,7.8383,7.8383,10,16.4000,0
2009-12-22,7.0736,7.0736,7.0736,7.0736,20,14.8000,0
2009-12-23,6.4045,6.6912,6.4045,6.4044,6560,13.4000,0
2009-12-24,5.7831,6.4044,5.7831,5.7831,14845,12.1000,0
2009-12-25,5.7831,5.9743,5.7831,5.9743,19601,12.5000,0
2009-12-28,5.9743,6.4522,5.3052,6.4522,159966,13.5000,0
2009-12-29,5.8787,5.8787,5.8787,5.8787,10,12.3000,0
2009-12-30,6.4522,6.4522,6.4522,6.4522,1296,13.5000,0
2009-12-31,7.0735,7.0735,6.9301,7.0736,15000,14.8000,0
2010-01-04,7.7427,7.7427,7.7427,7.7427,9033,16.2000,0
2010-01-05,8.5074,8.5074,8.4596,8.4596,12540,17.7000,0
2010-01-06,9.3199,9.3199,9.3199,9.3199,10,19.5000,0
2010-01-07,10.2280,10.2280,8.4118,8.4118,1010,17.6000,0
2010-01-08,7.5993,7.5993,7.5993,7.5993,4700,15.9000,0
2010-01-11,6.8824,8.3162,6.8824,8.3162,1140,17.4000,0
2010-01-14,6.6912,6.6912,6.6912,6.6912,500,14.0000,0
2010-01-15,7.3603,7.3603,7.3603,7.3603,3000,15.4000,0
2010-01-18,8.0772,8.0772,7.6471,7.7427,1520,16.2000,0
2010-01-19,7.2170,7.4081,7.2170,7.2647,1400,15.2000,0
2010-01-20,6.9301,6.9301,6.9301,6.9302,50,14.5000,0
2010-01-22,7.5515,7.5515,7.5515,7.5515,30,15.8000,0
2010-01-25,8.1250,8.1250,7.8861,7.8861,210,16.5000,0
2010-01-27,8.6508,8.6508,8.6508,8.6508,20,18.1000,0
2010-01-28,9.0810,9.0810,9.0810,9.0809,90,19.0000,0
2010-02-01,8.1728,8.1728,8.1728,8.1728,20,17.1000,0
2010-02-02,7.3603,7.3603,7.3603,7.3603,600,15.4000,0
2010-02-03,7.3603,7.3603,7.3603,7.3603,1500,15.4000,0
2010-02-04,7.1691,7.1691,7.1691,7.1692,500,15.0000,0
