Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2016,3,376047620106,-1908782253,374138837853,-162478926951,211659910902,6989612289,-8112650451,-7508823521,-136328079196,-18478139834,55730653710,44144133,-207789,43936344,0,55774590054,-9826531427,-6762307,-9833293734,45941296320,0,45941296320,0,0
2016,4,258293575513,-2088641901,256204933612,-136264030877,119940902735,4460614804,-5640527919,-4778172728,-96765064665,-24902391488,-2906466533,179350643,-104562044,74788599,0,-2831677934,7929739586,-9668414233,-1738674647,-4570352581,0,-4570352581,0,0
2017,1,263716258763,-997643053,262718615710,-135918619488,126799996222,2637270272,-5678811749,-5345934682,-92000976632,-16953099871,14804378242,664970799,-34684717,630286082,0,15434664324,95735660,-1933183644,-1837447984,13597216340,0,13597216340,0,0
2017,2,520624323129,-4755367187,515868955942,-225230876456,290638079486,2917402817,-6460130151,-6187909163,-190171660064,-19133324689,77790367399,-111625022,-1287897,-112912919,0,77677454480,-14310200800,4944193100,-9366007700,68311446780,0,68311446780,0,0
2017,3,447821166966,-609749859,447211417107,-201040700264,246170716843,1917958996,-5223439562,-4462741088,-155793430821,-17007491500,70064313956,1319201715,-46456330,1272745385,0,71337059341,-10135679851,901982916,-9233696935,62103362406,0,62103362406,0,0
2017,4,270791257249,-3907217791,266884039458,-133845116574,133038922884,2144666478,-5845090008,-5511076969,-103775265651,-16022029045,9541204658,261891574,-83124,261808450,0,9803013108,4397811902,-6009586339,-1611774437,8191238671,0,8191238671,0,0
2018,1,216840082309,-907968492,215932113817,-117539353755,98392760062,1537985104,-5611306940,-5272892781,-91133777718,-14125424364,-10939763856,475675626,-835772,474839854,0,-10464924002,0,0,0,-10464924002,0,-10464924002,0,0
2018,2,498195081504,-10400321495,487794760009,-212008374948,275786385061,214955171,-5324234094,-4729000185,-193214367562,-15139410381,62323328195,295000592,-7617612,287382980,0,62610711175,-8882711782,1774758272,-7107953510,55502757665,0,55502757665,0,0
2018,3,358314657540,-10264608302,348050049238,-161282903139,186767146099,449620391,-4586598922,-3221158401,-156395329369,-25825281389,409556810,749102797,-3970433,745132364,0,1154689174,-3610630806,3271837523,-338793283,815895891,0,815895891,0,0
2018,4,209888268414,-5908642297,203979626117,-102184799496,101794826621,241955231,-4154447446,-3672918171,-100347728203,-21691073255,-24156467052,3244939960,-31890796,3213049164,0,-20943417888,6921532220,-3416913506,3504618714,-17438799174,0,-17438799174,0,0
2019,1,266940274887,-504574674,266435700213,-115029203549,151406496664,110741702,-3650965355,-3227042869,-111532168878,-15456328485,20877775648,2704904487,-58530,2704845957,0,23582621605,-8085632810,2330304636,-5755328174,17827293431,0,17827293431,0,0
2019,2,523272864824,-23289475673,499983389151,-189605153307,310378235844,106148280,-1966532881,-838758572,-180841319433,-34013726840,93662804970,1389478011,-50027832,1339450179,0,95002255149,-35235606466,14906129072,-20329477394,74672777755,0,74672777755,0,0
2019,3,400207437140,-9173166166,391034270974,-161821709541,229212561433,757570658,-1295299805,-185501709,-140374494427,-27178444740,61121893119,593726211,-12945719,580780492,0,61702673611,-18166388791,5243352740,-12923036051,48779637560,0,48779637560,0,0
2019,4,242064510119,-16438693312,225625816807,-106444378846,119181437961,861001915,-2144015355,-766453808,-95530356522,-18278607139,4089460860,1182715445,-210493992,972221453,0,5061682313,5759494756,-9560288438,-3800793682,1260888631,0,1260888631,0,0
2020,1,264590068228,-4293082356,260296985872,-114306153258,145990832614,431979790,-1964711603,-997768073,-91527943116,-26010693564,26919464121,1069954632,-32274,1069922358,0,27989386479,-8946026519,2548599284,-6397427235,21591959244,0,21591959244,0,0
2020,2,431352511425,-17488050494,413864460931,-168969044478,244895416453,277192342,-2952920799,-838933146,-117095091861,-10109731995,115014864140,1252572424,-3539017,1249033407,0,116263897547,-24878635589,1114002579,-23764633010,92499264537,0,92499264537,0,0
