Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2017,3,16500049380,256752693,0,0,0,-2402990,47518333,0,16801917416,-23943151622,24820246347,-4182053808,24340614,-47518333,-4078711915,0,0,9395068699,-100000000,0,0,0,0,-36270000000,-1501292181,-37871292181,0,0,36894014547,-6615625000,0,0,0,30278389547,1802166065,3095439835,0,4897605900
2017,4,7181470639,297550581,-48755222,0,0,3621966697,1811157474,0,12863390169,-3346104403,-78199430964,61256539310,-5911937350,-1568800370,-500000000,0,0,-15406343608,-2233350909,0,-37417790556,0,-85000000000,36270000000,8930417115,-79450724350,0,0,130752000000,-36252916388,0,0,0,94499083612,-357984346,4897605900,0,4539621554
2018,1,3704198386,336347175,0,0,0,-3421146,254225694,0,4291350109,-84659047588,-5170341634,10191310276,-707965455,-605319074,-1900000000,0,0,-78560013366,0,0,0,0,-440000000,0,3421146,-436578854,0,0,96922666391,-15966531376,0,0,0,80956135015,1959542795,4539621554,0,6499164349
2018,2,23504125079,363496595,0,0,0,-254191632,4041228341,0,27654658383,88640900822,-153042951973,50885616958,-7035809172,-414224459,-4651403730,0,0,2036786829,-1297969091,90909091,0,0,0,0,2782541,-1204277459,0,0,54892368289,-54239579364,0,0,0,652788925,1485298295,6499164349,0,7984462644
2018,3,5916243057,590996078,0,0,0,-11156178,1147873733,0,7643956690,-377618758115,-81412724687,-47960569647,-566950922,-2978466498,-200000000,0,0,-503093513179,-8342885454,0,0,0,-73500000000,0,11156178,-81831729276,622500000000,0,49304698042,-92854751913,0,0,0,578949946129,-5975296326,7984462644,0,2009166318
2018,4,28391999868,734341113,0,0,0,-42649643,2029602822,0,31113294160,-63213707056,-50348103797,133472820957,-2070839252,-1320233289,-1039565028,0,0,46593666695,0,0,0,0,0,0,4555122,4555122,0,0,266888942384,-161484733291,0,0,0,105404209093,152002430910,2009166318,0,154011597228
2019,1,8998221069,735135142,-952307622,0,0,-175416440,1003340289,0,9608972438,-140880881771,-49998205461,61851334149,-2344365755,-1003340289,-4000000000,0,0,-126766486689,-35445454,0,0,500000000,0,0,188841098,653395644,0,0,44000000000,-54220116711,0,0,0,-10220116711,-136333207756,154011420288,0,17678212532
2019,2,6961710397,739680087,0,0,0,-4902034,3353992897,0,11050481347,42343434552,-55928269055,-18374676117,1473275421,-3382023358,-7721981624,0,0,-30539758834,-92000000,0,0,0,0,940000000,4902034,852902034,0,0,108789697779,-81982624998,0,0,0,26807072781,-2879784019,17678212532,0,14798428513
2019,3,6776793867,1315629419,0,0,0,-2612671,1358855855,0,9448666470,17554259069,20417252098,-57837629066,-5310944800,-1053157582,0,0,0,-16781553811,-16335285000,0,-12000000000,12000000000,0,0,-1503099658,-17838384658,0,0,61052916500,-26811212777,0,0,0,34241703723,-378234746,14798428513,0,14420193767
2019,4,12861424352,1425373236,0,0,0,-202580694,5311951771,0,19396168665,59113893502,-71795752974,-25490479030,1600648612,-5536346901,1,0,0,-22711868125,0,0,12000000000,-12500000000,0,0,1708293023,1208293023,0,0,70670092314,-58127195778,0,0,0,12542896536,-8960678566,14420193767,0,5459515201
2020,1,6686500663,1425373236,0,-1629644,0,0,1720647645,0,9830891900,-27814678778,24271203746,-36576927184,3474280704,-1000000000,0,0,0,-29535877257,0,0,-4110000000,0,0,0,1629644,-4108370356,0,0,73721890015,-32660959998,0,0,0,41060930017,7416682404,5459515201,0,12876197605
