Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2012,3,18000000,18000000,25198.3916115556,30842.2819388333,25127.5330015556,1244.64063438889,5380.23045677778,5380.23045677778,5320.06238727778,10664,0.847686424398463,1.14123254910396,2.69107734006866,3.02245299226742,0,0,0,0,0.223215038985467,0.144526295973327,0.544459694910211,0.352524379046268,0.221642662533674,0.225450328124706,0.143060217838647,4.67572913253224,78.0626913266737,10.9204466156554,33.4235414398474,25.9999020816989,14.0385144087493,1340968779.94928,233923063.338164,0.0618556701030928,4.48352538064815,0.223038773086066,0.359759141673136,0.276817385669481,0.235327636235606,0.235327636235606,0.174443332936515,1.58980834736254,0.82009564613576,1.2705711293325,-0.0608843032990908,1.04068485124728,0.314713397952891,3.60579349822473,3.60579349822473,3.64657377823097,0.769890408049039,0.62900663571114,0.772061467347352,15.5868284097323,0.420881794510736,1.52043121674904,1.78849284870798,0.00924840175514041,-0.0301827400024837,0,0,-0.11268715152546,-0.110886498696841,-0.0206774776690221,0.0393469485520801,0.0490393883317459,0
2012,4,18000000,18000000,24830.9037722222,31645.4252446667,24761.5753071111,3001.7094515,5021.16440333333,5021.16440333333,4974.36118025,5552,0.529562616732188,1.10485760718126,2.70414050479603,3.1144281189884,0,0,0,0,0.181625229229725,0.117519775747899,0.545486519812155,0.35295456338141,0.207487485058941,0.204837698331979,0.134214545297285,4.8737083149763,74.8916382374383,11.2584727864557,32.4200277358317,28.0710017365398,13.0027422400421,1375888054.11594,218311495.797101,0.06,4.18430366944444,0.238988390661611,0.341786395422917,0.252463247411929,0.212745582051519,0.212745582051519,0.158669519038287,1.58227126223333,0.845874784966726,1.30767072539543,-0.0540760630132318,0,0,3.98313984436018,3.98313984436018,4.0206167737492,0.805447928253564,0.632002883366868,0.807703054104814,6.66287004893352,0.474545120578871,1.87966020972781,2.230575676368,0.0281322709744976,-0.0671570787846211,-0.228116880679425,-0.24955284524266,-0.24955284524266,-0.246850296427164,-0.552294342876147,0.0529177418904545,0.0535506311954377,0.682242990654206
2013,1,18000000,18000000,25610.1081509444,31899.5527987222,25542.3098316667,-728.618891888889,4953.58987605556,4953.58987605556,4905.78575559722,5552,0.783550713458308,1.05917138039008,2.98938086193162,3.52805746669656,0,0,0,0,0.163820238913523,0.107916227298671,0.518031560352195,0.341252167532016,0.198722206141968,0.198722815530878,0.1288860024202,4.50852299276907,80.957777211162,10.7119705977788,34.0740292991175,25.4298760218762,14.3531962045747,1386937078.20531,215373472.871981,0,0,0,0.345099019237204,0.246163856505122,0.206582637057378,0.206582637057378,0.155287126039396,1.71502972036141,0.82998511021127,1.27970818451204,-0.051295511017982,4.84067473809244,6.18228456918389,3.75485263523891,3.75485263523891,3.79144156036135,0.726275730284804,0.583080274427704,0.728203522805139,-25.5277487408828,0.443777229316252,1.80277168068749,2.14818261417097,-0.244487749980975,-0.129149986662987,0,0,-0.0303694992723184,-0.0582789266643917,-0.0127942043580916,0.00989276887097601,0.0293497051314648,0
2013,2,18000000,18000000,24824.43432,30960.8845264444,24758.1661465556,1722.92360627778,4573.72384788889,4573.72384788889,4546.28696893056,5552,0.819909607899418,0.835837675321457,2.57102382710919,3.14300702003791,0,0,0,0,0.172044744383749,0.111226333136654,0.546798671968915,0.353503453214695,0.182015533161995,0.180927534551504,0.118268598078343,4.43594261349115,82.2823989854863,9.67020504724349,37.7448046051561,25.4234271834883,14.356836997848,1346125414.19324,198857558.603865,0,0,0,0.342756964253553,0.244001744396143,0.197117483076235,0.197117483076235,0.147725877921296,1.62098871866201,0.800594992174309,1.23211678091341,-0.0493916051549381,12.3046265870188,0.416022903161788,4.17602825076902,4.17602825076902,4.20123061534169,0.76940323206527,0.61690743956899,0.771462631236008,11.0858078271177,0.501607426987134,2.05575344647029,2.54471302676454,0.165144551758374,0.174394673317889,0,0,0.298671538442199,0.282643354750338,-0.0766849976827607,-0.0123093598806272,-0.0306782707169266,0
2013,3,18000000,18000000,25787.7463197778,29747.8176137778,25723.0082917222,1054.8474375,4319.31411183333,4319.31411183333,4280.03312766667,5552,1.19046368315848,1.04754301823929,2.74576818815721,3.35772954969669,0,0,0,0,0.158420685935979,0.104444400685018,0.516794437010964,0.34071488159554,0.17088906030672,0.168526971258328,0.111548080121352,4.38116401054789,83.3111928978789,8.58439316141104,42.5190218035172,23.4116812100547,15.590507863367,1293383374.51208,187796265.731884,0.0570342205323194,2.87954274122222,0.347277359590624,0.346867271167813,0.244835831882786,0.193553395829613,0.193553395829613,0.145197680310936,1.13109572675961,0.768249739820055,1.1769407055317,-0.0483557155186772,0,0,6.08892970482227,6.08892970482227,6.14481225156729,1.01986422829937,0.884098468716545,1.02243095759773,24.932515418847,0.740237813083996,3.02340473365999,3.82446306307968,-0.0261957074726998,0.00360693478035068,0,0,-0.0597681599875208,-0.0420971899310015,-0.0556242013109262,0.0186546336385065,0.0388049929903811,0
2013,4,18000000,18000000,25379.539907,29918.4248588889,25316.0423941667,5503.81850588889,4626.50421233333,4626.50421233333,4522.31593570833,4556,1.12915820793018,1.61336745028108,3.6972749031861,4.49082324958319,0,0,0,0,0.113514679992063,0.0751236415958949,0.511038037834758,0.338203291405589,0.184284538168614,0.180314694920178,0.120599217857387,4.67863166642377,78.0142627211766,9.30656348707456,39.2196325213846,25.8125391413284,14.1404143932357,1300801080.82126,201152357.057971,0.0535714285714286,3.08433614155556,0.324218876965745,0.35663482360573,0.269863672444236,0.208935008082988,0.208935008082988,0.154637292375998,1.06851517353175,0.779884437992821,1.19172119051677,-0.0542977157069899,0,0,6.05208570336057,6.05208570336057,6.19151788553984,1.1032508903866,0.935878146395166,1.10601805622082,5.08737705831706,0.780521320495321,2.89228006654585,3.73571345298583,-0.0545734611693625,-0.0135007378195012,-0.0174230271379171,-0.0715073862985522,-0.0715073862985522,-0.0785993365877449,-0.0785993365877449,-0.000687330398440378,0.0220948919060902,0
2014,1,18000000,18000000,26289.1759421111,30333.0367767222,26226.7267231111,680.329809111111,4771.0687125,4771.0687125,4487.463159,4556,0.869704904713867,1.90643655757803,4.14219362741137,5.01176852768104,0,0,0,0,0.106387472545219,0.0709225382654927,0.500051678169867,0.333356300617558,0.186548861794861,0.179758052195296,0.122886387588561,4.94164226037216,73.8620848633652,8.21930867155958,44.4076277683756,24.6773022822299,14.7909198430833,1318827685.94444,207437770.108696,0,0,0,0.345530349709839,0.267958591414015,0.209318232001281,0.209318232001281,0.157289517288337,1.09111643081735,0.781275126957703,1.1860222156629,-0.0520287147129445,1.21406908230212,0.982120062947389,5.82678675894253,5.82678675894253,6.19503693177841,1.05746943385429,0.916492476656142,1.05998740496665,40.8625340646506,0.740710667416879,2.76427288077668,3.53868203612739,-0.211597605633079,-0.294767679954283,0,0,-0.241227135047191,-0.202602755341807,0.0257750247860098,0.0282437948066063,0.0349909335781355,0
2014,2,18000000,18000000,26010.8648857778,31218.4966188333,25950.1451356111,1056.14946077778,4975.10595211111,4975.10595211111,4643.14952015278,4556,0.825090770789303,1.38884974688322,3.34783179157402,4.14057010047146,0,0,0,0,0.132923154882243,0.0871824917319575,0.524654230931081,0.344113583452088,0.192296587659315,0.182959738037804,0.127111071814028,5.18755013430354,70.3607657854478,8.20273569476345,44.4973498576838,23.898398425134,15.2729899931758,1357325939.94928,216308954.439614,0,0,0,0.345803096840588,0.269829831458756,0.210040454828729,0.210040454828729,0.159364046669363,1.08397557704282,0.797614483759617,1.20664975368176,-0.0506764081593658,10.9949066424008,1.19437790714092,5.78882143962766,5.78882143962766,6.20268631776742,1.10722961833335,0.922530010065433,1.10982038248711,27.2688677782318,0.768715001973124,2.84888812262636,3.65984258889531,0.223895702364632,0.429076361453125,0,0,0.357074561467536,0.329871452765518,0.0427655210826332,0.00564097927347373,-0.010586526445187,0
2014,3,18000000,18000000,27186.4597843889,33079.8697475,27126.7883280556,1034.11879694444,5323.34241983333,5323.34241983333,5009.48006575,4556,0.187443447827823,1.55212151986057,3.52962730866884,4.24169034676175,0,0,0,0,0.137177635745037,0.0901873371029137,0.521029893459459,0.342550725465637,0.203012683934344,0.190920456998814,0.134092578247729,5.41679656637616,67.3829994402365,8.4835639210772,43.0243708181613,24.6424182715988,14.8118579912538,1438255206.41304,231449670.427536,0.0487012987012987,3.54889494655556,0.281777853404922,0.351507843945583,0.267421363763639,0.210587317754002,0.210587317754002,0.160923923233877,1.0740217450487,0.833266897506889,1.2615444606039,-0.0496633945201251,0,0,5.7858385899144,5.7858385899144,6.14834266146316,1.13291690953031,0.931079845086987,1.1354090144223,29.783812160659,0.756096022118346,2.82735833621215,3.59041574859499,0.092997487099354,0.175489952441889,0,0,0.0556285233470999,0.0658440543641043,0.0699957892503682,0.0427117094941465,0.0451963017674935,0
2014,4,18000000,18000000,27005.1883116667,34667.1332187778,26946.5651491667,7697.69916172222,5375.55760333333,5375.55760333333,5138.95623275,5335,0.252331822360412,1.18926393201107,2.33779513204863,2.84942730720344,0,0,0,0,0.21909955842734,0.136517981390496,0.604913552015007,0.376913480016119,0.205233768929542,0.191011282312255,0.1316079926593,5.82199493698165,62.6932870864416,8.45579657699163,43.1656552610515,20.0041820527427,18.2461846746669,1204649416.86873,186795437.953668,0.0461538461538462,3.58370506888889,0.279040819703962,0.351992488150494,0.252746140092285,0.200814440573363,0.200814440573363,0.155062074772933,1.06668102211624,0.848743916602575,1.32355876980286,-0.0457523658004305,0,0,6.04588442691918,6.04588442691918,6.32424144671268,1.20347244481015,0.93748738307545,1.20609063975655,4.22204080949413,0.734509354200293,2.90611502091428,3.65765206975719,0.15872187062943,0.143638723200375,0.0852238005566206,0.113686434674208,0.113686434674208,0.161904832811602,0.161904832811602,0.130159428366533,0.0640535017822876,0
