Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2006,0,2462599940,0,2462599940,-2390561130,72038810,1471056,-56880827,-56880827,0,-5371354,11257685,0,0,0,0,11257685,-1407211,0,-1407211,9850474,0,9850474,20,0
2007,0,7593252141,0,7593252141,-7063801186,529450955,4702107,-38160050,-38160050,-307792429,-88095036,100105547,3294924000,-3037524819,257399181,0,357504728,-44688091,0,-44688091,312816637,0,312816637,208,0
2008,0,45947555761,0,45947555761,-21073509655,24874046106,9515843,-1070931586,-1070931586,-7012260413,-3383470803,13416899147,9184991539,-8900169953,284821586,0,13701720733,-1724691499,0,-1724691499,11977029234,0,11977029234,1025,0
2009,0,75208548266,0,75208548266,-46610255622,28598292644,23577957,-1518636764,-1518636764,-3791463999,-2982687812,20329082026,8037750896,-4436743455,3601007441,0,23930089467,-3001837285,0,-3001837285,20928252182,0,20928252182,1790,0
2010,0,77344330385,0,77344330385,-51665129091,25679201294,3271323291,-1407996763,-1353283963,-4511093893,-3449686908,19581747021,14781651264,-4585723063,10195928201,0,29777675222,-3772192694,0,-3772192694,26005482528,0,26005482528,2224.59,0
2011,0,60257823551,0,60257823551,-45534916999,14722906552,4918895948,-8296532940,-6816532940,-5290265001,-5641000297,414004262,225186307,-71673307,153513000,0,567517262,-159797642,0,-159797642,407719620,0,407719620,34.88,0
2012,0,68049939729,0,68049939729,-57048049259,11001890470,2381553785,-9188193890,-9364092390,-6913621882,-6527548548,-9245920065,613256817,-5506924604,-4893667787,0,-14139587852,0,0,0,-14139587852,0,-14139587852,-1209,0
2013,0,66206047171,0,66206047171,-48659028930,17547018241,3157664,-7115902478,-7115902478,-3888958117,-3479658316,3065656994,2122735245,-3297743597,-1175008352,0,1890648642,0,0,0,1890648642,0,1890648642,161.73,0
2014,0,118898271218,0,118898271218,-99340002722,19558268496,2321230,-5164878738,-5164878738,-2445383176,-4639568979,7310758833,6352613243,-2134740058,4217873185,0,11528632018,-271406245,0,-271406245,11257225773,0,11257225773,394,0
2015,0,100672621461,0,100672621461,-91541741296,9130880165,1474379458,0,0,0,-1876347565,8728912058,0,0,0,0,8728912058,-1920360653,0,-1920360653,6808551405,0,6808551405,246,0
2016,0,35038077748,0,35038077748,-34278017842,760059906,1401198533,0,0,0,-1428214577,733043862,0,-40610156,-40610156,0,692433706,-146608772,0,-146608772,545824934,0,545824934,19,0
2017,0,178221822883,0,178221822883,-169743628305,8478194578,626486981,-1380238666,-1380238666,-5165036364,-2445106870,1217275898,1865897668,-149127418,1716770250,0,2934046148,-95253180,0,-95253180,2838792968,-74036071,2912829039,63,63
2018,0,70866768760,0,70866768760,-69684156725,1182612035,6368543235,-2524711513,0,0,-1193790794,3832652963,0,-2351000,-2351000,0,3830301963,0,0,0,3830301963,1247883395,2582418568,67,0
2019,0,60548273382,0,60548273382,-60174369394,373903988,36962,2523562783,0,0,-40831742843,-37934239110,432966,-90751476,-90318510,0,-38024557620,0,0,0,-38024557620,-431443013,-37593114607,-661,0
