date,open,high,low,close,volume,unadjusted,putthrough
2008-11-12,16.5458,16.5458,16.5458,16.5458,1740,20.0000,0
2008-11-13,15.7185,15.7185,15.7185,15.7186,10,19.0000,0
2008-11-14,14.9740,14.9740,14.9740,14.9740,50,18.1000,0
2008-11-17,14.2294,14.2294,14.2294,14.2294,10,17.2000,0
2008-11-18,13.5676,13.5676,13.5676,13.5676,8770,16.4000,0
2008-11-19,12.9058,12.9058,12.9058,12.9058,1000,15.6000,0
2008-11-20,12.3267,12.3267,12.3267,12.3267,10,14.9000,0
2008-11-21,11.7476,11.7476,11.7476,11.7476,20,14.2000,0
2008-11-24,11.1685,11.1685,11.1685,11.1684,50,13.5000,0
2008-11-25,10.6720,10.6720,10.6720,10.6721,1770,12.9000,0
2008-11-26,10.1757,10.7548,10.1757,10.1757,152050,12.3000,0
2008-11-27,9.6793,10.6721,9.6793,10.2584,54050,12.4000,0
2008-11-28,9.9275,10.7548,9.9275,10.7548,24950,13.0000,0
2008-12-01,10.4239,11.0857,10.4239,11.0030,33710,13.3000,0
2008-12-02,10.5066,10.5066,10.5066,10.5066,24310,12.7000,0
2008-12-03,10.0930,10.0930,10.0102,10.0102,3950,12.1000,0
2008-12-04,9.5138,10.2584,9.5138,9.5139,23580,11.5000,0
2008-12-05,9.5139,9.9275,9.5139,9.9275,34300,12.0000,0
2008-12-08,10.4239,10.4239,10.3411,10.4239,14730,12.6000,0
2008-12-09,10.6721,10.9203,10.5894,10.9203,40750,13.2000,0
2008-12-10,10.6721,10.6721,10.6721,10.6721,3300,12.9000,0
2008-12-11,10.1757,10.2585,10.1757,10.1757,15100,12.3000,0
2008-12-12,10.6721,10.6721,10.6721,10.6721,24870,12.9000,0
2008-12-15,11.0857,11.1685,11.0857,11.1684,22970,13.5000,0
2008-12-16,10.6720,10.7548,10.6720,10.6721,6260,12.9000,0
2008-12-17,10.4239,10.7548,10.1757,10.1757,26830,12.3000,0
2008-12-18,10.1757,10.6721,10.1757,10.6721,8420,12.9000,0
2008-12-19,10.9203,11.1685,10.7548,11.1684,46440,13.5000,0
2008-12-22,11.1684,11.6648,11.1684,11.6648,20800,14.1000,0
2008-12-23,11.7475,11.7475,11.5821,11.7476,17100,14.2000,0
