Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2012,4,25089362499,84752376,84752376,0,0,0,0,10350748721,9931128721,419620000,0,0,0,0,13331994218,13331994218,0,1321867184,22627155,48444971,0,1250795058,17403924351,0,0,0,0,0,15381812990,15381812990,19558203340,-4176390350,0,0,0,0,0,0,0,0,0,0,200000000,0,0,200000000,0,1822111361,1822111361,0,0,0,42493286850,10604467927,10604467927,3000000000,6743325176,170000000,398553863,0,182588888,0,0,110000000,0,0,0,0,0,0,0,0,0,31888818923,31888818923,30000000000,0,0,0,0,0,0,0,0,1888818923,0,0,0,0,42493286850
2013,1,24007465260,1352590667,1352590667,0,0,0,0,6432378844,6081128721,351250123,0,0,0,0,12271948260,12271948260,0,3950547489,15313577,0,0,3935233912,17019544473,0,0,0,0,0,14997433112,14997433112,19558203340,-4560770228,0,0,0,0,0,0,0,0,0,0,200000000,0,0,200000000,0,1822111361,1822111361,0,0,0,41027009733,8328301810,8328301810,3300000000,3673621096,0,899941826,47200000,297538888,0,0,110000000,0,0,0,0,0,0,0,0,0,32698707923,32698707923,30000000000,0,0,0,0,0,0,0,0,2698707923,0,0,0,0,41027009733
2013,2,35912738246,1487283175,1487283175,0,0,0,0,12852507339,12552333221,296388558,0,0,3785560,0,17509897684,17509897684,0,4063050048,15313577,37944068,0,4009792403,15937319670,0,0,0,0,0,13570483231,13570483231,18824126776,-5253643545,0,0,0,0,0,0,0,0,0,0,200000000,0,0,200000000,0,2166836439,2166836439,0,0,0,51850057916,18827725319,18827725319,4800000000,10616343439,1225000000,1004284786,54050000,297538888,0,0,750000000,0,0,0,0,0,0,0,0,0,33022332597,33022332597,30000000000,0,0,0,0,0,161016412,80508206,0,2780807979,0,0,0,0,51850057916
2013,3,29492558058,191820458,191820458,0,0,0,0,8820162287,8487625321,332536966,0,0,0,0,17527997684,17527997684,0,2952577629,3999999,46622098,0,2901955532,14627277236,0,0,0,0,0,12829919290,12829919290,18824126776,-5994207486,0,0,0,0,0,0,0,0,0,0,200000000,0,0,200000000,0,1597357946,1597357946,0,0,0,44119835294,12918421419,12918421419,4800000000,4624743439,1367296100,944284786,54050000,297538888,0,0,750000000,0,0,0,0,0,0,0,0,0,31201413875,31201413875,30000000000,0,0,0,0,0,161016412,80508206,0,959889257,0,0,0,0,44119835294
2013,4,28673179083,199724044,199724044,0,0,0,0,412536966,80000000,332536966,0,0,0,0,26359841020,26359841020,0,1701077053,3999999,814885522,0,882191532,13376067783,0,0,0,0,0,11843587429,11843587429,18824126776,-6980539347,0,0,0,0,0,0,0,0,0,0,200000000,0,0,200000000,0,1332480354,1332480354,0,0,0,42049246866,11217530098,11217530098,4397250000,2722199618,2065748600,904284786,0,297538888,0,0,750000000,0,0,0,0,0,0,0,0,0,30831716768,30831716768,30000000000,0,0,0,0,0,161016412,80508206,0,590192150,0,0,0,0,42049246866
2014,1,29454284691,72550607,72550607,0,0,0,0,3434786966,3107750000,327036966,0,0,0,0,24631797449,24631797449,0,1315149669,3999999,544458138,0,766691532,12634604443,0,0,0,0,0,11102124089,11102124089,18824126776,-7722002687,0,0,0,0,0,0,0,0,0,0,200000000,0,0,200000000,0,1332480354,1332480354,0,0,0,42088889134,10669577492,10669577492,4397250000,2716899618,195296100,355730970,0,297538888,0,0,2626353710,0,0,0,0,0,0,0,0,0,31419311642,31419311642,30000000000,0,0,0,0,0,161016412,80508206,0,1177787024,0,0,0,0,42088889134
2014,2,86479802977,910415938,910415938,0,0,0,0,59381251122,59073544561,305036966,0,0,2669595,0,25986972573,25986972573,0,201163344,0,201163344,0,0,31262380929,0,0,0,0,0,10396140752,10396140752,18824126776,-8427986024,0,0,0,0,0,0,0,0,0,0,20200000000,0,0,20200000000,0,666240177,666240177,0,0,0,117742183906,83577137978,83577137978,24397250000,57736105536,0,1022164543,0,332538888,0,0,8570805,0,0,0,0,0,0,0,0,0,34165045928,34165045928,30000000000,161016412,0,0,0,0,0,80508206,0,3923521310,0,0,0,0,117742183906
2014,4,63854106940,1010115240,1010115240,0,0,0,0,34712916045,34358545079,354370966,0,0,0,0,28086611020,28086611020,0,44464635,43872500,592135,0,0,129201854094,56160000,0,0,56160000,0,8945694094,8945694094,18824126776,-9878432682,0,0,0,0,0,0,0,0,0,0,120200000000,0,0,120200000000,0,0,0,0,0,0,193055961034,36360774339,36360774339,4097250000,30429171539,5436500,1380869206,0,367538888,0,0,0,0,0,0,0,0,0,0,0,0,156695186695,156695186695,150000000000,0,0,0,0,0,161016412,80508206,0,6453662077,0,0,0,0,193055961034
2015,1,75122685746,627340727,627340727,0,0,0,0,45688010640,45273754474,414256166,0,0,0,0,28807334379,28807334379,0,0,0,0,0,0,128481130735,56160000,0,0,56160000,0,8224970735,8224970735,18824126776,-10599156041,0,0,0,0,0,0,0,0,0,0,120200000000,0,0,120200000000,0,0,0,0,0,0,203603816481,44045130250,44045130250,4097250000,37346160115,0,2153673041,0,367538888,0,0,0,0,0,0,0,0,0,0,0,0,159558686231,159558686231,150000000000,0,0,0,0,0,161016412,80508206,0,9317161613,0,0,0,0,203603816481
2015,2,90218512578,7526122760,7526122760,0,0,0,0,52532458203,30988811886,343646317,0,0,21200000000,0,30159931615,30159931615,0,0,0,0,0,0,107757407396,100256160000,0,0,100256160000,0,7501247396,7501247396,18824126776,-11322879380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197975919974,36382391610,36382391610,4095050000,26314030558,0,4188334234,76690000,1238011769,0,0,54000000,0,0,0,0,0,0,0,0,0,161593528364,161593528364,150000000000,-66000000,0,0,0,0,1248825147,0,0,10410703217,0,0,0,0,197975919974
