Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,3000000,3000000,10094.6182676667,1878.06363633333,10094.6182676667,78.0075923333333,66.3059846666667,66.3059846666667,66.3059846666667,141,0,0.31722260899366,1.12219537334422,7.55764966183999,0,0,0,0,0.0458381840763048,0.0438291360692568,0.0458381840763048,0.0438291360692568,0.00656844894066441,0.00796175630772456,0.00628055949828006,8.07412185514402,45.2061544956073,0.676194757474136,539.78531475669,13.2928329523173,27.4584056919461,70427386.3625,2486474.425,0,0,0,0.167317374619689,0.0427945513196667,0.0427945513196667,0.0427945513196667,0.0353055047677299,1.34147402595238,0.17789179165116,0.18604602834253,-0.00748904655193678,0,0,21.1142328560247,21.1142328560247,21.1142328560247,0.138687760436097,0.745448648765338,0.138687760436097,17.9469710335076,0.667291063388424,15.5928977594342,15.5928977594342,0,0,0,0,0,0,0,0,0,0
2012,0,3000000,3000000,10629.6063076667,5512.69070366667,10629.6063076667,-1043.98897533333,536.721373333333,536.721373333333,536.721373333333,537,0,0.00799213846309179,0.984066449051178,2.36592374758568,0,0,0.0940768614618158,0.0705993869241019,0.332545020014883,0.249556311434167,0.332545020014883,0.249556311434167,0.0517965216389478,0.0852015142431418,0.0434209570021627,3.11189571596856,117.291848221976,1.26998167282428,287.405722311162,3.62763270652571,100.616580985006,206725901.3875,20127051.5,0,0,0,0.221716359826556,0.34920875179633,0.160151857799576,0.118013397928157,0.0973610532831713,3.93763621690476,0.445978710561751,0.532004532534168,-0.0206523446449858,-2.3652697196502,-3.54467733065011,2.60842975435324,2.60842975435324,2.60842975435324,0.131707606046542,0.253959468298995,0.131707606046542,-1.34101032968571,0.430234405573031,1.23202641216724,2.68641532782875,1.93530559722111,2.88964549242811,22.9524512382327,9.98491817551588,7.09461430961206,7.09461432526096,7.09461432526096,0.341666807707597,0.0529973522340692,0
2013,0,3000000,3000000,10459.7444083333,3567.03045466667,10459.7444083333,-427.637438,57.1575026666667,57.1575026666667,57.1575026666667,57,0,0.0187182557323593,0.0573814645978858,2.68726733139516,0,0,0.140132487255829,0.104573811131811,0.340034237436342,0.253750410203601,0.340034237436342,0.253750410203601,0.00542050852455146,0.0234342389193796,0.00405647903991191,2.13783913127651,170.733145754544,0.465602466683302,783.93055474998,1.95241328887697,186.948123166048,133763642.05,2143406.35,0,0,0,0.136507867965158,0.353168834789513,0.0692751140779813,0.0213651115781652,0.0160238336602618,2.54787889619048,0.253152842566742,0.338277882776205,-0.0053412779179034,-3.25394731372536,-7.27447745293794,24.4937223406098,24.4937223406098,24.4937223406098,0.133846482795948,0.39248333250657,0.133846482795948,-3.27380129894053,0.784735469528882,2.22198391315185,11.3278120140737,-0.352942030233236,-0.601614856153051,-0.34560428955951,-0.720109305714353,-0.882856811478101,-0.893506192399816,-0.893506192399816,-0.0104496502133961,-0.0159800743712228,0
2014,0,15000000,15000000,10526.4807370667,6699.4072302,10526.4807370667,-1263.54830846667,447.689124066667,447.689124066667,447.689124066667,1259.13,0,0.0270025501389721,1.01610209636883,1.81789488197078,0,0,0.0259488433810706,0.0212317002862929,0.222174532946996,0.181786256346933,0.222174532946996,0.181786256346933,0.0709579777505795,0.0949332425398047,0.0571451895399148,5.83660078878471,62.5363997313923,3.25498695058316,112.135626207228,5.69584484779571,64.0818016911494,1256138855.6625,83941710.7625,0,0,0,0.11826663707823,0.118211519744117,0.0894040620539278,0.0835314805978678,0.0668251844802845,4.78529087871429,0.855144508531427,1.06184484640689,-0.0167062961175833,-80.1387908656767,137.984959818549,3.12717000422713,3.12717000422713,3.12717000422713,0.13299791591982,0.20897371243369,0.13299791591982,-1.10799087824265,0.240319576077669,2.03296241007534,2.68801629989373,8.39073455545538,7.13587240151981,2.14323602187488,11.1193566564584,35.7150884491713,38.1627610707134,6.83255221414269,3.58933190387382,4.03190151027025,4
2015,0,15000000,15000000,10886.2373716,12670.2779041333,10886.2373716,683.274810266667,386.541090733333,386.541090733333,737.626418833333,387,0,0.241756025766146,1.1692509210604,1.66418379800313,0,0,0.0201786891560049,0.0127559081420527,0.581909255796641,0.367852488165381,0.581909255796641,0.367852488165381,0.0361038788977363,0.0511509244323054,0.0256955430648986,3.74078580046419,97.573082092727,4.60332262356873,79.2905537689716,3.77896710764269,96.5872392119566,2375677107.025,72476454.5125,0,0,0,0.0937543503350585,0.0584543653215153,0.0432224270909386,0.0396953110162321,0.0305077042238541,9.05019850295238,0.842264067999165,1.18343480167566,-0.00918760679237808,-10.248712463081,134.259813549784,3.62186591170415,3.62186591170415,1.89797974185132,0.128602744199967,0.11049481397273,0.128602744199967,2.04895596759028,0.00696065040303728,0.119078367624929,0.1610425621956,0.891253579423785,0.499266868816463,-0.0647948026845047,-0.0856727527904321,-0.101250229153657,-0.136585925469629,-0.136585925469629,0.338575700738922,0.0341763447366155,0
