date,open,high,low,close,volume,unadjusted,putthrough
2006-12-20,8.0400,8.0400,8.0400,8.0400,14410,39.9000,0
2006-12-21,8.0400,8.0400,7.6600,7.6600,5560,38.0000,0
2006-12-22,7.2800,7.2800,7.2800,7.2800,10,36.1000,0
2006-12-25,6.9200,6.9200,6.9200,6.9100,2860,34.3000,0
2006-12-26,6.5700,6.5700,6.5700,6.5700,10060,32.6000,0
2006-12-27,6.2500,6.2500,6.2500,6.2500,12900,31.0000,0
2006-12-28,5.9500,5.9500,5.9500,5.9500,1500,29.5000,0
2006-12-29,5.6700,5.6700,5.6700,5.6600,550,28.1000,0
2007-01-02,5.3800,5.3800,5.3800,5.3800,10,26.7000,0
2007-01-03,5.1200,5.1200,5.1200,5.1200,510,25.4000,0
2007-01-04,4.8800,4.8800,4.8800,4.8800,10,24.2000,0
2007-01-05,4.8800,4.8800,4.6600,4.6600,71290,23.1000,0
2007-01-08,4.8800,4.8800,4.8800,4.8800,39040,24.2000,0
2007-01-09,5.1200,5.1200,5.1200,5.1200,79720,25.4000,0
2007-01-10,5.1200,5.1200,5.0400,5.0400,50820,25.0000,0
2007-01-11,5.0400,5.0400,5.0400,5.0400,3740,25.0000,0
2007-01-12,4.8000,4.8200,4.8000,4.8000,5300,23.8000,0
2007-01-15,0.0000,4.7400,4.6000,4.6000,3310,22.8000,0
2007-01-16,4.3800,4.3800,4.3800,4.3700,18700,21.7000,0
2007-01-17,4.4500,4.4500,4.1700,4.4500,5400,22.1000,0
2007-01-18,4.4500,4.4500,4.4100,4.4300,6600,22.0000,0
2007-01-19,4.2300,4.4300,4.2300,4.4300,14600,22.0000,0
2007-01-22,0.0000,4.2700,4.2100,4.2100,4100,20.9000,0
2007-01-23,4.0100,4.0100,4.0100,4.0100,10210,19.9000,0
2007-01-24,4.0300,4.0300,4.0100,4.0100,18100,19.9000,0
2007-01-25,4.1900,4.1900,4.1900,4.1900,4900,20.8000,0
2007-01-26,0.0000,4.3900,4.3300,4.3900,20450,21.8000,0
2007-01-29,4.2300,4.3900,4.2300,4.2300,12710,21.0000,0
2007-01-30,4.2300,4.2300,4.2300,4.2300,3310,21.0000,0
2007-01-31,4.3800,4.3800,4.2700,4.2700,1540,20.5000,0
2007-02-01,0.0000,4.3300,4.2700,4.2700,1340,20.5000,0
2007-02-02,4.2700,4.2700,4.2700,4.2700,940,20.5000,0
2007-02-05,4.4800,4.4800,4.1000,4.4800,10030,21.5000,0
2007-02-06,4.6900,4.6900,4.5800,4.6900,29430,22.5000,0
2007-02-07,4.9000,4.9000,4.7900,4.9000,22850,23.5000,0
2007-02-08,5.1300,5.1300,5.1300,5.1300,29810,24.6000,0
2007-02-09,5.3800,5.3800,5.3800,5.3800,29840,25.8000,0
2007-02-12,5.6300,5.6300,5.6300,5.6300,33190,27.0000,0
2007-02-13,5.5300,5.6300,5.5300,5.5300,17260,26.5000,0
2007-02-14,5.4000,5.5300,5.2600,5.4000,10400,25.9000,0
2007-02-15,5.4000,5.6300,5.4000,5.4000,7020,25.9000,0
2007-02-26,5.6500,5.6500,5.6300,5.6500,5570,27.1000,0
2007-02-27,5.6300,5.9200,5.6300,5.6300,21880,27.0000,0
2007-02-28,5.4200,5.4200,5.3600,5.4200,13930,26.0000,0
2007-03-01,5.3600,5.4200,5.3200,5.3600,8320,25.7000,0
2007-03-02,5.3600,5.3600,5.3200,5.3200,15650,25.5000,0
2007-03-05,5.5700,5.5700,5.4200,5.5700,21660,26.7000,0
2007-03-06,5.8400,5.8400,5.8400,5.8400,79240,28.0000,0
2007-03-07,6.1300,6.1300,6.1300,6.1300,10610,29.4000,0
2007-03-08,6.2600,6.4200,6.2600,6.4200,6220,30.8000,0
2007-03-09,6.7300,6.7300,6.7300,6.7300,7620,32.3000,0
2007-03-12,7.0600,7.0600,7.0600,7.0700,13540,33.9000,0
2007-03-13,7.4000,7.4000,7.0900,7.4000,51260,35.5000,0
2007-03-14,7.7500,7.7500,7.7500,7.7600,101730,37.2000,0
2007-03-15,7.3800,7.3800,7.3800,7.3800,24050,35.4000,0
2007-03-16,7.0300,7.0900,7.0300,7.0900,50120,34.0000,0
2007-03-19,7.3000,7.4400,7.3000,7.4400,15590,35.7000,0
2007-03-20,7.7900,7.7900,7.7900,7.8000,49420,37.4000,0
2007-03-21,8.1800,8.1800,7.9300,7.9200,66230,38.0000,0
2007-03-22,7.7100,7.7100,7.5200,7.5300,17760,36.1000,0
2007-03-23,7.2000,7.2000,7.1500,7.1500,14090,34.3000,0
2007-03-26,7.1500,7.1500,6.8000,6.8000,18110,32.6000,0
2007-03-27,6.6700,6.6700,6.4700,6.4600,1060,31.0000,0
2007-03-28,6.1500,6.1500,6.1500,6.1500,3400,29.5000,0
2007-03-29,6.1500,6.4400,6.1500,6.4400,3730,30.9000,0
2007-03-30,6.6700,6.7500,6.6700,6.7600,31480,32.4000,0
2007-04-02,6.7600,6.7600,6.4300,6.4400,10210,30.9000,0
2007-04-03,6.2500,6.2500,6.2500,6.2500,8650,30.0000,0
2007-04-04,6.0200,6.5600,6.0200,6.5700,7590,31.5000,0
2007-04-05,6.2600,6.2600,6.2600,6.2500,9350,30.0000,0
2007-04-06,6.0400,6.2500,6.0400,6.2500,5600,30.0000,0
2007-04-09,5.9400,5.9400,5.9400,5.9400,7760,28.5000,0
2007-04-10,5.7300,5.7300,5.6500,5.6500,6650,27.1000,0
2007-04-11,5.8400,5.8400,5.6500,5.8400,8260,28.0000,0
2007-04-12,5.8400,5.8400,5.8400,5.8400,1260,28.0000,0
2007-04-13,5.8400,5.8400,5.8400,5.8400,890,28.0000,0
2007-04-16,5.8400,5.8400,5.5500,5.5500,4620,26.6000,0
2007-04-17,5.4200,5.4200,5.2800,5.2700,9570,25.3000,0
2007-04-18,5.2700,5.5200,5.2700,5.4600,3850,26.2000,0
2007-04-19,0.0000,5.7300,5.6900,5.6900,9520,27.3000,0
2007-04-20,5.7300,5.7300,5.7300,5.7300,6090,27.5000,0
2007-04-23,5.7300,5.7300,5.7300,5.7300,4510,27.5000,0
2007-04-24,5.4600,5.4600,5.4600,5.4600,5860,26.2000,0
2007-04-25,5.4600,5.7300,5.4600,5.7300,11620,27.5000,0
2007-05-02,5.7300,5.7300,5.7300,5.7300,1750,27.5000,0
2007-05-03,5.7300,5.7300,5.6300,5.6300,2820,27.0000,0
2007-05-04,5.7300,5.7300,5.6500,5.7100,2090,27.4000,0
2007-05-07,5.7100,5.7100,5.6300,5.6300,3800,27.0000,0
2007-05-08,5.6300,5.8400,5.6300,5.8400,6480,28.0000,0
2007-05-09,5.8400,5.9400,5.8400,5.9400,6200,28.5000,0
2007-05-10,5.6500,5.9400,5.6500,5.6500,9080,27.1000,0
2007-05-11,5.6500,5.9200,5.6500,5.9200,9920,28.4000,0
2007-05-14,6.2100,6.2100,6.2100,6.2100,6670,29.8000,0
2007-05-15,6.4600,6.5000,6.4600,6.5000,21590,31.2000,0
2007-05-16,6.1900,6.1900,6.1900,6.1900,5300,29.7000,0
2007-05-17,5.9400,6.0400,5.9400,5.9600,7220,28.6000,0
2007-05-18,6.2500,6.2500,6.2500,6.2500,14020,30.0000,0
2007-05-21,6.4600,6.5600,6.4600,6.5700,3650,31.5000,0
2007-05-22,6.8800,6.8800,6.8800,6.8800,6600,33.0000,0
2007-05-23,7.1700,7.2100,7.1700,7.2100,1040,34.6000,0
2007-05-24,7.5600,7.5600,7.5600,7.5700,10370,36.3000,0
2007-05-25,7.9500,7.9500,7.9500,7.9400,54000,38.1000,0
2007-05-28,8.3400,8.3400,8.3400,8.3400,5080,40.0000,0
