Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2010,2,32080738946,1459489985,227436000,0,0,-12814046080,6683108187,0,27636727038,-21576041063,-19318562635,8879570420,-1374876517,-5637829251,-2184146476,135000000,-8170099791,-21610258275,-89490762,293945455,-37844213606,21973698987,-47586212424,1250000000,12627838407,-49374433943,103622006688,0,125941464795,-103914027669,0,-49000000,0,125600443814,54615751596,26678762306,0,81294513902
2010,3,50423744537,2184410432,227436000,0,0,-24344085477,12175931381,0,40667436873,-79259568732,-16989534225,47817279923,-1726703357,-10684827445,-6912868298,135000000,-9324478834,-36278264095,-4048451217,293945455,-40269138836,25711528267,-132117507433,1250000000,24157877804,-125021745960,128572006688,-43500000,174288194351,-140616787624,0,-49000000,0,162150913415,850903360,26678762306,0,27529665666
2011,1,14166688646,1563784861,0,0,0,-10360682783,7274260583,0,12644051307,-44923456111,-30975754798,59166709370,4887826725,-7274260583,-2027784214,1090505034,-1618689958,-9030853228,-86862425558,0,0,0,-4752000000,0,0,-91614425558,0,0,36904243154,0,0,0,0,36904243154,-63741035632,77016787717,0,13275752085
2011,2,-6002247843,2562615771,16152537660,0,0,-2572895956,9853483881,0,19993493513,-6063420198,-7212632854,-48029407315,-11465950633,-9853483881,-654743895,-863685034,-1863020000,-66012850297,75881599889,0,-16377476770,27031805037,-3798000000,24000000000,12933578739,119671506895,0,0,100736658048,-154643303062,-651018946,-844883570,0,-55402547530,-1743890932,13275752085,0,11531861153
2011,3,3987520271,566237116,-195036000,0,0,12933578739,9263749991,0,26556050117,-48019799940,-2189234139,182644633096,-4846902356,-9263749991,1718035467,-226820000,832758036,147204970290,-80610261604,0,3913034492,-27031805037,-60750000000,-24000000000,-12933578739,-201412610888,0,0,-103020636907,154643303062,651018946,844883570,0,53118568671,-1089071927,11531861153,0,10442789226
2011,4,-6212848081,-3554231111,2113279400,0,0,0,0,0,-7653799792,-22661402432,43802160032,-35028917867,6798372182,25217050498,0,0,-6330973183,4142489438,3668563398,0,-15038763557,0,9377721500,0,0,-1992478659,11250000000,0,3817343148,0,0,0,0,15067343148,17217353927,10442789226,0,27660143153
2012,1,2137575715,998883101,13928603260,0,0,0,0,0,17065062076,15942500759,6782862162,31003432748,105987776,-1169831424,0,0,-1588865697,68141148400,-7057506678,0,-18996906833,0,-72834298500,0,0,-98888712011,0,0,0,12919965361,0,0,0,12919965361,-17827598250,25619604136,0,7792005886
2012,2,982353012,2549578450,-18070781060,0,0,0,3124806688,0,-11414042910,77113011590,-10802380958,-86400369884,4838203457,-1954975264,0,0,2557016954,-26063537015,4966088496,0,9293719792,719000000,12301298500,0,0,27280106788,2000000000,0,11106078884,-12919965361,-286393753,0,0,-100280230,1116289543,7792005886,0,8908295429
2012,3,257577869,4217727324,-610393269,0,0,0,-754869302,0,3110042622,7503170758,9818373335,-15592186544,-18047278445,5135453752,400000000,0,-1382841747,-9055266269,2090418182,0,-1474196025,281000000,-3280000000,0,0,-2382777843,3000000000,0,11636760317,-347439448,-766110227,0,0,13523210642,2085166530,8908295429,0,10993461959
2013,1,938701956,3837031329,0,0,0,0,5151192339,0,9926925624,-20250027030,-1030361870,18789030020,1143239071,7010451095,-50000000,413646692,-1932896692,14020006910,742346496,0,16894960849,6964979967,-5000000000,0,0,19602287312,0,0,0,-22346251990,-1182640907,0,0,-23528892897,10093401325,8468080636,0,18561481961
2013,2,-39641427989,4395308838,32741385944,0,0,-2828981829,11163682475,0,5829967439,54983739063,4809364345,-42755229292,-755454062,-11243937046,-2015862575,3279963082,1729784995,13862335949,-807214164,0,-20254960849,15708979303,0,3777675000,1257886337,-317634373,0,0,47973419000,-63545671881,141831159,0,0,-15430421722,-1885720146,18561481961,0,16675761815
2013,3,-3100729496,-2681322245,-72681041,0,0,0,7495153324,0,1640420542,-32041349688,10363891794,6566614880,-1958576752,0,-854823374,3692811122,1744353565,-10846657911,0,0,0,6442834416,0,0,0,6442834416,0,0,-10426476166,18429894711,0,0,0,8003418545,3599595050,16675761815,0,20275356865
2013,4,-1360021073,-887760458,0,0,0,0,5491903041,0,3244121510,38838770492,-11891399713,-24273208310,-11195284256,0,-471415112,4273845621,-17226783,-1491796551,0,0,0,-21320218861,0,0,0,-21320218861,0,0,10426476166,7537015894,0,0,0,17963492060,-4848523352,20275356865,0,15426833513
2014,1,8454142828,9622282692,21157136713,0,0,7775624085,5726272986,0,52735459304,-32261448188,-2823715665,-6580894762,70097209,-20453564038,-600708670,191124243,8733877080,-989773487,0,0,0,0,0,0,346123611,346123611,0,0,24024626218,-22148544083,-258000000,0,0,1618082135,974432259,15427833513,0,16402265772
2014,2,5739937004,-2146590264,-23247191155,0,0,-20265634844,4554696403,0,-35364782856,17675206884,344642188,-9707478649,-718494523,12651141001,-1251114895,2313725757,-11699577080,-25756732173,-1039090909,340888350,0,48303334,-159817579,0,53267670,-756449134,0,0,22801282505,-7793796750,-1310503980,0,0,13696981775,-12816199532,16402265772,0,3586066240
2014,3,7625249962,4884652720,11863874801,0,0,7976518039,-2036308013,0,30313987509,8892918438,-31001013317,-5236365109,-4577714127,-12651141001,-286559832,-830179043,-6684733792,-22060800274,1039090909,-340888350,0,-48303334,159817579,0,12093563095,12903279899,0,0,29090097474,-16256433044,1052503980,0,0,13886168410,4728648035,3586066240,0,8314714275
2014,4,17863592338,1637792968,-14520201205,0,0,-22465717915,12766398686,0,-4718135128,59313784422,11342780261,-21807973466,-20942360406,-6917710363,-1038408701,9204774743,-343084156,24093667206,-1257710909,340888350,-40000000,1753217672,-309817579,0,-11860922409,-11374344875,0,0,-19703373342,8470558615,-4196255583,0,0,-15429070310,-2709747979,8314714275,0,5604966296
2015,1,3753774794,1783084275,734934664,0,0,7542723733,5411523445,0,19226040911,-4460083731,1197783017,9609043687,-183254839,215198578,-1700000000,0,-3253187425,20651540198,-693159091,7542723733,-1230000000,230000000,0,0,822813589,6672378231,0,0,2182901290,-9764651527,-1032000000,0,0,-8613750237,18710168192,5604966296,0,24315134488
2015,2,23185397534,4284177267,3815798890,0,0,-16309201017,3654162238,0,18630334912,-1701114573,-94312012116,79183162389,-2844197499,-8924984757,3482459190,0,2695185882,-3791166572,-1739595091,13023185358,230000000,-157584000,0,0,408578454,11764584721,0,0,10475563975,-20962494292,514000000,0,0,-9972930317,-1999512168,24315134488,0,22315622320
2015,3,3121889155,2627347341,3526874594,0,0,-64943471,4056113017,0,13267280636,9585186514,-33826515027,2406889572,1376134797,0,-17140905635,-342056500,0,-24673985643,-1870452727,0,0,63100389,0,0,64943471,-1742408867,7500000000,0,16574593995,-6837307262,-2502945372,0,0,14734341361,-11682053149,22315622320,0,10633569171
2015,4,2715838466,3145176655,-731483094,0,0,-1244603412,997923612,0,4882852227,12346099193,-30349331084,1457153930,-13018036064,-19070336494,12952889831,-110821200,0,-30909529661,-7707170909,12929545455,1000000000,-977065833,0,5547287776,-1231392043,9561204446,-7500000000,0,57553084809,-33275648690,-1658716543,0,0,15118719576,-6229605639,10633569171,0,4403963532
2016,1,2244514980,3451483931,1386426400,0,0,-845023437,4503371296,0,10740773170,-39577347561,-92958324506,109097904781,-4351035322,-2981783924,-401442632,0,-387603000,-20818858994,-442383228,0,0,16058000,-2625410000,0,845023437,-2206711791,0,0,62836549216,-14591912191,-3345297685,0,0,44899339340,21873768555,2903963532,0,24777732087
2016,2,-11139320201,3333706916,1277551000,0,0,695701033,1191625436,0,-4640735816,34014939195,-135722578268,17849428070,3898266476,-9849309006,-2216634794,0,-148500000,-96815124143,-2692396969,0,-900000000,18427373,0,0,-629085524,-4203055120,0,0,136528966094,-14260254681,-3525368219,0,0,118743343194,17725163931,24777732087,0,42502896018
2016,3,26889540955,-5341627598,-298315672,0,0,34040454,-3744579387,0,17539058752,-217970736406,-304917523016,225849226455,8015478087,3744579387,2618077426,-74173800,0,-265196013115,4548299662,0,0,-69672197,0,-33187004670,-191565054,-28899942259,0,0,268412111387,0,0,0,0,268412111387,-25683843987,42502896018,0,16819052031
2016,4,6930641955,2098999067,2768930020,0,0,115281950,3723930558,0,15637783550,-42171416766,-182563113241,62297048708,831486590,3412165640,0,-2464047151,536103000,-144483989670,-8913246306,0,900000000,-1514937500,2625410000,3716549699,-24372859,-3210596966,0,0,159203746119,10414231999,0,0,0,169617978118,21923391482,16819052031,0,38742443513
2017,1,7048038916,3660859573,-897625800,0,0,-1195264483,723973970,0,9539574547,-53205844963,-187682875056,106376037466,556873461,-2476787018,-500000000,6799396160,-1935640910,-122529266313,0,0,-1000000000,-590610750,0,0,1195264483,-395346267,99981870000,0,87378002672,-22623821444,-2716439866,0,0,162019611362,39094998782,38743071696,0,77838070478
2017,2,1938926072,3640715262,-2006556021,0,0,515576983,2653527645,0,6542597570,92812660193,-188611810148,247110937112,510012738,-4007958685,-242000000,-6799396160,-1255015635,146060026985,-68119862970,0,1000000000,590610750,0,0,-515576983,-67044829203,0,0,81403088803,-163562719059,2716439866,-7457022524,0,-86900212914,-7885015132,77838070478,0,69953055346
2017,3,3485905176,3785032216,-494973600,0,0,679687500,3376465250,0,10832116542,11453750875,-180053362548,68202959731,-589755287,-269221162,742000000,-2740202788,2700336545,-89721378092,-111493864,0,0,-13600583332,0,-506074188,-679687500,-14897838884,0,0,-128255597561,186186540503,0,7457022524,0,65387965466,-39231251510,69953055346,0,30721803836
2017,4,125761907764,-51447161173,-8222357803,0,0,-540834460,48222302858,0,113773857186,-106445703249,143240759218,-202519038302,4647720002,-48222302858,0,-11503183406,490320000,-106537571409,166025932571,0,0,13600583332,0,59265459501,540834460,239432809864,0,0,433844675263,-532238032123,0,0,0,-98393356860,34501881595,30721803836,0,65223685431
2018,1,17593258784,1865476880,-116600,0,0,-1195264483,5688186807,0,23951541388,-184829387155,-59002971100,-32606429491,-1639953036,-11022598153,-5325805725,15997298982,-1935640910,-255113945200,0,0,-1000000000,5782090000,0,0,1195264483,5977354483,0,0,238666595670,-22623821444,-518000000,0,0,215524774226,-33611816491,96387380638,0,62775564147
2018,2,25331061559,1767865659,173800,0,0,-3484458019,7380394214,0,30995037213,-138728962780,-34428584449,148732196557,-3538472171,-35849107470,-18573374063,-15997298982,-777970768,-68166536913,-619276364,5636363637,-4217910000,4667910000,-17280000000,-23861211105,-515576983,-36189700815,84692360000,0,181945185350,-113998296865,-2153910178,-2433600000,0,148051738307,43695500579,62775564147,0,106471064726
2018,3,28242752690,1356430661,-48400,0,0,0,-9819415907,0,19779719044,-58046175651,117404794755,841368867,2249068510,9895772902,-8042833554,1600000,-1220300000,82863014873,-336351042,0,0,0,0,-1225667406,0,-1562018448,0,0,-81951784467,0,0,-49997100000,0,-131948884467,-50647888042,106471064726,0,55823176684
2018,4,85095172770,1366429661,13846637800,0,0,425393494,0,0,100733633725,118418305225,184031413636,-33333829169,-14993286482,0,2641754904,-819205163,0,348298786676,-4500000,0,0,0,0,-60419560570,-425393494,-60849454064,0,0,-175704382650,1224100000,0,-125935904,0,-174606218554,112843114058,55823176684,0,168666290742
2019,1,31220632293,3835832645,254647494,0,0,-4788472502,637282780,0,31159922710,77715519133,337953836624,44042238928,-4099999294,-83450753031,0,-1253681996,-1443415454,400623667620,-6019416048,5636363637,-19158907420,41358332216,-50000000000,25574658857,788437500,-1820531258,0,0,80141030971,-497070129588,-5343820356,0,0,-422272918973,-23469782611,167428715233,0,143958932622
