Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,1000000,1000000,14938.152,42138.084963,13022.939627,0,4361.224208,4361.224208,4333.57233875,4361,0,0.0834746925198435,1.05672585433097,1.20222481918119,0.259808804087203,0.09185014468945,1.82861616566451,0.646470237942278,1.56880736157731,0.554620093252828,1.82861616566451,0.646470237942278,0.310181817420754,0.269626157860317,0.117326474435221,2.48310927349124,146.993128291455,16.2815942959952,22.4179520361701,0,0,386587935.440367,40011231.266055,0,0,0,0.221171402881345,0.114001901491681,0.114001901491681,0.114001901491681,0.103498396090602,0.614257798294461,1.13360669215119,2.99697221538799,-0.0105035054010791,0,0,15.7295283911714,15.7295283911714,15.829896131326,4.59226817346617,1.62798095974782,5.26762789084686,0,2.24934082232796,19.7307307412948,19.7307307412948,0.119802489071837,0.322504284534212,0.157482685075671,0.157482685075671,0.157482685075671,0.268040920434952,0.268040920434952,0.420204248680582,0.214643999896373,0
2007,0,1000000,1000000,18703.35,47574.133127,16847.950138,14370.946116,5263.542511,5263.542511,5065.12043275,5264,0,0.0636715038305603,1.18500681132477,1.46553754916173,0.0502678762314597,0.0237252368299296,0.126391553031059,0.0596537939091964,1.00548451272936,0.474564671948497,1.11875129389842,0.528023887050924,0.305390580103002,0.349858681789623,0.125347144045803,2.15320651333285,169.514627482263,9.61232268652596,37.9720918557632,9.16450652909065,39.8275672390423,436459936.944954,48289380.8348624,0,0,0,0.184141654659561,0.218478401745193,0.149415747440404,0.149415747440404,0.110638747677207,0.693500482900875,1.1329407343936,2.76024979055251,-0.0387769997631974,0,0,13.0330475828088,13.0330475828088,13.5436068916441,3.6677921334948,1.44196006297942,4.07171195534791,4.77352009020643,1.46693238745306,6.71431306589252,9.81778970813075,0.129005581738544,-0.060018821453381,1.16367737583429,0.479722799818064,0.479722799818064,0.206895646718835,0.206895646718835,-0.0749034768895402,0.235040180320353,0
2008,0,2000000,2000000,15596.271052,24330.6901125,14626.44967,2742.7559685,1984.365718,1984.365718,1759.341948625,2480,0,0.115310169071653,0.905384444505152,1.08736833012812,0,0,0,0,0.894495123481993,0.463895338785303,0.928226150804195,0.481388632975994,0.157174838721433,0.0755939503065363,0.0785839391069907,3.1446479017222,116.070228339428,9.14188310866667,39.926128529687,8.83373002528125,41.3188991462731,71350997.3973607,5819254.30498534,0,0,0,0.108499651213911,0.114848118244061,0.0417256269265634,0.106875500878788,0.0815581353765434,0.396265311278502,0.963532806925745,1.92715095797344,-0.0253173655022441,0,0,30.9418770154343,30.9418770154343,34.8994122762699,3.93683847858789,2.52356179442915,4.19787449348944,22.3862424164478,2.47744329317367,21.5714748404403,59.3746212018321,0.0228537448091293,-0.397315752593781,0.0174412117377893,-0.080118528563789,-0.268363554880173,-0.245996127568846,-0.622998063784423,0.502762770365731,0.651248512943792,1
2009,0,2000000,2000000,29091.4231735,57250.6142555,28069.9542915,17038.892814,10054.0013715,10054.0013715,9424.36059525,10054,0,0.478010533152513,1.1689746307119,1.2389395459407,0.15471948309892,0.0706524158810122,0.15471948309892,0.0706524158810122,1.02111796043093,0.466291958575195,1.18986826097338,0.543351525833107,0.447875575073746,0.373198453669745,0.213455066579135,6.01244933023211,60.7073723124265,25.6052908283311,14.2548664042567,9.17236233754848,39.7934563166804,167890364.38563,29483874.9897361,0.0570032573289902,2.87257182042857,0.348120103695373,0.221212608776216,0.222118991094988,0.164105534572451,0.212544574293908,0.175613860257126,0.932420427614007,1.21547961115714,2.55034297644836,-0.0369307140367823,0,0,6.10702124768454,6.10702124768454,6.51503084792261,2.11058770256144,1.07247757597817,2.18739223307509,3.60352052626041,0.947309147897742,4.26487236965987,5.77256062914511,1.35302056747199,3.79741466825874,2.18319746084937,3.24017179770708,3.67947986868718,4.06660706758894,4.06660706758894,1.10651754096451,0.854834047327606,0
2010,0,2000000,2000000,31202.254783,78055.6263765,30102.254783,-9506.488682,7728.578533,7728.578533,7462.522532125,7729,0,0.147027182581632,1.2677015976439,1.51436863060899,0.113634744497112,0.0555588483508271,0.273665429289819,0.133801824011348,0.902158799300514,0.441087839291752,1.04530417512552,0.511075168103721,0.256031000073655,0.248716308916795,0.12104608992313,3.95216593696231,92.3544218086511,17.7078918030153,20.6122786416533,8.53944751260499,42.7428120450682,228902130.136364,22664453.1759531,0.0814332247557003,1.5457157066,0.646949497718198,0.1592429437315,0.173508461736942,0.111143332162304,0.129682631226025,0.0990137276680265,1.2712642732329,1.22251825856889,2.58581316049504,-0.030668903557998,0,0,7.94453983197948,7.94453983197948,8.2277808523435,1.96780650715835,0.786618503371405,2.03971431517732,-6.45874644717744,0.865510665568619,4.98829081247247,7.78733774424459,0.363402426184472,-0.0185359820247843,1.11563830173237,1.81647578468311,-0.168129251782008,-0.231293268478345,-0.231293268478345,-0.000943278737231212,0.0696710207767519,0
2011,0,2000000,2000000,32283.071107,77482.941526,31158.071107,7538.9800655,8110.124857,8110.124857,8004.843789625,8330,0,0.0917846700187348,1.29336641696677,1.4077162490137,0,0,0.152382801924112,0.0703138033319906,1.16397356309302,0.537090847297306,1.16718190032514,0.538571266283661,0.255496045528766,0.307083323321016,0.121244440577742,2.3861185364566,152.968092080633,11.1903852576778,32.6172863217173,5.54702350791861,65.8010551927439,227222702.422287,23783357.3519062,0.0814332247557003,1.6220249714,0.616513319851594,0.183381369771979,0.187093843851237,0.134859786615014,0.12543640004605,0.10466981115164,1.26193715840391,1.1583515747639,2.44097168722906,-0.0207665888944093,0,0,7.57078356777757,7.57078356777757,7.67035580126872,1.9019256190495,0.792432486309219,1.97059695348746,8.14433775743481,0.834095194821863,4.4581648313617,6.18490667794813,-0.00733688110755348,0.143133367162266,0.908314869602031,2.82957788201483,-0.0398399005697806,0.0493682405336049,0.0493682405336049,0.0962921995209063,0.0346390455278529,0
2012,0,2000000,2000000,38172.8955695,50485.4777835,37047.8955695,26485.3164845,10699.9493195,10699.9493195,10595.31306575,11426,0,0.336129392030506,1.22966640174504,1.32602258890919,0,0,0,0,1.02949192515276,0.507265839490971,1.02949192515276,0.507265839490971,0.303734369826449,0.188628514935408,0.14514814939122,1.36445378280304,267.506312489507,9.07798410510788,40.2071644732917,3.29279075050726,110.848221966054,148051254.497067,31378150.4970674,0.0814332247557003,2.1399898639,0.467291932952225,0.224510775328434,0.202628986099115,0.13181554519575,0.252707823410353,0.211941132168448,0.822239051848534,0.68485125046826,1.43310723463082,-0.040766691241905,0,0,5.73834493665332,5.73834493665332,5.79501517500972,1.60847111763401,1.21619132264738,1.65731410802583,2.31826567131766,0.954542931853761,4.71079163070406,7.24150501700109,-0.348431063803131,-0.202294937444433,1.02072070470761,5.55504689342877,0.312669748236252,0.319332255441749,0.319332255441749,0.107317654845835,0.182443127637349,0
2013,0,2000000,2000000,56192.672145,114808.4026435,87998.284697,18725.754054,20444.2411805,20444.2411805,9867.758072,21147,0,0.784374466054919,1.53435633811731,2.03414823371977,0,0,0,0,0.675501864665774,0.296977775403178,0.676124721680114,0.297251608386014,0.433298748169531,0.137465902653344,0.199177435613038,3.65442303960944,99.8789674987954,8.66478151361485,42.1245474483668,9.29066594111618,39.2867424481036,336681532.678886,65127679.8665689,0.0814332247557003,4.0888482361,0.244567648946006,0.190520259095673,0.155923647893498,0.0766482611540647,0.217410726299424,0.193440012430635,1.86984369126221,1.11851758270063,2.43326894383445,-0.0239707138687885,0,0,3.00329072905695,3.00329072905695,6.22228469242917,1.09266916229865,0.534804061255496,0.697740873147874,3.27890667702561,0.591435137451103,3.79310736659444,7.71622380659498,1.27408767202006,0.929795003583809,0.380191094595091,-0.0633602117852333,0.956453289693414,1.07557420800361,0.910685795795465,0.649832502910819,0.472056843125564,0
2014,0,2000000,2000000,62042.468629,182674.2650375,94080.2392575,7330.8305615,10849.796484,10849.796484,9871.290062625,10850,0,0.531156209797669,1.67219978889937,2.2342309635031,0,0,0,0,0.624004521870425,0.287783245146153,0.624568651583079,0.288043414862398,0.183529133774853,0.168602874014837,0.0827146795525029,5.09527400138665,71.6350092067015,7.51550141520716,48.566287175656,12.9150742869359,28.2615486284281,535701657.001466,40320831.4648094,0.0814332247557003,2.1699592968,0.460838137136803,0.192450304692799,0.158675160283523,0.0856837722313368,0.0971079932515861,0.0752673263892835,2.97515089637622,1.39263840730543,3.09001645097496,-0.0218406668623026,0,0,5.65909232403995,5.65909232403995,6.22005833183595,0.989644695912379,0.336117405412282,0.652634394688843,8.37558575183282,0.420668040773149,2.65112724651731,4.90954155983459,0.591122782229932,0.60724148548441,0.63054083329857,0.804215130063034,-0.289314087537553,-0.380895626139037,-0.469298156473096,0.0525167447928192,0.104102479214819,0
2015,0,3600000,3600000,44990.5111738889,115587.115023889,68555.9381058333,12108.4705855556,7242.92862472222,7242.92862472222,6141.54817263889,9842,0,0.20338546667638,1.27649454929526,1.66238252702918,0,0,0.0839003642409061,0.0546781481950144,0.528014026521091,0.3441085083763,0.534440485103265,0.34829665294402,0.139424967704122,0.215670047212469,0.0799121017294792,3.69086010359089,98.8929381649784,7.72635238992524,47.2409206284638,8.16748149275309,44.6894186811271,610137264.055718,61922522.414956,0.0488599348534202,2.41430954157407,0.41419709560027,0.232263951837503,0.186588654119241,0.114848357369829,0.129706748832412,0.10148949435303,1.88252630332067,1.27528652745218,2.22502948934367,-0.028217254479382,0,0,8.47723388995218,8.47723388995218,9.9974791818034,1.36473221570407,0.531201077103708,0.895618989345805,5.0708303386594,0.517091451178836,2.77129096417827,4.5023843877342,0.13894974204653,0.37457287196454,0.632303343268763,1.28674716547233,0.521290505320546,0.535745176014037,-0.332436453033636,0.4254529376538,1.01430423628542,0.8
