date,open,high,low,close,volume,unadjusted,putthrough
2010-01-13,8.6900,12.9400,8.6900,11.5900,141100,60.0000,0
2010-01-14,11.3800,11.3800,11.3800,11.3800,45500,58.9000,15000
2010-01-15,12.1700,12.1700,12.1700,12.1700,167400,63.0000,41000
2010-01-18,13.0200,13.0200,12.1700,12.1700,28000,63.0000,0
2010-01-19,11.9400,12.1700,11.9400,11.9400,144700,61.8000,0
2010-01-20,12.3300,12.3300,11.2100,11.2000,38100,58.0000,0
2010-01-21,10.7400,11.1800,10.7400,10.9700,59700,56.8000,0
2010-01-22,11.5500,11.5900,10.8200,11.5900,73400,60.0000,0
2010-01-25,12.1300,12.1300,11.4000,11.4900,10200,59.5000,0
2010-01-26,11.8800,12.2000,11.8800,12.1100,57500,62.7000,0
2010-01-27,12.1100,12.1100,11.2800,11.6700,16900,60.4000,0
2010-01-28,10.8600,10.8600,10.8400,10.8400,38200,56.1000,0
2010-01-29,10.4300,10.6300,10.0900,10.5300,21800,54.5000,0
2010-02-01,10.9400,10.9400,10.5300,10.5300,2700,54.5000,0
2010-02-02,10.9700,10.9700,10.8200,10.9100,700,56.5000,0
2010-02-03,10.8100,10.8100,10.6200,10.6600,3400,55.2000,0
2010-02-04,10.8100,10.8100,10.3300,10.4500,22100,54.1000,5000
2010-02-05,10.2800,10.2800,9.7500,9.9900,38400,51.7000,0
2010-02-08,9.8500,9.8500,9.6600,9.8500,8400,51.0000,0
2010-02-09,10.4100,10.4100,9.0800,9.0800,12100,47.0000,0
2010-02-10,9.7900,9.7900,9.7800,9.7900,3000,50.7000,0
2010-02-11,10.3700,10.3700,9.7700,9.7700,400,50.6000,0
2010-02-12,10.0400,10.4300,10.0400,10.3900,18700,53.8000,0
2010-02-22,10.5400,10.5400,10.0400,10.2600,12500,53.1000,0
2010-02-23,9.8900,9.9500,9.8900,9.9500,6600,51.5000,0
2010-02-24,10.5700,10.6100,10.5700,10.6100,106300,51.2000,0
2010-02-25,11.0200,11.1700,10.6700,10.7800,45200,52.0000,0
2010-02-26,10.6800,10.7600,10.3700,10.5700,17200,51.0000,0
2010-03-01,10.5700,10.8800,10.5700,10.5900,25200,51.1000,0
2010-03-02,10.6700,10.6700,10.2600,10.2800,7000,49.6000,0
2010-03-03,10.3600,10.6500,10.1600,10.5700,11000,51.0000,0
2010-03-04,10.7400,10.7600,10.3200,10.3600,42400,50.0000,0
2010-03-05,10.3800,10.7300,10.3600,10.5700,96800,51.0000,50200
2010-03-08,10.7800,11.0700,10.7800,11.0700,63300,53.4000,0
2010-03-09,11.3000,11.3600,10.8200,10.9800,24700,53.0000,0
2010-03-10,11.1900,11.1900,10.4600,10.9200,27100,52.7000,0
2010-03-11,10.8200,10.8400,10.6700,10.6700,22900,51.5000,0
2010-03-12,10.1900,10.8600,10.1900,10.7800,34100,52.0000,0
2010-03-15,11.1900,11.3400,11.1900,11.3400,186000,54.7000,0
2010-03-16,12.1100,12.1100,10.5700,10.5700,53100,51.0000,0
2010-03-17,10.9800,10.9800,10.6700,10.9800,14600,53.0000,0
2010-03-18,11.1500,11.3700,10.5700,11.3600,38800,54.8000,0
2010-03-19,10.8800,10.9900,10.6100,10.7800,49000,52.0000,0
2010-03-22,10.6100,10.8800,10.5100,10.6700,35300,51.5000,9000
2010-03-23,11.4800,11.4800,10.8400,10.8800,49700,52.5000,0
2010-03-24,10.9800,11.0900,10.5700,10.5700,22400,51.0000,0
2010-03-25,10.7800,11.4800,10.3600,11.4000,76500,55.0000,0
2010-03-26,11.0700,11.5000,10.9000,11.5000,226600,55.5000,0
2010-03-29,12.1600,12.1600,12.1600,12.1700,55300,58.7000,0
2010-03-30,13.0200,13.0200,12.2300,12.4400,172700,60.0000,0
2010-03-31,12.0300,12.4400,12.0000,12.0000,124700,57.9000,0
2010-04-01,12.4400,12.8500,11.5000,12.8500,175100,62.0000,0
2010-04-02,13.0400,13.1000,12.9100,13.1000,130800,63.2000,0
2010-04-05,13.1000,13.8900,13.0600,13.7600,144000,66.4000,0
2010-04-06,13.5100,13.5100,12.5800,12.8100,151000,61.8000,0
2010-04-07,12.9600,13.3700,12.6400,13.0600,81400,63.0000,0
2010-04-08,13.7200,13.7200,12.4600,12.6600,89600,61.1000,0
2010-04-09,12.9300,13.1600,12.8300,12.8300,126100,61.9000,0
2010-04-12,12.8900,13.1000,12.2700,12.2900,62600,59.3000,0
2010-04-13,12.3300,12.3300,11.8300,11.9600,62500,57.7000,0
2010-04-14,12.4400,12.4400,12.0200,12.0400,40000,58.1000,20000
2010-04-15,12.0600,12.2300,12.0600,12.2300,21000,59.0000,0
2010-04-16,12.2300,12.2300,11.9200,11.9200,34800,57.5000,0
2010-04-19,12.1300,12.1300,11.5100,11.7700,67100,56.8000,0
2010-04-20,12.0200,12.5800,12.0200,12.5800,86300,60.7000,0
