Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,254648835027,0,254648835027,-234964040059,19684794968,124885103,-3084065067,-3084065067,0,-5992778586,10732836418,4319378978,-3944321790,375057188,526223379,11634116985,-5293347398,988447876,-4304899522,7329217463,1406544862,5922672601,987,0
2010,1,136721253255,0,136721253255,-121672547297,15048705958,189885643,-5866732275,-5866732275,0,-5648888601,3722970725,5827333882,-267264245,5560069637,0,9283040362,-2320760090,0,-2320760090,6962280272,1353253545,5609026727,935,0
2010,2,210559131338,0,210559131338,-176983830191,33575301147,3231226233,-9080196904,-9080196904,0,-7609493499,20116836977,969517059,-679870897,289646162,0,20406483139,-969517059,0,-969517059,19436966080,1202769089,18234196991,0,0
2010,3,155846171727,0,155846171727,-133894950388,21951221339,226326751,-10794383496,-10794383496,0,-6148873695,5234290899,1040296759,-577283846,463012913,0,5697303812,-1424325954,0,-1424325954,4272977858,1263583568,3009394290,251,0
2010,4,311894614654,0,311894614654,-284861900717,27032713937,368217602,-5707652586,-5707652586,0,-7335783698,14357495255,-489657591,-405550932,-895208523,0,13462286732,-2688491990,0,-2688491990,10773794742,2191864657,8581930085,747,0
2011,1,353389339905,0,353389339905,-304611075352,48778264553,789809060,-19673791412,-19673791412,0,-13653122940,16241159261,319289320,-202045658,117243662,149850745,16508253668,-4128646977,0,-4128646977,12379606691,2464474357,9915132334,845,0
2011,2,187934536628,0,187934536628,-160910774958,27023761670,4402993096,-11721926729,-11721926729,0,-8903243279,10801584758,548716498,-749612944,-200896446,-113711754,10486976558,-2281722589,0,-2281722589,8205253969,1148947874,7056306095,0,0
2011,3,263168895645,0,263168895645,-224917823101,38251072544,3797087080,-19122973994,-19122973994,0,-8269845098,14655340532,1453074146,-1526566157,-73492011,62412191,14644260712,-1471865821,0,-1471865821,13172394891,2150752414,11021642477,0,0
2011,4,380633607948,0,380633607948,-345615124333,35018483615,2081828553,-18836602322,-18836602322,0,-8368174415,9895535431,1097456846,-1641239339,-543782493,-24691122,9327061816,-3759533000,0,-3759533000,5567528816,-347424803,5914953619,500,0
2012,1,238493528386,0,238493528386,-214065088895,24428439491,1845431047,-17127913033,-17127913033,0,-7096609498,2049348007,561452726,-89925974,471526752,-49875654,2470999105,-1139610975,0,-1139610975,1331388130,-676565284,2007953414,180,0
2012,2,291420943962,0,291420943962,-261607433772,29813510190,2683976665,-20414861778,-20414861778,0,-7318618310,4764006767,1204244110,-266575019,937669091,-109088728,5592587130,-1215036718,0,-1215036718,4377550412,555121862,3822428550,343,0
2012,3,262478188890,0,262478188890,-244187489439,18290699451,3494670487,-12709436033,-12709436033,0,-7157739984,1918193921,2955091568,-2066009313,889082255,-100049764,2707226412,-777700965,0,-777700965,1929525447,-712469058,2641994505,237,0
2012,4,266026254909,0,266026254909,-229580541612,36445713297,1595460121,-16781081981,-16781081981,0,-10349704475,10910386962,1483837708,-319452973,1164384735,-39726765,12035044932,-2692736126,0,-2692736126,9342308806,1879734995,7462573811,670,0
2013,1,129489528316,0,129489528316,-110322073863,19167454453,1548574957,-12055620034,-12055620034,0,-7442784715,1217624661,34289990681,-32563588143,1726402538,-56641189,2887386010,-853466363,0,-853466363,2033919647,405159672,1628759975,146,0
2013,2,239278233787,0,239278233787,-219578460118,19699773669,2361145667,-13892862806,-13782994983,0,-7700919797,467136733,-16362876198,15428125991,-934750207,37887809,-429725665,-655287441,0,-655287441,-1085013106,-919219514,-165793592,-15,0
2013,3,176953718498,0,176953718498,-155915868535,21037849963,275531189,-12771094512,-12771094512,0,-7126302022,1415984618,887344992,-1108984334,-221639342,118820598,1313165874,-506106184,0,-506106184,807059690,284903604,522156086,47,0
2013,4,306745245372,0,306745245372,-287527350068,19217895304,1765595418,-8870077729,-8870077729,0,-10724722926,1388690067,2575614289,-3406879366,-831265077,-37887809,519537181,-1713506867,0,-1713506867,-1193969686,-1630423157,436453471,39,0
2014,4,457507756352,0,457507756352,-420772165958,36735590394,2215209054,-11939042237,-11939042237,0,-13205849943,13805907268,5913085878,-6451055000,-537969122,-50228049,13217710097,-4126254246,0,-4126254246,9091455851,67661522,9023794329,0,0
2015,1,376167265748,0,376167265748,-346521431498,29645834250,1383420928,-9454962582,-9454962582,0,-10050434130,11523858466,265476639,-90727973,174748666,-51918140,11646688992,-2409672053,0,-2409672053,9237016939,623091854,8613925085,774,0
2015,2,300483123697,0,300483123697,-272002174233,28480949464,1726823621,-11550408742,-11455713813,-118400000,-10244908594,8815656893,2317250498,-3335173544,-1017923046,0,7797733847,-1602200349,0,-1602200349,6195533498,1278805321,4916728177,399,0
2015,3,282103239853,0,282103239853,-263047191327,19056048526,2172031345,-11372875662,-11372875662,-59200000,-8428610215,1204865583,8651698030,-6735288651,1916409379,0,3121274962,-807469983,0,-807469983,2313804979,395044160,1918760819,172,0
2015,4,342980481477,0,342980481477,-313810232258,29170249219,2476841793,-11987009763,-11987009763,-59200000,-7135328082,12640924117,25617409068,-11799019425,13818389643,0,26459313760,-6318512352,0,-6318512352,20140801408,1954954943,18185846465,1467,0
2016,1,234734251639,0,234734251639,-210759674064,23974577575,1477978230,-8177633056,-8177633056,-65090000,-8557461318,8652371431,5379313988,-9023755906,-3644441918,0,5007929513,-1109664004,0,-1109664004,3898265509,85886894,3812378615,176,0
2016,2,177776291162,0,177776291162,-162966022300,14810268862,12319275417,-12651843432,-12651843432,-65090000,-7703767195,6709725579,2037062960,-3155509700,-1118446740,0,5591278839,-1437618917,0,-1437618917,4153659922,1824308911,2329351011,116,0
2016,3,251729187186,0,251729187186,-226183987044,25545200142,222614404,-12501948356,-12501948356,-65090000,-7521163480,5679612710,633412626,-2729301496,-2095888870,0,3583723840,-1114342017,0,-1114342017,2469381823,1169404312,1299977511,30,0
2016,4,204012848962,0,204012848962,-186609513136,17403335826,-270428990,-7700432486,-7700432486,-65090000,-7858456184,1508046239,297226344,189449939,486676283,0,1994722522,-613240604,0,-613240604,1381481918,-7548119716,8929601634,209,0
2017,1,134063976289,0,134063976289,-111445753798,22618222491,170194190,-11927184867,-11927184867,-86790000,-7770878224,3003563590,369509551,-1617634144,-1248124593,0,1755438997,-408146370,0,-408146370,1347292627,216170008,1131122619,26,0
