date,open,high,low,close,volume,unadjusted,putthrough
2017-09-21,14.00,14.00,13.60,14.00,5300,14.00,0
2017-09-22,14.00,15.20,14.00,15.20,1300,15.20,0
2017-09-25,15.10,15.10,15.10,15.10,500,15.10,0
2017-09-26,14.90,14.90,14.30,14.30,2600,14.30,0
2017-09-27,13.50,13.50,13.50,13.50,200,13.50,0
2017-09-28,13.10,13.10,12.70,12.70,600,12.70,0
2017-09-29,14.80,14.80,14.80,14.80,100,14.80,0
2017-10-04,13.00,13.00,13.00,13.00,100,13.00,0
2017-10-05,13.10,13.10,13.10,13.10,200,13.10,0
2017-10-09,13.10,13.10,13.10,13.10,100,13.10,0
2017-10-10,13.00,15.00,13.00,13.50,2700,13.50,0
2017-10-11,13.50,13.50,13.50,13.50,200,13.50,0
2017-10-12,13.60,13.60,13.60,13.60,200,13.60,0
2017-10-13,13.70,13.70,13.70,13.70,100,13.70,0
2017-10-20,13.70,13.70,13.70,13.70,300,13.70,0
2017-10-24,13.80,13.80,13.80,13.80,200,13.80,0
2017-10-25,13.70,13.70,13.70,13.70,200,13.70,0
2017-10-27,13.70,13.70,13.70,13.70,100,13.70,0
2017-11-02,12.00,12.00,12.00,12.00,100,12.00,0
2017-11-06,11.80,11.80,11.80,11.80,200,11.80,0
2017-11-08,12.50,12.50,12.50,12.50,100,12.50,0
2017-11-13,12.00,12.00,12.00,12.00,100,12.00,0
2017-11-15,12.00,12.00,12.00,12.00,100,12.00,0
2017-11-21,12.20,12.20,12.20,12.20,100,12.20,0
2017-11-24,12.50,12.50,12.50,12.50,100,12.50,0
2017-11-27,12.00,12.00,12.00,12.00,100,12.00,0
2017-12-04,12.00,12.00,12.00,12.00,1000,12.00,0
2017-12-12,11.00,11.00,10.50,10.50,300,10.50,0
2017-12-14,10.30,10.40,10.30,10.40,300,10.40,0
2017-12-15,10.30,10.30,10.30,10.30,100,10.30,0
2017-12-18,11.80,11.80,11.80,11.80,200,11.80,0
2017-12-19,10.30,10.30,10.30,10.30,100,10.30,0
2017-12-20,10.10,10.10,10.10,10.10,100,10.10,0
2017-12-21,9.50,9.50,9.50,9.50,100,9.50,0
2017-12-22,8.50,8.50,8.50,8.50,200,8.50,0
2017-12-26,8.30,8.30,8.30,8.30,200,8.30,0
2017-12-27,8.50,8.50,8.50,8.50,200,8.50,0
2017-12-28,8.80,9.00,8.80,9.00,500,9.00,0
2017-12-29,9.50,9.50,9.50,9.50,200,9.50,0
2018-01-02,10.00,10.00,10.00,10.00,200,10.00,0
2018-01-03,11.00,11.50,11.00,11.50,600,11.50,0
2018-01-08,12.90,12.90,12.90,12.90,300,12.90,0
2018-01-10,14.50,14.50,14.50,14.50,900,14.50,0
2018-01-11,14.50,14.50,14.50,14.50,100,14.50,0
2018-01-12,14.20,14.20,14.00,14.00,300,14.00,0
2018-01-15,14.20,14.20,14.00,14.00,700,14.00,0
2018-01-18,14.20,14.20,14.20,14.20,800,14.20,0
2018-01-19,14.10,14.10,14.10,14.10,600,14.10,0
2018-01-25,14.20,14.20,14.20,14.20,200,14.20,0
2018-01-26,14.20,14.20,14.20,14.20,1000,14.20,0
2018-01-29,14.20,14.20,14.20,14.20,300,14.20,0
2018-02-09,14.50,14.50,14.50,14.50,200,14.50,0
2018-04-04,20.30,20.30,20.30,20.30,100,20.30,0
2018-04-06,18.00,18.00,18.00,18.00,300,18.00,0
2018-08-20,11.10,11.10,11.00,11.00,300,11.00,0
2018-08-21,10.20,10.20,10.20,10.20,200,10.20,0
2018-08-22,11.10,11.10,11.10,11.10,300,11.10,0
2018-08-23,11.10,11.10,11.10,11.10,200,11.10,0
2018-08-27,11.10,11.10,11.10,11.10,200,11.10,0
2018-09-04,11.10,11.10,11.10,11.10,100,11.10,0
2018-09-13,10.10,10.10,10.10,10.10,100,10.10,0
2018-09-28,10.10,10.10,10.10,10.10,100,10.10,0
2018-10-08,8.70,8.70,8.70,8.70,100,8.70,0
2018-10-10,7.50,7.50,7.40,7.40,1500,7.40,0
2018-10-12,6.30,6.30,6.30,6.30,300,6.30,0
2018-10-30,6.00,6.00,6.00,6.00,100,6.00,0
2018-11-05,5.50,5.50,5.50,5.50,100,5.50,0
2018-11-23,6.00,6.00,6.00,6.00,100,6.00,0
2019-01-04,7.10,7.10,7.10,7.10,100,7.10,0
2019-01-10,8.10,8.10,8.10,8.10,100,8.10,0
2019-01-14,6.90,6.90,6.90,6.90,100,6.90,150000
2019-01-16,6.00,6.00,6.00,6.00,100,6.00,0
2019-01-18,5.10,5.10,5.10,5.10,375000,5.10,0
2019-01-21,5.70,5.70,5.70,5.70,100,5.70,0
2019-01-22,6.30,6.30,6.30,6.30,100,6.30,0
2019-01-23,7.00,7.00,7.00,7.00,74800,7.00,0
2019-01-24,7.80,7.80,7.80,7.80,200,7.80,0
2019-01-25,8.50,8.50,8.50,8.50,100,8.50,0
2019-01-28,9.10,9.10,9.10,9.10,200,9.10,0
2019-01-29,9.40,9.40,9.40,9.40,100,9.40,0
2019-01-30,9.40,9.40,9.40,9.40,100,9.40,0
2019-01-31,9.30,9.30,9.30,9.30,100,9.30,0
2019-02-01,9.50,9.50,9.50,9.50,100,9.50,0
2019-02-11,9.60,9.90,9.60,9.90,200,9.90,0
2019-03-22,5.90,9.80,5.90,9.80,214000,9.80,0
2019-03-25,6.00,6.00,6.00,6.00,160000,6.00,0
2019-03-27,6.90,6.90,6.90,6.90,1000,6.90,0
2019-04-01,7.40,7.40,7.40,7.40,500,7.40,0
2019-04-02,8.50,8.50,8.50,8.50,300,8.50,0
2019-04-03,9.70,9.70,9.70,9.70,100,9.70,0
2019-09-27,9.70,9.70,9.50,9.50,140000,9.50,0
2019-10-04,9.70,9.70,9.70,9.70,35000,9.70,0
2019-11-05,9.70,9.70,9.70,9.70,70000,9.70,0
2020-01-20,8.00,9.70,8.00,9.70,50000,9.70,0
2020-03-23,9.20,9.20,9.10,9.10,274300,9.10,0
2020-03-27,10.00,10.00,10.00,10.00,40000,10.00,0
2020-03-30,10.10,10.10,10.10,10.10,100,10.10,0
2020-04-01,10.20,10.20,10.20,10.20,100,10.20,0
2020-04-03,10.00,10.00,10.00,10.00,100,10.00,0
2020-04-07,9.90,9.90,9.90,9.90,100,9.90,0
2020-04-10,9.70,9.70,9.70,9.70,100,9.70,0
2020-04-13,9.80,9.80,9.80,9.80,100,9.80,0
2020-04-15,10.00,10.00,10.00,10.00,100,10.00,0
2020-04-17,10.20,10.20,10.20,10.20,100,10.20,0
2020-04-20,10.20,10.20,10.20,10.20,500,10.20,0
2020-04-23,10.00,10.00,10.00,10.00,200,10.00,0
2020-05-06,10.20,10.20,10.20,10.20,200,10.20,0
2020-05-07,10.30,10.30,10.30,10.30,200,10.30,0
2020-05-14,10.00,10.40,10.00,10.40,115100,10.40,0
2020-05-20,11.00,11.00,11.00,11.00,5000,11.00,0
2020-05-21,12.00,12.00,12.00,12.00,9500,12.00,0
2020-05-22,12.00,12.00,12.00,12.00,300,12.00,0
2020-06-05,12.40,12.40,12.40,12.40,100,12.40,0
2020-06-15,13.30,13.30,13.30,13.30,26500,13.30,0
2020-06-17,13.90,13.90,13.90,13.90,18500,13.90,0
2020-06-18,14.50,14.50,14.50,14.50,10500,14.50,0
2020-06-19,13.90,13.90,13.90,13.90,20400,13.90,0
2020-06-22,13.00,14.20,13.00,13.00,40700,13.00,0
2020-06-25,14.00,14.00,14.00,14.00,200,14.00,0
2020-07-02,14.00,15.00,14.00,15.00,32000,15.00,0
2020-07-10,15.00,15.00,15.00,15.00,200,15.00,0
