date,open,high,low,close,volume,unadjusted,putthrough
2017-10-05,11.3785,12.1473,10.3790,10.9172,7293500,14.2000,0
2017-10-06,10.9172,10.9172,10.4559,10.6097,1196846,13.8000,1457311
2017-10-09,10.6097,10.7635,10.5328,10.6866,1018740,13.9000,371030
2017-10-10,10.6866,10.7635,10.4560,10.5328,1369264,13.7000,0
2017-10-11,10.6097,10.6097,9.9177,10.0715,1929895,13.1000,6602
2017-10-12,10.0715,10.0715,9.6102,9.7640,1503890,12.7000,0
2017-10-13,9.6102,9.8409,9.3027,9.3796,1998290,12.2000,0
2017-10-16,9.3027,10.1484,9.2258,9.6871,2078341,12.6000,480000
2017-10-17,9.7640,10.3022,9.7640,10.3022,2352646,13.4000,0
2017-10-18,10.2253,10.5328,10.2253,10.2253,1921054,13.3000,0
2017-10-19,10.2253,10.2253,9.9178,9.9946,1665342,13.0000,0
2017-10-20,10.0715,10.0715,9.8408,9.9946,716310,13.0000,0
2017-10-23,9.9946,9.9946,9.6871,9.6871,989690,12.6000,0
2017-10-24,9.6871,10.1484,9.6102,9.9946,2296792,13.0000,0
2017-10-25,9.9946,10.5328,9.9946,10.4559,4451160,13.6000,55
2017-10-26,10.3790,10.5328,10.3021,10.4559,4783279,13.6000,136479
2017-10-27,10.3790,10.4559,10.3021,10.3791,917448,13.5000,50000
2017-10-30,10.3791,10.3791,10.1485,10.2253,1155892,13.3000,30000
2017-10-31,10.1484,10.1484,9.9947,9.9946,998097,13.0000,38000
2017-11-01,10.0715,10.0715,9.9177,10.0715,1832620,13.1000,100000
2017-11-02,10.0715,10.0715,9.9177,9.9946,1436565,13.0000,46887
2017-11-03,9.9946,9.9946,9.7640,9.8409,1311510,12.8000,262500
2017-11-06,9.6871,9.9178,9.6103,9.7640,1721340,12.7000,1500000
2017-11-07,9.8409,9.8409,9.5334,9.6102,3472406,12.5000,0
2017-11-08,9.6871,9.9946,9.6102,9.9178,3419190,12.9000,10450
2017-11-09,9.9178,10.3022,9.9178,10.1484,2027331,13.2000,34857
2017-11-10,10.0715,10.2253,9.9946,9.9946,2162571,13.0000,0
2017-11-13,10.0715,10.0715,9.8408,9.9946,1658710,13.0000,102000
2017-11-14,10.4042,10.5681,10.0765,10.3565,1417790,12.6000,0
2017-11-15,10.1099,10.5209,10.1099,10.5209,1199023,12.8000,0
2017-11-16,10.4387,11.0963,10.4387,10.9319,3654576,13.3000,51500
2017-11-17,10.9319,11.0141,10.6031,10.6853,1427771,13.0000,0
2017-11-20,10.7675,10.7675,10.5209,10.6031,1377090,12.9000,0
2017-11-21,10.6853,10.7675,10.5209,10.6853,1436020,13.0000,2001600
2017-11-22,10.4387,10.8497,10.4387,10.7675,2574539,13.1000,92569
2017-11-23,10.9319,11.0141,10.7675,10.8497,2175399,13.2000,0
2017-11-24,10.8497,10.9319,10.6853,10.9319,2075370,13.3000,136500
2017-11-27,10.9319,11.5073,10.8497,11.4250,5381683,13.9000,552000
2017-11-28,11.3428,11.5894,11.1784,11.1784,7626825,13.6000,1700000
2017-11-29,11.2606,11.2606,10.9318,10.9319,1841038,13.3000,70000
2017-11-30,11.0141,11.1785,10.9319,11.0141,1149710,13.4000,0
2017-12-01,11.0141,11.0141,10.6031,10.6853,2499176,13.0000,0
2017-12-04,10.6853,10.9319,10.6853,10.7675,1390615,13.1000,0
2017-12-05,10.8497,10.8497,10.6853,10.6853,897567,13.0000,474670
2017-12-06,10.6853,10.7675,10.6031,10.6031,1710500,12.9000,0
2017-12-07,10.6853,10.6853,10.5209,10.6031,1185503,12.9000,0
2017-12-08,10.6853,10.8497,10.6031,10.7675,1693255,13.1000,0
2017-12-11,10.8497,11.1785,10.7675,11.0141,2580503,13.4000,0
2017-12-12,11.0963,11.0963,10.6031,10.9319,1312330,13.3000,0
2017-12-13,10.9319,10.9319,10.6853,10.7675,988680,13.1000,0
2017-12-14,10.6853,10.8497,10.6853,10.8497,658072,13.2000,0
2017-12-15,10.7675,10.7675,10.6031,10.6853,1906195,13.0000,247000
2017-12-18,10.6853,10.7675,10.6853,10.7675,1339219,13.1000,4721749
2017-12-19,10.7675,10.8497,10.6853,10.7675,1979610,13.1000,194000
2017-12-20,10.7675,10.9319,10.6853,10.8497,2450673,13.2000,0
2017-12-21,10.8497,10.9319,10.6853,10.7675,2301950,13.1000,381000
2017-12-22,10.7675,10.8497,10.6853,10.7675,1060600,13.1000,0
2017-12-25,10.7675,10.7675,10.6853,10.6853,1010390,13.0000,0
2017-12-26,10.6853,10.6853,10.6031,10.6853,1016770,13.0000,4739307
2017-12-27,10.6031,10.6853,10.4387,10.5209,1719140,12.8000,232061
2017-12-28,10.5209,10.6853,10.3565,10.6031,1262498,12.9000,548000
2017-12-29,10.6853,10.6853,10.5209,10.6031,878068,12.9000,0
2018-01-02,10.6853,10.7675,10.5209,10.6853,1559161,13.0000,0
2018-01-03,10.8497,11.1785,10.7675,11.0963,4890664,13.5000,125000
2018-01-04,11.0963,11.1785,11.0141,11.1784,3527807,13.6000,40000
2018-01-05,11.2606,11.2606,11.0140,11.0963,2182052,13.5000,0
2018-01-08,11.0141,11.6717,10.9319,11.5894,6398502,14.1000,0
2018-01-09,11.6716,12.3291,11.5072,12.0826,5009071,14.7000,0
2018-01-10,12.3292,12.3292,11.9182,12.0004,2912489,14.6000,0
2018-01-11,12.0004,13.5621,11.9182,13.0689,7513965,15.9000,130000
2018-01-12,13.1511,13.8908,12.5757,12.9867,4824173,15.8000,2565635
2018-01-15,13.3155,13.3155,12.7401,13.0689,2193796,15.9000,50000
2018-01-16,12.9045,12.9867,12.5757,12.6579,2940402,15.4000,0
2018-01-17,12.7401,13.1511,12.4935,12.5758,2504400,15.3000,135000
2018-01-18,12.5758,12.9868,12.4114,12.9045,1568960,15.7000,60000
2018-01-19,12.6579,13.0689,12.6579,12.9045,1846108,15.7000,0
2018-01-22,12.9045,13.0689,12.7401,12.8223,2724530,15.6000,0
2018-01-23,12.9867,13.9730,12.9045,13.9731,5634151,17.0000,197000
2018-01-24,13.8087,14.7129,13.8087,14.3018,2824150,17.4000,0
2018-01-25,14.3840,14.7128,14.0552,14.3018,4467291,17.4000,500000
2018-01-26,14.3018,14.6306,13.9730,14.1374,4122527,17.2000,100000
2018-01-29,14.3018,14.7950,14.1374,14.4662,3551146,17.6000,18075
2018-01-30,14.5484,14.7128,14.1374,14.5484,3804870,17.7000,200000
2018-01-31,14.4662,14.7950,14.3018,14.4662,3503008,17.6000,60000
2018-02-01,14.8148,14.8148,13.7690,13.9428,1771451,16.0000,0
2018-02-02,13.9428,14.1171,13.5071,13.7685,1503073,15.8000,0
2018-02-05,13.9428,15.2499,12.2871,12.6357,2730927,14.5000,110000
2018-02-06,12.3743,12.8971,11.1543,12.1128,5100513,13.9000,0
2018-02-07,12.1999,13.0714,12.1128,12.9842,1809793,14.9000,74000
2018-02-08,12.9842,12.9842,12.3742,12.4614,1016920,14.3000,0
2018-02-09,11.8514,12.8100,11.5900,12.7228,2091362,14.6000,0
2018-02-12,12.8099,13.0714,12.7228,13.0714,2186850,15.0000,0
2018-02-13,13.4200,13.6814,13.0714,13.5942,1433291,15.6000,0
2018-02-21,13.5942,14.0299,13.5942,13.6814,1978111,15.7000,0
2018-02-22,13.6814,13.7685,13.3328,13.5071,2080421,15.5000,0
2018-02-23,13.5071,13.7685,13.4200,13.6814,2122192,15.7000,0
2018-02-26,13.6814,14.1171,13.5943,13.5942,3486519,15.6000,0
2018-02-27,13.8556,14.1171,13.5071,13.5942,1419985,15.6000,68
2018-02-28,13.6813,13.6813,13.3328,13.5071,2781413,15.5000,0
2018-03-01,13.3328,13.4200,12.6357,13.0714,3507531,15.0000,57000
2018-03-02,13.0714,13.0714,12.7228,12.9842,1836772,14.9000,0
2018-03-05,12.8099,13.2456,12.3742,12.5485,2252919,14.4000,0
2018-03-06,12.8099,12.9842,12.7228,12.9842,1926418,14.9000,95000
2018-03-07,12.9842,13.0713,12.6356,12.8971,1852024,14.8000,0
2018-03-08,12.8971,12.8971,12.8100,12.8100,1013065,14.7000,0
2018-03-09,12.9843,13.9429,12.9843,13.6814,5709648,15.7000,0
2018-03-12,13.7685,14.3785,13.7685,14.0300,3481804,16.1000,0
2018-03-13,14.1171,14.1171,13.7686,14.0300,1436019,16.1000,0
2018-03-14,14.0300,14.1171,13.7686,13.9428,2952316,16.0000,100000
2018-03-15,13.9428,13.9428,13.5071,13.8557,2257275,15.9000,5000
2018-03-16,13.8557,14.1171,13.7686,14.0300,2068497,16.1000,230000
2018-03-19,14.0300,14.0300,13.6814,13.7685,2012357,15.8000,0
2018-03-20,13.6814,14.9014,13.5942,14.2914,9984775,16.4000,0
2018-03-21,14.4657,14.5528,13.9428,14.0300,2300636,16.1000,0
2018-03-22,14.1171,14.1171,13.7686,13.8557,1611230,15.9000,0
2018-03-23,13.7686,13.7686,13.2457,13.5071,2768490,15.5000,25000
2018-03-26,13.4200,13.7685,13.3328,13.5942,1611390,15.6000,1648958
2018-03-27,13.5942,13.7685,13.4199,13.5071,1318935,15.5000,0
2018-03-28,13.5071,13.5071,12.9842,13.1585,5081917,15.1000,150151
2018-03-29,13.1585,13.3328,13.0714,13.1585,2796943,15.1000,1450000
2018-03-30,13.2456,13.3328,12.8971,13.0714,1648830,15.0000,1330303
2018-04-02,13.1585,13.3328,12.9843,13.2457,2472740,15.2000,86149
2018-04-03,13.3328,13.3328,13.0714,13.2457,1654676,15.2000,150009
2018-04-04,13.2457,14.1171,13.2457,13.8557,10674211,15.9000,122242
2018-04-05,13.8557,14.2914,13.6814,14.2042,8620628,16.3000,1639136
2018-04-06,14.1171,15.4242,14.1171,15.1628,15990731,17.4000,150185
2018-04-09,15.0757,15.7728,14.9885,15.6857,9446782,18.0000,1037786
2018-04-10,15.6857,16.0343,15.1628,15.2499,11106870,17.5000,203
2018-04-11,15.4242,15.6856,14.7270,14.8142,7617559,17.0000,40745
2018-04-12,14.9013,15.0756,14.2913,14.7271,5826356,16.9000,0
2018-04-13,14.8142,15.0757,14.4657,14.6399,8318064,16.8000,3074
2018-04-16,14.7270,14.8142,14.1170,14.3785,6024204,16.5000,531419
2018-04-17,14.8142,14.9885,14.2042,14.5528,2554023,16.7000,0
2018-04-18,14.4657,14.6399,14.2042,14.2914,2002325,16.4000,200033
