Year,Quarter,I. CASH FLOWS FROM OPERATING ACTIVITIES,1. Proceeds from business,2. Payments to operating activities,3. Cash outflow for purchasing  financial assets,4. Cash inflow from selling financial assets,5. Payments to Settlement Assistance Fund,6. Dividend received,7. Interests received,8. Interest payments,9. Cash outflow for organizations providing services to the Securities company,10. Receipts from securities trading of customers,11. Payments to securities trading of customers,12. Receipts from listed securities trading,13. Payments to securities issuers,14. Payment to suppliers,15. Cash payments to employees,16. Cash paid for corporate incometax,"17. Cash outflow for buying, selling financial assets (trading expense, money transfering expense)",18. Other receipts,19. Other disbursements,II. CASH FLOWS (USED IN)/ FROM INVESTING ACTIVITIES,1. Payment for purchase of fixed assets and other long-term assets,2. Proceeds from disposal of fixed assets and other long-term assets,3. Loans to other entities and payments for purchase of debt instruments of other entities,4. Collections from borrowers and proceeds from sale of debt instruments of other entities,5. ,6. Proceeds from sales of investments in other entities,"7. Interest, dividends and profits received",III. CASH FLOWS FROM FINANCING ACTIVITIES,1. Proceeds from capital contribtion and issuance of shares,2. Repurchases of isued shares,3. Proceeds from short-term and long-term loans,3.1 Loans from Settlement Assistance Fund received,3.2 Other loans received,4. Repayments of borrowings,4.1 Loans Principal repaid to Settlement Assistance Fund,4.2 Financial assets loans principal repaid,4.3 Other Loans principal repaid,5. Cash paid to financial leasor,6. Dividend paid to shareholders,"7. Interests, dividends, profits received",IV. NET INCREASE IN CASH AND CASH EQUIVALENTS,V. CASH AND CASH EQUIVALENTS AT THE BEGINNING PERIOD,1. Cash and bank deposit at the beginning of the period,2. Cash Equivalents,3. IMPACT OF EXCHANGE RATE FLUCTUATION,VI. CASH AND CASH EQUIVALENTS AT THE END OF PERIOD,1. Cash and bank deposit during the period,2. Cash Equivalents,3. Effect of changes in foreign currency exchange rates,NET INCREASE/DECREASE OF CASH AND CASH EQUIVALENTS IN THE PERIOD,1. Cash inflow from securities sales broking,2. Cash outflow form securities purchase broking,3. Cash inflow from mandated securities sales,4. Cash outflow from mandated securities sales,5. Cash inflow from current account of clients,6. Cash outflow from current account of clients,7. Cash inflow on loan from Settlement Assistance Fund,8. Cash outflow on repaying loans from Settlement Assistance Fund,9. Cash received for the purpose of transaction of clients,10. Cash received for the purpose of mandated investment of clients,11. Cash paid for depository fee of clients,12. Cash received on securities transactions errors,13. Cash paid on securities transaction errors,14. Cash received from issuing organizations,15. Cash paid to issuing organizations,CASH AND CASH EQUIVALENTS OF CLIENTS AT THE BEGINNING OF THE PERIOD,1. Cash and cash equivalent at the beginning of investor,1.1 Investor' deposit for securities transaction by Securities company managed method,1.2 Investor' deposit for securities transaction by commercial bank managed method,1.3 Customers' general deposit for securities transactions,1.4 Deposit for securities clearing,1.5 Issuing organization's deposit,1.6 Cash Equivalent,2. Effect of changes in foreign currency exchange rates,CASH AND CASH EQUIVALENT AT THE END OF THE YEAR,1. Cash at bank at the end of the period,1.1 Investor' deposit for securities transaction by Securities company managed method,1.2 Investor' deposit forr securities transaction by commercial bank managed method,1.3 Customers' general deposit for securities transactions,1.4 Deposit for securities clearing,1.5 Issuing organization's deposit,1.6 Cash Equivalent,2. Effect of changes in foreign currency exchange rates
2013,1,182700444163,3792174806689,-2627595553,0,0,0,0,0,-11820697268,0,7078367911728,-7359934022194,97220170000,-104237160000,-4043808092687,-10663254631,0,0,1697513292397,-949484914318,1976767054,0,0,0,1976767054,0,0,0,35000000000,0,0,35000000000,0,35000000000,0,0,0,0,0,0,0,219677211217,415493777269,0,0,0,635170988486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,-101415938859,3408491346162,-2762213947,0,0,0,0,0,-26051901316,0,7427670089967,-7477919718353,229645100000,-229643500000,-3746235666191,-8064101013,0,0,1178635564169,-855180938337,0,0,0,0,0,0,0,0,20000000000,0,0,93000000000,0,93000000000,-73000000000,0,0,-73000000000,0,0,0,-81415938859,635170988486,0,0,0,553755049627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,213682999841,7056103856053,-2527839478,0,0,0,0,0,0,0,10223743775342,-10314522388908,39226404520,-40056989520,-8224106244496,-12571813458,0,0,3526132789540,-2037738549754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213682999841,710568300371,0,0,0,924251300212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,-181023337401,3931129621840,-2835033142,0,0,0,0,0,-4132819,0,7118576244193,-7617098686063,104426565375,-90205868500,-4868461638785,-8765622242,0,0,4465995404429,-3213780191687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-181023337401,924251300212,0,0,0,743227962811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,101945702554,1059920700574,-2685588341,0,0,0,0,0,-4244947,0,7596185171538,-7615737953908,107619375000,-116406765000,-5136959440285,-11069925275,0,0,7440105154525,-3219020781327,-15072000000,0,0,-15372000000,300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86873702554,743227962811,0,0,0,830101665365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,-351957632988,1080787429652,-2643369050,0,0,0,0,0,-1986111111,0,9056063950733,-9434273715673,82938070000,-88714575000,-4710600665882,-9467412083,0,0,9928065125724,-6252126360298,0,0,0,0,0,0,0,0,600000000000,0,0,600000000000,0,600000000000,0,0,0,0,0,0,0,248042367012,830101665365,0,0,0,1078144032377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,-108139623636,841868752006,-1461709529,0,0,0,0,0,-13053320768,0,5755067535926,-6171695544198,71336367000,-68364760000,-3521776872255,-16504647626,0,0,5752527865093,-2736083289285,0,0,0,0,0,0,0,0,0,0,0,67500000000,0,67500000000,-67500000000,0,0,-67500000000,0,0,0,-108139623636,1078144032377,0,0,0,970004408741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,-39351351520,564487829589,-1600670989,0,0,0,0,0,-5861111112,0,6226334040685,-6319485415485,132445465500,-135185050609,-3855788550403,-14286185263,0,0,5594463576533,-2224875279966,0,0,0,0,0,0,0,0,197500000000,0,0,547500000000,0,547500000000,-350000000000,0,0,-350000000000,0,0,0,158148648480,970004408741,0,0,0,1128153057221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,-194932936660,754748728163,-1829001669,0,0,0,0,0,-4980071666,0,7941104784304,-7912527262871,55687079706,-45567771500,-4539675557294,-12481377166,0,0,6893731125203,-3323143611870,0,0,0,0,0,0,0,0,-28500000000,0,0,19000000000,0,19000000000,-47500000000,0,0,-47500000000,0,0,0,-223432936660,1128153057221,0,0,0,904720120561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,4,-250096770467,875540545983,-3160790919,0,0,0,0,0,-8722916667,0,9956113555303,-11564522526420,111890079276,-120700989482,-5240256693840,-9633067476,0,0,9196131709056,-3442775675281,0,0,0,0,0,0,0,0,270000000000,0,0,670000000000,0,670000000000,-400000000000,0,0,-400000000000,0,0,0,19903229533,904720120561,0,0,0,924623350094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
