date,bull,bigBull,cancelSell,bear,bigBear,cancelBuy
2019-12-02,4986,0,2130,4024,1980,1040
2019-12-03,36751,24170,6260,13339,1900,8240
2019-12-04,9690,2640,1000,11780,2340,2000
2019-12-05,10074,2400,1110,26136,9880,830
2019-12-06,20780,13930,1810,54930,29600,23500
2019-12-09,24085,12620,1010,35605,23260,10
2019-12-10,28592,14790,5500,66448,50308,2320
2019-12-11,13854,6984,2080,20536,12356,770
2019-12-12,24934,2950,2610,82976,28610,3600
2019-12-13,9460,0,890,25060,5480,3880
2019-12-16,11920,0,1680,15000,8320,1650
2019-12-17,4090,0,3720,17500,3560,3010
2019-12-18,2880,0,6140,21900,11430,1000
2019-12-19,2940,0,840,13140,0,230
2019-12-20,4622,0,2550,27688,13448,0
2019-12-23,4865,0,100,34765,25300,990
2019-12-24,12254,0,430,9016,0,5900
2019-12-25,2985,0,640,9265,0,1950
2019-12-26,11635,3000,1300,7485,0,1360
2019-12-27,9795,0,3000,15285,5410,500
2019-12-30,7415,0,790,22025,5000,100
2019-12-31,860,0,2000,9140,3350,200
2020-01-02,10012,5330,2090,25488,12300,1200
2020-01-03,2480,0,0,13220,3870,1100
2020-01-06,5625,0,7950,15355,2500,510
2020-01-07,27710,6350,2940,12110,0,3400
2020-01-08,4788,0,570,8642,0,1250
2020-01-09,11514,0,520,16086,8950,360
2020-01-10,2887,0,560,25783,7600,350
2020-01-13,4210,3610,0,8960,3550,1580
2020-01-14,1990,0,1200,4920,0,520
2020-01-15,3360,0,2730,29940,21260,5360
2020-01-16,7880,3000,3150,27850,9930,400
2020-01-17,6070,0,2700,30030,19270,3530
2020-01-20,2380,0,100,4010,0,0
2020-01-21,8024,0,1400,7526,3251,7470
2020-01-22,30224,13980,3260,28076,6000,21850
2020-01-30,33315,16600,50,22325,9400,6270
2020-01-31,6905,0,1240,20845,0,0
2020-02-03,13250,2800,1740,74180,52090,6260
2020-02-04,35494,10880,13590,86936,41350,2470
2020-02-05,20635,0,500,32185,5310,4730
2020-02-06,38320,16240,1640,21430,9500,5820
2020-02-07,14757,0,100,28423,20760,500
2020-02-10,6555,0,1980,9365,0,500
2020-02-11,7350,2620,4050,16540,5510,3220
2020-02-12,26570,14620,1000,10100,0,1540
2020-02-13,14020,0,2350,22500,11110,4870
2020-02-14,7695,0,4880,19245,11040,820
2020-02-17,14510,3000,500,21040,3800,430
2020-02-18,11140,0,970,13670,2900,4160
2020-02-19,5770,0,6390,11040,5000,140
2020-02-20,12320,7250,0,28870,15880,4510
2020-02-21,18363,7780,1120,20037,7020,700
2020-02-24,13430,3000,2350,23260,7150,950
2020-02-25,29883,2500,6130,17507,0,5000
2020-02-26,5305,0,0,14835,4500,40
2020-02-27,11046,3700,1200,26964,4134,410
2020-02-28,15045,3000,3200,13635,0,110
2020-03-02,14916,5000,300,4394,0,0
2020-03-03,11224,4490,0,38746,9286,2620
2020-03-04,13032,0,700,30238,11448,0
2020-03-05,31310,6000,1050,27720,22090,150
2020-03-06,3796,0,100,17974,2800,720
2020-03-09,17610,3590,3760,141690,91800,2240
2020-03-10,27605,12100,1260,16255,5000,1130
2020-03-11,9560,0,7360,30760,9290,2530
2020-03-12,26470,8850,0,84480,40080,140
2020-03-13,85219,57080,2100,13421,3300,510
2020-03-17,12769,0,0,18671,15461,5300
2020-03-18,5303,0,780,33957,21790,2980
2020-03-19,3041,0,2410,88319,57060,0
2020-03-20,31520,22220,2000,107660,45860,2240
2020-03-23,7750,0,100,24160,0,100
2020-03-24,78110,62450,48980,176420,105070,9520
2020-03-25,189697,85177,4960,90923,41500,10130
2020-03-26,67188,32716,5670,69452,43430,3950
2020-03-27,18581,7970,590,57109,30770,200
2020-03-30,11930,0,34890,118300,54500,26940
2020-03-31,24900,0,6500,40980,0,1340
2020-04-01,82039,33600,4400,77971,50510,25350
2020-04-02,80005,80005,0,80005,80005,0
2020-04-03,148267,47910,1700,119643,77890,20660
2020-04-06,330323,197050,13870,85717,67580,17320
2020-04-07,228477,107377,9440,155443,90710,22920
2020-04-08,144851,47290,2910,180559,113689,9740
2020-04-09,141185,91880,6450,22085,9800,140570
2020-04-10,59325,41645,2190,32645,32645,183940
2020-04-13,391638,339388,11060,89012,62630,50340
2020-04-14,336353,228810,68270,313677,250882,9970
2020-04-15,170502,125310,13140,121568,75988,5520
2020-04-16,211858,127848,23950,146512,87052,6210
2020-04-17,77100,40098,8140,162090,112570,8790
2020-04-20,197206,129480,13500,107984,68570,2420
2020-04-21,54645,26150,15610,248005,169530,10560
2020-04-22,59562,37930,7620,50548,27398,7220
2020-04-23,12076,0,3110,58004,24770,1900
2020-04-24,34854,17210,13430,27606,10100,5950
2020-04-27,25626,6000,15200,28284,10000,5740
2020-04-28,1800,0,11080,12240,4000,260
2020-04-29,18970,9500,1700,15780,0,0
2020-05-04,15240,6970,600,23490,11890,3750
2020-05-05,4060,0,2890,14570,5000,1540
