Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2016,1,42098145096,0,42098145096,-38394188602,3703956494,35098167,-312756054,-312756054,-192943881,-458739714,2774615012,0,0,0,0,2774615012,-554923002,0,-554923002,2219692010,0,2219692010,123,0
2016,2,47103387502,0,47103387502,-43635576996,3467810506,241809945,-344031659,-344031659,-212238269,-187307475,2966043048,0,0,0,0,2966043048,-593208610,0,-593208610,2372834438,0,2372834438,132,0
2016,3,36209178956,0,36209178956,-33287975671,2921203285,241809945,-344031659,-344031659,-256904127,-179048903,2383028541,0,0,0,0,2383028541,-476605708,0,-476605708,1906422833,0,1906422833,0,0
2016,4,24117444530,0,24117444530,-23611321817,506122713,172906019,-166803229,-166803229,-176556341,-296072665,39596497,2959000000,-1025310150,1933689850,0,1973286347,-394657269,0,-394657269,1578629078,0,1578629078,88,0
2017,1,18907406235,0,18907406235,-17543554486,1363851749,196241805,-281905650,-281905650,-338284952,-158709435,781193517,0,0,0,0,781193517,-156238703,0,-156238703,624954814,0,624954814,0,0
2017,2,21945687642,0,21945687642,-21238676548,707011094,227441117,-33899237,-33899237,248594955,-94822631,1054325298,693799654,0,693799654,0,1748124952,-349624991,0,-349624991,1398499961,0,1398499961,0,0
2017,3,37395757600,0,37395757600,-36848530680,547226920,5910857378,-61898255,-61898255,0,-157505293,6238680750,0,0,0,0,6238680750,-1247736150,0,-1247736150,4990944600,0,4990944600,0,0
2017,4,14335133489,0,14335133489,-13256661884,1078471605,390997477,-79299198,-79299198,0,-178353895,1211815989,295510845,0,295510845,0,1507326834,-301465367,0,-301465367,1205861467,0,1205861467,0,0
2018,1,18582407500,0,18582407500,-18006341199,576066301,408778812,0,0,-56135037,-176913711,751796365,0,0,0,0,751796365,-150359273,0,-150359273,601437092,0,601437092,0,0
2018,2,22901987487,0,22901987487,-21694262500,1207724987,439840976,0,0,-56244983,-14100959,1577220021,166326750,-15671794,150654956,0,1727874977,-348709354,0,-348709354,1379165623,0,1379165623,0,0
2018,3,51142794645,0,51142794645,-47176582329,3966212316,1295888421,0,0,-58979972,-135747838,5067372927,0,0,0,0,5067372927,-1013474585,0,-1013474585,4053898342,0,4053898342,0,0
2018,4,30200832676,0,30200832676,-28182345065,2018487611,247681872,0,0,-122704922,-289646555,1853818006,0,-93150,-93150,0,1853724856,-394053389,0,-394053389,1459671467,0,1459671467,0,0
2019,1,20807762911,0,20807762911,-17740211228,3067551683,599394616,0,0,-105822357,-413896523,3147227419,0,-2100000,-2100000,0,3145127419,-635267931,0,-635267931,2509859488,0,2509859488,0,0
2019,2,14311387481,0,14311387481,-12332952928,1978434553,1199577208,0,0,-90064058,-462633396,2625314307,0,-7434917,-7434917,0,2617879390,-248500339,0,-248500339,2369379051,0,2369379051,0,0
2019,3,35787896864,0,35787896864,-27190063902,8597832962,202105515,-25616977,-25616977,-97071041,-2052320453,6624930006,0,-134000000,-134000000,0,6490930006,-1298186002,0,-1298186002,5192744004,2326473686,2866270318,81,0
2019,4,22469094545,0,22469094545,-20310798918,2158295627,8388395952,-10426373,-10426373,-106060946,-1299679053,9130525207,0,-2434235,-2434235,0,9128090972,-141263877,0,-141263877,8986827095,180944702,8805882393,248,0
2020,1,21839127797,0,21839127797,-17347266617,4491861180,94938120,-85632269,-85632269,0,-1363318969,3137848062,0,-14866287,-14866287,0,3122981775,-630947474,0,-630947474,2492034301,270230752,2221803549,63,0
2020,2,21198325656,0,21198325656,-18800295085,2398030571,1483244974,-104115089,-104115089,0,-5732858145,-1955697689,0,-469,-469,0,-1955698158,-161344591,0,-161344591,-2117042749,61805599,-2178848348,0,0
