date,open,high,low,close,volume,unadjusted,putthrough
2014-07-14,13.4900,13.5700,13.4900,13.5700,10660,81.5000,0
2014-07-15,14.4900,14.4900,14.4900,14.4900,13480,87.0000,100000
2014-07-16,15.4900,15.4900,15.4900,15.4800,17290,93.0000,500000
2014-07-17,16.5600,16.5600,16.5600,16.5700,95120,99.5000,0
2014-07-18,17.6500,17.6500,17.6500,17.6500,134460,106.0000,0
2014-07-21,18.8200,18.8200,16.8200,17.6500,311030,106.0000,0
2014-07-22,17.3200,18.1500,17.3200,18.1500,568890,109.0000,0
2014-07-23,18.3200,18.3200,17.9800,18.1500,23330,109.0000,0
2014-07-24,17.9800,18.1500,17.9800,17.9800,33590,108.0000,0
2014-07-25,17.9800,18.1500,17.9800,17.9800,79630,108.0000,0
2014-07-28,17.9800,18.1500,17.9800,17.9800,93810,108.0000,0
2014-07-29,17.9800,17.9800,17.4800,17.6500,25300,106.0000,0
2014-07-30,17.8200,17.8200,17.4800,17.6500,16160,106.0000,0
2014-07-31,17.4800,17.4800,16.8200,17.1500,37400,103.0000,0
2014-08-01,17.4800,17.4800,16.9800,17.1500,28290,103.0000,0
2014-08-04,17.1500,17.1500,17.1500,17.1500,13350,103.0000,0
2014-08-05,17.3200,17.4800,17.3200,17.3200,21340,104.0000,0
2014-08-06,17.3200,17.8200,17.3200,17.8200,20800,107.0000,0
2014-08-07,17.8200,17.8200,17.6500,17.8200,17250,107.0000,0
2014-08-08,17.6500,17.8200,17.6500,17.8200,9190,107.0000,0
2014-08-11,18.9900,18.9900,18.4900,18.9800,179250,114.0000,0
2014-08-12,19.1500,19.6500,19.1500,19.6500,64140,118.0000,20000
2014-08-13,19.8200,20.8200,19.4800,20.6500,147010,124.0000,0
2014-08-14,20.6500,21.9800,20.6500,21.9800,149800,132.0000,0
2014-08-15,23.3100,23.4800,22.6500,23.4800,100130,141.0000,0
2014-08-18,24.3100,24.8100,23.9800,24.8100,29910,149.0000,0
2014-08-19,24.1400,24.6400,23.1400,23.1400,39150,139.0000,0
2014-08-20,21.8100,23.3100,21.8100,23.1400,46550,139.0000,0
2014-08-21,22.8100,23.1400,22.4700,22.4800,58570,135.0000,0
2014-08-22,22.4800,23.4800,22.4800,23.4800,45860,141.0000,0
2014-08-25,24.1500,24.3100,23.4800,23.9800,61190,144.0000,0
2014-08-26,23.9800,23.9800,22.3100,22.3100,29880,134.0000,0
2014-08-27,22.9800,23.3100,22.4800,22.8100,11450,137.0000,20000
2014-08-28,22.8100,22.8100,22.4800,22.8100,5070,137.0000,0
2014-08-29,22.8100,22.8100,21.6400,22.4800,15750,135.0000,0
2014-09-03,22.6500,22.6500,22.1500,22.4800,25120,135.0000,0
2014-09-04,22.3100,22.3100,21.6500,21.9800,37750,132.0000,0
2014-09-05,22.1500,22.6500,22.1500,22.6400,44760,136.0000,0
2014-09-08,22.9700,24.1400,22.6400,24.1400,171700,145.0000,0
2014-09-09,25.8000,25.8000,24.4700,24.8100,88810,149.0000,0
2014-09-10,25.4800,25.4800,24.3100,25.3100,23640,152.0000,0
2014-09-11,25.1400,25.6400,24.9800,25.3100,25860,152.0000,0
2014-09-12,25.3100,25.4800,24.8100,25.1400,44670,151.0000,0
2014-09-15,25.1400,25.4700,25.1400,25.3100,14500,152.0000,0
2014-09-16,25.1400,25.3100,24.9800,25.3100,65900,152.0000,0
2014-09-17,25.6400,25.6400,24.9800,25.3100,6430,152.0000,0
2014-09-18,24.9800,25.6400,24.9800,25.6400,13030,154.0000,30000
2014-09-19,26.1400,27.3000,26.1400,27.3100,20120,164.0000,0
2014-09-22,29.1400,29.1400,27.9800,29.1400,28590,175.0000,0
2014-09-23,29.9700,30.4700,28.9700,28.9700,13620,174.0000,0
2014-09-24,29.6400,29.6400,28.8000,28.8100,5790,173.0000,0
