Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,10000000,10000000,12159.7128867,12872.0477164,12157.7381167,0,968.7778867,968.7778867,964.323315475,1038,0,0.121160631577643,0.818114578565156,2.8273163084203,0.0390339083350521,0.0280734353753269,0.390421507492385,0.280793633720833,0.351387599157333,0.252720198345506,0.390421507492385,0.280793633720833,0.0796711152415141,0.0766780704675742,0.0572999732902581,4.32248811485508,84.4421060975519,1.30251769356951,280.22651961044,0,0,390062052.012121,29356905.6575758,0,0,0,0.214858843661395,0.0752621422825912,0.0752621422825912,0.0752621422825912,0.0752621422825912,2.92546539009091,0.761338590059137,1.05858155010215,0,0,0,4.54180474224898,4.54180474224898,4.56278504251728,0.361850649024173,0.34182595473089,0.361909424085728,0,0.67042337267792,8.90784333723376,8.90784333723376,0,0,0,0,0,0,0,0,0,0
2008,0,10000000,10000000,11322.570786,23773.171735,11332.5263267,-624.1047111,103.1952283,103.1952283,67.51853755,103,0,0.0360664806178572,0.316681988532467,1.88183309638424,0.00395967861384058,0.0024067444135837,0.468558049666525,0.284795706533567,0.62746983111494,0.381384364238454,0.645242673668251,0.392186930229333,0.00878294000915311,0.0085372838195628,0.00580351103949593,9.55702604827429,38.1917971298099,2.17533450597384,167.790286504282,21.5453213828875,16.9410329747925,720399143.484849,3127128.13030303,0,0,0,0.142192518872998,0.0300636027984341,0.00434082710756138,0.00434082710756138,0.00434082710756138,5.40299357613636,1.33695973041328,2.02333329375268,0,-10.5016156649375,-28.9642629282781,42.6376303680313,42.6376303680313,65.1672882686719,0.388604326982037,0.185082581703732,0.38826294095019,-7.05009900060663,0.397780605264281,13.2313019145197,91.6370533558866,0.846883437567677,0.222258314237378,-0.26225897379373,-0.893478959711271,-0.893478959711271,-0.893478959711271,-0.893478959711271,0.103434531908736,-0.0674694196601749,0
2009,0,10000000,10000000,12556.2536075,23624.1612937,12559.4729255,4119.2685159,1238.8425829,1238.8425829,1226.68880485,1239,0,0.423864467484395,0.908785156434467,1.91652126894575,0.0608469026579305,0.0361326431833645,0.493601199655887,0.293114608023886,0.609676514750959,0.362043473085519,0.683987034913196,0.406171200093861,0.103653999366604,0.153302597271628,0.0622319485505046,8.37191653392491,43.5981413002551,2.103820200615,173.493913545131,22.0786838554012,16.5317825279113,715883675.566667,37540684.330303,0,0,0,0.184500323343219,0.110024884497938,0.0812406023324864,0.0524396429358265,0.0524396429358265,5.36912756675,1.18673478815753,1.9766343469091,0,-15.8896281500588,0.295512599171667,3.55170225881327,3.55170225881327,3.58689178755327,0.350422995388675,0.186249998266536,0.350333172904613,1.06815080954699,0.363481322216926,3.30362830077534,4.47413376785831,-0.00626800844923103,0.289405906940682,2.6367979022785,17.5981573442577,11.004843666788,11.004843666788,11.004843666788,0.134107797710295,0.108014792660846,0
2010,0,11000000,11000000,12404.0624270909,29155.590007,12635.3359090909,-4649.06495145455,994.919341090909,994.919341090909,1024.55217013636,995,0,0.077196132698202,0.70697138870187,1.68027352189009,0.0355315086378594,0.0175261892579874,0.729223348331808,0.359695011671661,0.951725204217157,0.469445759275577,1.00842513668227,0.497413436005177,0.083515478599526,0.150410240941013,0.0448347678163168,6.86427023539622,53.1738972218554,2.86446198624593,127.423579629471,28.3596818854348,12.870384141631,971853000.233333,33711108.8545455,0,0,0,0.175891113715497,0.0923492218002202,0.0660663447851927,0.0382100141721079,0.0346874566899024,6.62627045613636,1.31385937987523,2.4473773427867,-0.00352255748220546,-22.1029891488979,-32.8208479086219,4.42246905681368,4.42246905681368,4.29455925061813,0.35472249723528,0.150914455819402,0.348229760701041,-0.946426872058085,0.439255006576713,4.75645596155598,6.64869545916156,0.357557147065899,0.294210406805933,0.139463555476056,0.103990319724569,-0.0108193930245954,-0.102011339006581,-0.196896074752365,0.307410817148065,0.0859871010335787,0.1
2011,0,14849578,14849578,9796.48541433299,19602.727448349,9970.7856028636,-2067.63083206809,-1103.12248684777,-1103.12248684777,-1081.11426839874,-1011,0,0.0299735876471581,0.45772270263122,1.33056547158142,0.59537138826042,0.189240857703158,1.46599828587353,0.465972632344096,1.51986991341346,0.483095915730803,2.1281183652539,0.676429792689894,-0.116210262820943,0.102868704830592,-0.0446166960184681,4.81652494724741,75.7807763891253,1.92080884915404,190.024114143764,15.4982621509534,23.5510276213482,882097667.445455,-49524376.169697,0,0,0,0.171642053093921,0.0973263061023207,0.0677332820789911,-0.0562972488772085,-0.0561438693213179,3.84367204869589,0.792848429910178,2.06508174381392,0.000153379555890521,-140.315038472555,138.950822277266,0,0,0,0.520594864821451,0.260167877834241,0.511494299760621,-2.46659119263513,0.970035554266429,9.96683828981052,14.3214018941998,-0.0923548445766277,-0.114281132987713,-0.0434380657789916,-0.0694538113193782,-2.33729144869991,-2.46908179091295,-2.10875569635446,0.654530133891304,0.0661732443124321,0.349961636363636
2012,0,14849578,14849578,9147.88645407971,17099.0161829515,9331.33275504529,4117.67254813571,-648.598960253281,-648.598960253281,-671.051844419417,-649,0,0.0189397664347948,0.653048113697135,1.29625228111448,0,0,0.965956923062876,0.374941979559635,1.53928136801745,0.597481305267439,1.55613935878316,0.604024835603191,-0.0684740528488819,0.105366964497362,-0.0238506746567985,2.89075425818689,126.264624177681,1.78334520453626,204.671534749165,14.2624000937196,25.5917655935572,769433862.218182,-28822351.5121212,0,0,0,0.196470116767072,0.111261231037225,0.0783142096886113,-0.033897128949153,-0.0374591669633956,3.35274827116695,0.628775401939668,1.80518164462997,-0.0035620380142426,429.292200025638,-156.96804334014,0,0,0,0.557505826684757,0.298262774035207,0.546545722232713,1.23856376153782,0.799447758412463,7.18532188579679,10.2082082113985,-0.127722597378073,-0.00154746428818142,-0.00283220941687024,0.00853986871483925,-0.474793170433626,-0.418016868837268,-0.41203359736897,-0.235335182751862,-0.0662073113796845,0
2013,0,14849578,14849578,9228.84485532182,14232.4165457092,9420.34442406377,3598.4276077071,80.9584012421094,80.9584012421094,-83.3455669581991,81,0,0.0230537076114688,0.964127934094973,1.85331526615233,0,0,0.559782463179593,0.283531970849725,0.931435902882857,0.471775867654936,0.953568556077927,0.482986141633309,0.00881096859708572,0.0859673442364952,0.0038746985855758,2.47719607470214,147.344008707057,2.07960709205699,175.513923468577,25.1365396306695,14.5206939922096,640440544.315152,3967965.39090909,0,0,0,0.124536829751499,0.0948944042433305,0.0577175513782312,0.00762044715084516,0.00619568112314344,2.79066991092338,0.681168642326173,1.54896061830408,-0.00142476602770173,42.9818646112252,-82.0200321012731,62.9953151464571,62.9953151464571,0,0.552615205906196,0.358336898278707,0.541381479319623,1.41728570253208,0.70739737114661,7.45457413202875,12.2561916480298,-0.167647050951408,-0.47239509389758,-0.290088411895073,-0.386556101471829,-1.18712209133079,-1.13766973139719,-1.12482043019387,-0.22687424617915,0.00884995694344282,0
2014,0,14849578,14849578,10252.5380707115,18786.2250903022,10445.9668663985,452.027516876237,1023.69317027056,1023.69317027056,681.433466173247,1024,0,0.0352362233271126,1.2092081705041,2.10538889091952,0.00131366458855211,0.00072805254204192,0.507268250650844,0.28113564345261,0.762833642394293,0.422773801882255,0.78548766866726,0.435329001709706,0.105094507320893,0.181306248116268,0.0557568759813694,4.01451600211466,90.9200510865408,2.83934682113955,128.550692462963,18.1447944115497,20.1159622821445,845356105.466667,46151696.3212121,0,0,0,0.133445532312805,0.122913022504039,0.0979715234413671,0.0694961107017111,0.0545943845709078,3.68357354711808,1.02321794551118,1.92863362540838,-0.0149017261308032,16.0562732245706,96.7262024929642,4.98196153702195,4.98196153702195,7.48422296991116,0.497437801725331,0.271475508011064,0.488226706558409,11.2824989842297,0.533646603930191,4.34166041204181,5.44695627040609,0.319960319455789,0.414383261666715,0.709693145168897,1.24054070713767,11.0376280639374,10.6310733019368,11.6446811518568,0.0152863886507939,0.110923222942617,0
2015,0,14849578,14849578,11157.658120453,21973.46980096,11157.658120453,-588.666721572829,708.845223817135,708.845223817135,312.435547427678,709,0,0.0633036499617777,1.30680033165429,2.18572731186669,0.00611144929753258,0.00356989469345386,0.486573739827603,0.284223418573702,0.705724235352743,0.412236292927228,0.711941057740214,0.415867739441909,0.0662156682253719,0.130078066465108,0.0377040697645347,4.02251504895035,90.7392503342516,3.12350026649864,116.856080953422,15.021329573763,24.2987811569974,988778041.636364,32025196.330303,0.0588235294117647,2.36281741272378,0.423223561251494,0.123151046832109,0.0798399712329299,0.0648371144288418,0.04345073737478,0.0323886605302272,4.30852349038431,1.16878721970203,2.05261732351878,-0.0110620768445528,3.03375539708291,-0.931895053276011,7.1948005412754,7.1948005412754,16.3233666655058,0.457085164731051,0.232098073094363,0.457085164731051,-8.66364585104042,0.456484844984655,5.71749761348083,7.04048674907707,0.169658603329685,0.0794267813971021,-0.240230958935844,-0.225925186800301,-0.268699668538734,-0.306088423978824,-0.307560854753201,0.0325443076028602,0.0882825348707696,0
