Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2010,1,22851658440,32759806120,0,0,0,-335796976,5981307394,0,61256974978,-106329745104,-1540128728,53745643705,-919849940,-6170501784,-4627025919,81200000,-1488695920,-5992128712,-37142414646,0,0,0,0,300000000,335796976,-36506617670,0,0,108174750651,-18093972829,-1899034800,0,0,88181743022,45682996640,11307121644,0,56990118284
2010,2,39651012849,66954087359,0,0,0,-885209162,13249190404,0,118969081450,-34690965440,-24776673310,20120390203,-8717791363,-13438384794,-8377025919,527500000,-4543342000,45072788827,-40952756762,169308657,0,0,-640000000,300000000,715900505,-40407547600,0,0,108985637313,-100243927285,-3798069600,-9000000000,0,-4056359572,608881655,11307121644,0,11916003299
2010,3,50167930853,101997797334,0,0,0,-1079874858,19359625741,0,170445479070,11835833208,27020468688,-83440393399,-14342900944,-19548820131,-8377025919,589500000,-9759567000,74422573573,-122808602713,211231760,0,0,-640000000,1900000000,1596981221,-119740389732,0,0,188293247313,-111321617285,-5697104400,-9000000000,0,62274525628,16956709469,11307121644,0,28263831113
2011,1,19085783025,36983934712,0,0,0,-306655948,7600247781,0,63363309570,62836780161,-72460580573,-31219759169,8313714900,-7791441208,-13648164108,126000000,-2582136000,6937723573,-1733811163,1625273431,0,0,0,0,406971121,298433389,0,0,63217937222,-46077690000,-1899034800,-9000000000,0,6241212422,13477369384,14365642543,0,27843011927
2011,2,33239464335,37073203985,0,0,0,-3456077885,10739431689,0,77596022124,18599473553,-53127178848,114276073774,-223528164,-10252102891,-4750000000,503000000,-3456051000,139165708548,-27279469588,4488655750,0,0,0,0,433038481,-22357775357,0,0,0,-108772880303,-1899034800,0,0,-110671915103,6136018088,27843011927,0,33979030015
2011,3,9293666963,36839209908,0,0,0,92747455,7343705902,0,53569330228,-85688850402,148076288896,-93015398901,-2425577177,-6847514111,-4750000000,27600000,-3953466000,4992412533,-108399856319,-12461433256,0,0,0,8000000000,300315289,-112560974286,0,0,97855789200,-1899034800,0,0,0,95956754400,-11611807353,33979030015,0,22367222662
2012,1,20032531689,40189612025,0,0,0,439400652,-13453818768,0,47207725598,-1443349626,-73823287580,16595078311,6558429043,-10950279610,-16283033063,598000000,-7171316000,-38712032927,-20073406520,0,0,0,0,0,197105388,-19876301132,0,0,94288434484,-31299193512,-1899034800,0,0,61090206172,2501872113,5156774449,0,7658646562
2012,2,25056617352,20705242815,0,0,0,-2130537557,40338798582,0,83970121192,43555969879,-146392918909,138152088861,-3769881736,-14991639874,-5000019699,486000000,-4487360000,91522359714,-12968898363,1333147281,0,0,0,0,160884236,-11474866846,0,0,28796082097,-86773564484,-1899034800,-21598920000,0,-81475437187,-1427944319,7658646562,0,6230702243
2012,3,15507840402,24678577270,0,0,0,-1123021023,10865826644,0,49929223293,-140615399658,87468046595,3144590487,-6151508054,-11027707955,-5460335574,73600000,-5073678994,-27713169860,-32769633427,1006816948,0,0,0,0,116204075,-31646612404,0,0,99216403111,-39026193512,-1899034800,0,0,58291174799,-1068607465,6230702243,0,5162094778
2012,4,-4583688575,27290079478,0,20944971,0,-2664670960,9811220072,0,29873884986,133088451785,87297132048,-143046777214,-12551729481,-10586270758,-5000000000,52505351,-8777148640,70350048077,-79235007089,4953237774,0,0,0,0,229936612,-74051832703,0,0,148126722700,-138179538705,-1899034800,0,0,8048149195,4346364569,5162094778,0,9508459347
