Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2007,0,11481041418,3336029047,106646094,-8110151,0,-269421700,434880192,0,15081064900,-5957547073,-5264517369,15774371490,-232000000,-434880192,-789112864,0,-301187606,17876191286,-7720518598,423643571,0,0,0,0,318587432,-6978287595,0,0,29755303140,-24950417000,0,-3300000000,0,1504886140,12402789831,10093474399,-35243946,22461020284
2008,0,26197256314,3675719430,21779407,51571111,0,-1170082861,339597764,0,29115841165,10014158668,-4825337665,-311018676,327137056,-339597764,-1425809948,0,-671156171,31884216665,-7789753206,1439140298,0,0,0,0,683092235,-5667520673,0,0,13271420860,-12269468000,0,-20479800000,0,-19477847140,6738848852,22461020284,-81919972,29117949164
2009,0,89666530359,4000405363,0,0,0,-650699691,378981537,0,93395217568,-11598184114,2054528444,11815835843,0,-378981537,-5809000838,0,-431646400,89047768966,-7411634157,1063546667,0,0,0,0,965753015,-5382334475,0,0,11896832391,-15046712391,0,-27819000000,0,-30968880000,52696554491,29117949164,116151821,81930655476
2010,0,89825969858,4578046198,12902922,0,0,-6375293110,204116627,0,88245742495,-5201838131,-11954521290,6963505500,-280000000,-204116627,-11257033430,1014010700,-3252188990,64073560227,-14429593289,534227273,0,0,0,0,6346202919,-7549163097,1560000,-1560000,5897054000,-10120248000,0,-55294677420,0,-59517871420,-2993474290,81930655476,-781171439,78156009747
2011,0,84647622739,5652878793,12250133,-164561729,0,-9806355414,14443634,0,80356278156,-854282250,-23524747244,17018263580,168000000,-4748301,-7813079090,2500000,-1568368405,63779816446,-19358487770,137272728,-25000000000,0,0,0,9890687154,-34330527888,0,0,2363028000,-1553298000,0,-22499705000,0,-21689975000,7759313558,78156009747,114156618,86029479923
2012,0,63611312602,7714699920,-12660677,7610192,0,-8858303665,5774236,0,62468432608,-114028795,-400836093,5615839023,70041958,-15469569,-7305875798,6506000,-4005607823,56319001511,-16681987416,150748183,0,0,0,25000000000,9152617603,17621378370,0,0,686828923,-1496558923,0,-39996710000,0,-40806440000,33133939881,86029479923,-9197203,119154222601
2013,0,63696897683,9506546996,439780049,57252385,0,-7304566521,0,0,66395910592,-3592130208,-12076303836,36258660446,-20272242186,0,-9210447514,0,-2321864143,55181583151,-23044092224,24181819,0,0,0,0,7296634702,-15723275703,0,0,0,0,0,-31997388800,0,-31997388800,7460918648,119154222601,-47807419,126567333830
2014,0,55583692252,10095041255,315861246,-23988568,0,-5393530464,0,0,60577075721,246035930,11856298517,-30507810957,-17043786712,0,-8389585839,0,-4745743363,11992483297,-10480760073,62727275,-57600000000,0,0,0,5330803189,-62687229609,0,0,0,0,0,-19998368000,0,-19998368000,-70693114312,126567333830,22256764,55896476282
2015,0,103049436738,10557183761,47385780,33113517,0,-5901958816,0,0,107785160980,2479809221,5898847473,4313239508,-9932778206,0,-14641299033,0,-3147881041,92755098902,-54918274687,76000000,-190000000000,150000000000,0,0,5993198527,-88849076160,0,0,0,0,0,-31997388800,0,-31997388800,-28091366058,55896476282,-280000,27804830224
2016,0,103837462503,10489027400,0,1678501967,0,-2940806248,203475448,0,113267661070,-2644834558,-28527121324,67556855723,2344809300,-203475448,-21803543906,0,-11733484273,118256866584,-210369140515,169509091,-20000000000,117600000000,0,0,3320439560,-109279191864,0,0,112236466801,0,0,-81593230950,0,30643235851,39620910571,27804830224,5158084,67430898879
2017,0,73991957745,16172128115,0,-60935457,0,-2025326860,1877913390,0,89955736933,7824252357,-27881622148,58691881421,2826668222,-1877913390,-15900140555,0,-2919008800,110719854040,-30260834659,0,-400000000,67000000,0,0,3346734724,-27247099935,0,0,203991792246,-206327482508,0,-51516260200,0,-53851950462,29620803643,67430898879,576520,97052279042
2018,0,60362758704,23083414177,0,-423314353,0,-5441559590,2829779660,0,80411078598,6129421158,-20359000573,24394464685,1465769572,-2788143913,-5459796542,2800000,-3677585865,80119007120,-10831287073,945909091,-9500000000,68095400,0,0,4441338884,-14875943698,0,0,272640228384,-299823723307,0,-44796197000,0,-71979691923,-6736628501,97052279042,-328307,90315322234
2019,0,86279395958,21547036168,0,17585732,0,-4141045442,1665080319,0,105368052735,-13986636464,24178369141,15450888891,1530413009,-1660577183,-5223619447,0,-3194427429,122462463253,-630523545,0,-54000000000,264904600,0,0,3918872024,-50446746921,0,0,174681428143,-248963985584,0,-51515626550,0,-125798183991,-53782467659,90315322234,92971,36532947546
