Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2014,4,196353492444,0,196353492444,-147343606381,49009886063,1819317426,-359475590,0,-30816954165,-4223796135,15428977599,2704450672,-2187990,2702262682,0,18131240281,-3097826465,0,-3097826465,15033413816,0,15033413816,0,0
2015,1,190316178865,0,190316178865,-140551929092,49764249773,501973700,-179717314,0,-26024079385,-3908231278,20154195496,84895695,-27600000,57295695,0,20211491191,-3154803036,0,-3154803036,17056688155,0,17056688155,0,0
2015,2,205155754609,0,205155754609,-160833644827,44322109782,2802281413,-93374699,0,-14275652504,-4904198357,27851165635,72441309,-15000000,57441309,0,27908606944,-4479218188,0,-4479218188,23429388756,0,23429388756,0,0
2015,3,199125038668,0,199125038668,-153457568492,45667470176,664615050,-174430864,0,-16409756007,-4652717719,25095180636,86806380,-82686891,4119489,0,25099300125,-3843596921,0,-3843596921,21255703204,0,21255703204,0,0
2015,4,189677882542,0,189677882542,-135212638839,54465243703,2726802610,-184533699,0,-23039125357,-4663262586,29305124671,138331771,-148554740,-10222969,0,29294901702,-4715222147,0,-4715222147,24579679555,0,24579679555,0,0
2016,1,177597550358,0,177597550358,-133876679345,43720871013,345651461,-76047484,0,-16375180361,-3988368617,23626926012,21927000,-3000000,18927000,0,23645853012,-4729708943,0,-4729708943,18916144069,0,18916144069,0,0
2016,2,199687271638,0,199687271638,-139361304025,60325967613,2164808951,-34705095,0,-23361015277,-5362757495,33732298697,170216642,-65675832,104540810,0,33836839507,-6782786308,0,-6782786308,27054053199,0,27054053199,1691,0
2016,3,226130369219,0,226130369219,-163712377895,62417991324,350811038,-17459729,0,-30148983287,-5278800958,27323558388,182150085,-55510000,126640085,0,27450198473,-5495555991,0,-5495555991,21954642482,0,21954642482,0,0
2016,4,235897616065,0,235897616065,-172916628936,62980987129,455050774,-2011117207,-203475448,-35603981110,-7521530326,18299409260,985409888,-124707345,860702543,0,19160111803,-3828011447,0,-3828011447,15332100356,0,15332100356,0,0
2017,1,258363487902,0,258363487902,-197304643979,61058843923,1066876498,-949663367,-503912242,-33461900964,-4390635514,23323520576,44249000,0,44249000,0,23367769576,-4678984046,0,-4678984046,18688785530,0,18688785530,0,0
2017,2,291124077720,0,291124077720,-218913819329,72210258391,1625667332,-686473063,-352296149,-47607440319,-5275971506,20266040835,123708394,-76282452,47425942,0,20313466777,-4063597922,0,-4063597922,16249868855,0,16249868855,0,0
2017,3,254774064452,0,254774064452,-203670255370,51103809082,698875555,-614680771,-484746535,-27563139264,-6943655572,16681209030,186175024,-13583543,172591481,0,16853800511,-3380655198,0,-3380655198,13473145313,0,13473145313,0,0
2017,4,271269705464,0,271269705464,-218029884312,53239821152,1634795766,-639529852,-505105429,-34513221184,-7011589316,12710276566,4136459010,-3670838609,465620401,0,13175896967,-2652913957,0,-2652913957,10522983010,0,10522983010,0,0
2018,1,274493652478,0,274493652478,-223604184573,50889467905,1064954651,-1343872347,-709643392,-27038002432,-6834932128,16737615649,594102429,-270974505,323127924,0,17060743573,-3496955846,0,-3496955846,13563787727,0,13563787727,0,0
2018,2,271687208888,0,271687208888,-226390249702,45296959186,2093976090,-1501541068,-761133290,-26660586796,-7047017627,12181789785,753981052,247487032,1001468084,0,13183257869,1574681451,0,1574681451,14757939320,0,14757939320,0,0
2018,3,277330699126,0,277330699126,-228035284890,49295414236,1311489748,-2471526844,-637982778,-27690441184,-8350947002,12093988954,1507584415,-369043582,1138540833,0,13232529787,-546195221,0,-546195221,12686334566,0,12686334566,0,0
2018,4,293823628842,0,293823628842,-241045419774,52778209068,2175030606,-938879105,-721020200,-31080193400,-6729279411,16204887758,1241888688,-614506491,627382197,0,16832269955,-1272428093,0,-1272428093,15559841862,0,15559841862,0,0
2019,1,251057244625,0,251057244625,-205712686358,45344558267,692090884,-555771077,-384132453,-23094423971,-6009494718,16376959385,30004622,-13467781,16536841,0,16393496226,-938610935,0,-938610935,15454885291,0,15454885291,0,0
2019,2,282179359746,0,282179359746,-228089206405,54090153341,1885885631,-1315614710,-770668295,-27715706855,-6392702806,20552014601,1000000,-1732217,-732217,0,20551282384,-1144108142,0,-1144108142,19407174242,0,19407174242,1556,0
2019,3,271429284020,0,271429284020,-216803508813,54625775207,1370161149,-524080716,-372868320,-29346016872,-6682071086,19443767682,1236040202,-599583959,636456243,0,20080223925,-1352558858,0,-1352558858,18727665067,0,18727665067,0,0
2019,4,352645012714,0,352645012714,-272972641216,79672371498,1835889092,-315207760,-137411251,-44493419284,-7495375361,29204258185,50135238,0,50135238,0,29254393423,-1720744327,0,-1720744327,27533649096,0,27533649096,0,0
2020,1,356770792256,0,356770792256,-272912215933,83858576323,733605954,-1122062634,-137494762,-39518972134,-7055955931,36895191578,19846950,-177002363,-157155413,0,36738036165,-4574967499,0,-4574967499,32163068666,0,32163068666,0,0
2020,2,371453973137,0,371453973137,-285260211584,86193761553,4553662012,-601578431,-173813629,-32584787164,-7968351190,49592706780,543446092,-937332,542508760,0,50135215540,-6243107453,0,-6243107453,43892108087,0,43892108087,0,0
