Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2005,0,53634959651,6251836978,6251836978,0,0,0,0,40369854811,38118924574,1951871283,0,0,717171454,-418112500,6673551532,6904988250,-231436718,339716330,0,224710414,27272,114978644,12045513705,0,0,0,0,0,10207356237,10184616790,15625893996,-5441277206,0,0,0,22739447,49697687,-26958240,0,0,0,0,1817638000,0,1817638000,0,0,20519468,0,0,20519468,0,65680473356,39148061673,37610061673,0,16534821869,56772748,1924661529,2063662217,3551873923,0,0,13478269387,0,1538000000,0,0,0,1538000000,0,0,0,26532411683,26405991071,14120100000,0,0,0,0,0,1538821301,158032906,0,10589036864,126420612,126420612,0,0,65680473356
2006,0,83376261584,13443157464,13443157464,0,7500000000,7500000000,0,49477162498,47761001454,1031405770,0,0,1102867774,-418112500,12689237050,12920673768,-231436718,266704572,0,0,0,266704572,12267275180,0,0,0,0,0,10416560300,10403699709,16990251806,-6586552097,0,0,0,12860591,49697687,-36837096,0,0,0,0,1817638000,0,1817638000,0,0,33076880,0,0,33076880,0,95643536764,33406278841,32097538841,0,15621081465,334586248,1247182495,2506314651,0,0,0,12388373982,0,1308740000,0,0,0,1308740000,0,0,0,62237257923,62172032997,30000000000,17468699000,0,-1500000000,0,0,9104612856,393817901,0,6704903240,65224926,65224926,0,0,95643536764
2007,0,101580496623,13091260192,13091260192,0,0,0,0,71537699589,63822828202,1312611853,0,0,6820329534,-418070000,16815732718,17046530718,-230798000,135804124,0,0,0,135804124,17508630499,0,0,0,0,0,11680819420,10569362126,17427834745,-6858472619,0,0,0,711457294,830394275,-118936981,400000000,0,0,0,5761638000,0,1817638000,3944000000,0,66173079,66173079,0,0,0,119089127122,47481697770,46266438770,0,30968804098,1013236600,82305230,4243721653,115701548,0,0,9842669641,0,1215259000,0,0,0,1215259000,0,0,0,71607429352,71748555263,36000000000,19118517850,0,0,0,0,5598097162,705079772,0,10326860479,-141125911,348849789,-489975700,0,119089127122
2008,0,183596676327,71223144577,42874418890,28348725687,4063233567,4063233567,0,71627770429,63271828372,5872581880,0,0,2901350177,-417990000,36268189633,36494358033,-226168400,414338121,0,0,0,414338121,19673851029,0,0,0,0,0,15876213029,12074953473,19137136338,-7062182865,0,0,0,1258225556,1571000000,-312774444,2543034000,0,0,0,3797638000,0,1817638000,3944000000,-1964000000,0,0,0,0,0,203270527356,58497661986,57869364986,0,38735453353,1749620650,235596505,12352671591,152868714,0,0,4643154173,0,628297000,0,0,0,628297000,0,0,0,144772865370,144119128165,57659500000,54774342850,0,0,0,0,10947656007,1151388144,0,19586241164,653737205,789698051,-135960846,0,203270527356
2009,0,202159192359,72740817141,52740817141,20000000000,4570312160,4570312160,0,71647220121,63957114355,6076999734,0,0,1935201232,-322095200,52914904490,53999011551,-1084107061,285938447,0,0,0,285938447,44783176132,0,0,0,0,0,39701172599,37260968043,46627420191,-9366452148,0,0,0,944025556,1571000000,-626974444,1496179000,0,0,0,4387638000,0,1817638000,3944000000,-1374000000,694365533,694365533,0,0,0,246942368491,74297742114,73669445114,0,36944704389,9138295700,7173732811,16738693237,324678600,0,0,3349340377,0,628297000,0,0,0,628297000,0,0,0,172644626377,169461190484,80141610000,54774342850,0,0,0,3529046,3632798807,2170332066,0,28738577715,3183435893,3183435893,0,0,246942368491
2010,0,218971198775,17037708863,17037708863,0,0,0,0,103077409704,96701747092,5014884661,0,0,1693885985,-333108034,97002242350,97678833350,-676591000,1853837858,847704739,178506666,106464442,721162011,84015146336,0,0,0,0,0,51488387514,44820278067,58557523439,-13737245372,0,0,0,3025612556,3966787000,-941174444,3642496891,0,0,0,31906632100,0,29546638000,3944000000,-1584005900,620126722,620126722,0,0,0,302986345111,97520272914,96959380914,0,49753867843,12794721953,6476973915,18316199985,188147569,0,0,3379959409,0,560892000,0,0,0,560892000,0,0,0,205466072197,205466072197,81341610000,54797592850,0,0,0,4639228115,17636370157,3837898950,0,43213372125,0,0,0,0,302986345111
2011,0,280650370651,19007092447,19007092447,0,0,0,0,110780607568,100967987709,8454395750,0,0,1622735509,-264511400,148790454326,149465484026,-675029700,2072216310,1612276603,91572132,4619035,363748540,81897419725,46243152,0,0,46243152,0,54337207790,46520232343,71186642369,-24666410026,0,0,0,3791412556,5066787000,-1275374444,4025562891,0,0,0,3520060770,0,1813398370,3944000000,-2237337600,92529460,92529460,0,0,23901378553,362547790376,144188461187,143585043337,0,76448174691,15517062597,3048165142,22205233618,1308713800,0,0,16613803573,0,603417850,0,0,0,373930000,0,34702350,0,214333634645,214333634645,82561610000,54797592850,0,0,0,1466948024,28989455885,5892458324,0,40625569562,0,0,0,4025694544,362547790376
2012,0,301221701258,49657164227,38204164227,11453000000,3615030000,3615030000,0,116217978712,109002949514,8964930729,0,0,910181944,-2660083475,131054367612,132324228281,-1269860669,677160707,422710407,0,0,254450300,91932648238,0,0,0,0,0,67422650341,57308210750,89771696181,-32463485431,0,0,0,4989737000,7066787000,-2077050000,5124702591,0,0,0,2978208077,0,1338212177,3944000000,-2304004100,286119996,286119996,0,0,21245669824,393154349496,121438691203,121295397203,186968000,65232881381,11163801780,3253162127,25549134143,1225234004,0,0,4737232980,0,143294000,0,0,31500000,0,0,0,0,267666038576,267666038576,100298380000,54797592850,0,0,0,0,56695016847,9096851620,262128000,46516069259,0,0,0,4049619717,393154349496
2013,0,347080557892,54122278528,24803774980,29318503548,0,0,0,133931947388,129985760207,3338851604,0,0,3266344352,-2659008775,157261771278,158657902071,-1396130793,1764560698,1109348198,0,0,655212500,92442804100,0,0,0,0,0,66631302682,55258926351,95584250460,-40325324109,0,0,0,5737453667,9066787000,-3329333333,5634922664,0,0,0,5501123165,0,2567797165,3944000000,-1010674000,1720417157,1720417157,0,0,18589961096,439523361992,112319344688,112238020688,0,55073922728,8598225285,3753812673,24250073965,805930040,0,0,5216330414,0,81324000,0,0,0,32500000,0,0,0,322996555452,322996555452,100298380000,54797592850,262128000,0,0,0,77136109555,13013067593,0,77489277454,0,0,0,4207461852,439523361992
2014,0,470989107352,99023212818,78423212818,20600000000,2386660700,3944000000,-1557339300,124638072405,113501026773,13306510090,0,0,1601890593,-3771355051,224677968327,228349336304,-3671367977,20263193102,1828287862,7400000,0,18427505240,482018725808,0,0,0,0,0,84494247208,51650313468,103135721404,-51485407936,0,0,0,6023770335,10978387000,-4954616665,26820163405,0,0,0,379712637822,0,371414557822,8298080000,0,107276119,107276119,0,0,17704564659,953007833160,202336568425,202297816425,25424000000,90499209984,17569562855,2980775433,31557582847,649463428,0,0,15992893341,0,38752000,0,0,38752000,0,0,0,0,744945670425,744945670425,152950000000,331245527850,0,0,0,0,123109451671,17823890859,0,119816800045,0,0,0,5725594310,953007833160
