Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2007,0,367206365113,255523238737,24278794292,231244444445,100000000000,100000000000,0,11307259898,0,10654015917,653243981,0,0,0,0,0,0,375866478,41587803,0,334278675,0,2947703008,0,0,0,0,0,2740102826,2433436159,2505750552,-72314393,0,0,0,0,0,0,306666667,0,0,0,0,0,0,0,0,207600182,207600182,0,0,0,370154068121,658589180,658589180,0,0,0,25695954,506003082,96000000,0,0,30890144,0,0,0,0,0,0,0,0,0,369495478941,369495478941,369800000000,0,0,0,0,0,0,0,0,-304521059,0,0,0,0,370154068121
2008,0,1471276549558,1447334275924,9169333986,1438164941938,0,0,0,19653393245,0,12915368409,0,0,6738024836,0,0,0,0,4288880389,7455286,4271425103,0,10000000,139180657714,0,0,0,0,0,123938437754,5189250870,6023857433,-834606563,0,0,0,0,0,0,118749186884,0,0,0,15204174000,0,0,15204174000,0,38045960,38045960,0,0,0,1610457207272,11603248056,11603248056,0,403823999,0,10065170155,792284343,81799871,0,0,260169688,0,0,0,0,0,0,0,0,0,1598853959216,1598853959216,1544765500000,0,0,0,0,57148410,0,0,0,54031310806,0,0,0,0,1610457207272
2009,0,3378020645056,5172889170,5172889170,0,2198536806820,2198536806820,0,1154512698507,0,1110956597426,0,0,43556101081,0,0,0,0,19798250559,0,19788250559,0,10000000,1854985216748,0,0,0,0,0,1843830785657,5038043016,6989147224,-1951104208,0,0,0,0,0,0,1838792742641,0,0,0,11140000000,0,0,11140000000,0,14431091,14431091,0,0,0,5233005861804,2362431630454,2362431630454,2237109792435,78721437429,100000000,29793401833,1248609426,15303635906,0,0,154753425,0,0,0,0,0,0,0,0,0,2870574231350,2870574231350,2560000000000,0,0,0,0,123934916030,11140000000,0,0,175499315320,0,0,0,0,5233005861804
2010,0,1761505805557,15070108688,15070108688,0,1232789078167,1232789078167,0,436628028894,0,345568879085,0,0,91059149809,0,0,0,0,77018589808,2151828,73137527850,3628910130,250000000,9741255033271,0,0,0,0,0,8810786839794,6765642408,10394640678,-3628998270,0,0,0,0,0,0,8804021197386,0,0,0,11140000000,0,0,11140000000,0,919328193477,919328193477,0,0,0,11502760838828,8726646205213,1668956916914,1067363731610,589018115546,0,151187043,2377699871,6585060143,0,0,551581299,0,7057689288299,0,0,0,7053042355106,0,0,0,2776114633615,2776114633615,2560000000000,0,163455502290,0,0,6541765513,17930478253,0,0,28186887559,0,0,0,0,11502760838828
2011,0,1915753325077,28710621943,28710621943,0,437801815184,437801815184,0,1229505566672,136180072802,29299507639,0,0,1064025986231,0,181210013298,181210013298,0,38525307980,9499996,38271807984,0,244000000,12557041056704,0,0,0,0,0,11066427286240,10980469827719,11201196368577,-220726540858,0,0,0,0,0,0,85957458521,0,0,0,11140000000,0,0,11140000000,0,1479473770464,1479473770464,0,0,0,14472794381781,11695558975718,2412749559814,1162373439872,485661466020,0,2541118404,8503411323,743620426195,0,0,6276353270,0,9282809415904,0,0,0,9278162482711,0,0,0,2777235406063,2777235406063,2560000000000,163455502290,0,0,0,0,19512572631,0,0,34267331142,0,0,0,0,14472794381781
2012,0,2079395454660,51718618432,51718618432,0,494830189800,494830189800,0,1336929972359,0,10927197129,0,0,1335786084080,-9783308850,184895064642,184895064642,0,11021609427,0,10855109427,0,166500000,11406653801460,38782753000,0,0,38782753000,0,10119388803399,10071352606612,11269710246911,-1198357640299,0,0,0,0,0,0,48036196787,0,0,0,0,0,0,11140000000,-11140000000,1248482245061,1248482245061,0,0,0,13486049256120,10703598842617,2530331354922,1167641326901,355272478546,0,1720928217,12675270379,950243089747,0,0,39835947043,0,8173267487695,0,0,0,8168620554502,0,0,0,2782450413503,2782450413503,2560000000000,0,163455502290,0,0,0,20055769998,0,0,38939141215,0,0,0,0,13486049256120
2013,0,1983307076501,57246674887,57246674887,0,246461181788,246461181788,0,1449723105340,35652402,14986171786,0,0,1458642323488,-23941042336,221314057916,221314057916,0,8562056570,8392414891,10641679,0,159000000,10202871800805,38782753000,0,0,38782753000,0,9137428065305,9114093121509,11293643448661,-2179550327152,0,0,0,21602554546,21602554546,0,1732389250,0,0,0,0,0,0,11140000000,-11140000000,1026660982500,1026660982500,0,0,0,12186178877306,9398503220590,2082537306225,1137995154732,27037408723,0,13180462995,14586349906,717130892794,0,0,169146428184,0,7315965914365,0,0,0,7311318981172,0,0,0,2787675656716,2787675656716,2560000000000,0,169237381136,0,0,0,20439881905,0,0,37998393675,0,0,0,0,12186178877306
2014,0,2768010209671,726126885017,186126885017,540000000000,0,0,0,1766525503825,1592220067017,164906169696,0,0,43203152894,-33803885782,275347492286,275347492286,0,10328543,0,0,10328543,0,9715538767888,532242417841,493459664841,0,38782753000,0,8305931981670,8275788620334,11294005678629,-3018217058295,0,0,0,30143361336,30198260921,-54899585,0,0,0,0,0,0,0,11140000000,-11140000000,877059761877,877059761877,0,0,0,12483548977559,8236865216747,2376611799114,1051902984892,810266679604,0,205117531409,22367282634,114999951807,0,0,169237057523,0,5860253417633,0,0,0,5855706484440,0,0,0,4246683760812,4246683760812,2560000000000,0,169237381136,0,0,0,20850842750,0,0,1496595536926,0,0,0,0,12483548977559
2015,0,2980677860169,1108501344977,108501344977,1000000000000,0,0,0,1576123809496,1421490243475,147020019418,0,0,42952025978,-35338479375,287993190464,287993190464,0,8059515232,8049669484,9845748,0,0,8663994166651,367755862894,328973109894,0,38782753000,0,7617942026184,7588706105493,11295755880632,-3707049775139,0,0,0,29235920691,30823217421,-1587296730,0,0,0,0,0,0,0,11140000000,-11140000000,672601294119,671669974785,931319334,0,0,11644672026820,6876213880783,2023085133370,1053664813698,610604963934,0,141527642896,30078428592,118285481506,0,0,48265419152,0,4853128747413,0,0,0,4811731814220,0,0,0,4768458146037,4768458146037,2739198430000,-113000000,0,0,0,0,79801049931,0,0,1949571666106,0,0,0,0,11644672026820
2016,0,5316223172464,1398468310099,133468310099,1265000000000,0,0,0,3609508630323,3447445691772,117366595233,0,0,44696343318,0,239011186410,239011186410,0,69235045632,14504546432,54730499200,0,0,7663690891214,202139261947,164486554947,0,37652707000,0,6934521012006,6906903378576,11307417864097,-4400514485521,0,0,0,27617633430,30823217421,-3205583991,0,0,0,0,0,0,0,11140000000,-11140000000,525626341720,524433017320,1193324400,0,0,12979914063678,8071479939962,4309602086664,1044961195732,2651557360711,0,294941869230,16736277977,92723792338,0,0,185717509065,0,3761877853298,0,0,0,3697297425589,0,0,23866487990,4908434123716,4908434123716,2848760290000,-210000000,0,0,0,0,137294913354,0,0,1922588920362,0,0,0,0,12979914063678
