date,bull,bigBull,cancelSell,bear,bigBear,cancelBuy
2019-12-02,29461,0,0,82939,43140,1580
2019-12-03,448950,384140,32020,80330,51490,10010
2019-12-04,543539,517060,14000,416881,402641,97510
2019-12-05,287894,260664,40000,260316,231076,30250
2019-12-06,43185,15000,20740,75325,68360,10290
2019-12-09,100210,57110,84970,222380,189770,32830
2019-12-10,33946,20000,9000,232214,229724,34400
2019-12-11,33991,30000,7440,45039,22989,4100
2019-12-12,116986,82020,12100,169084,142474,56840
2019-12-13,72557,39935,12410,41203,32083,2750
2019-12-16,57000,32100,3530,52450,40130,29540
2019-12-17,73796,32662,14790,121984,99388,50010
2019-12-18,148647,105970,1100,222483,199578,6220
2019-12-19,64374,14300,4000,102176,57160,950
2019-12-20,69496,31016,14620,160634,133004,6320
2019-12-23,28070,5810,19710,100470,63460,30370
2019-12-24,36902,10927,760,156578,115103,2470
2019-12-25,49310,38830,5100,48110,36570,5630
2019-12-26,17193,0,160,16337,0,60
2019-12-27,48290,18530,2000,60440,39370,50
2019-12-30,152845,46062,7140,267835,216178,9780
2019-12-31,123096,99106,9120,146594,129070,6070
2020-01-02,107330,74660,12100,102710,84370,3870
2020-01-03,184463,58580,8450,252017,200937,26160
2020-01-06,35577,12617,1850,58303,28573,4300
2020-01-07,75367,35837,21830,91993,43780,26900
2020-01-08,162774,62118,6940,384806,289716,38520
2020-01-09,72906,15065,14040,112274,66654,1990
2020-01-10,52583,0,3370,174157,104777,4030
2020-01-13,95316,15000,6770,176774,115390,17540
2020-01-14,38524,6040,3230,64076,32360,5370
2020-01-15,68226,14800,12040,69284,13000,3530
2020-01-16,57694,34000,8690,80716,18860,5960
2020-01-17,99761,42171,2230,124129,64529,5000
2020-01-20,33577,10861,30760,90283,41610,1110
2020-01-21,51770,13150,1350,55880,17010,8060
2020-01-22,72528,8000,550,54272,23090,19370
2020-01-30,279295,114491,2880,206565,73846,5600
2020-01-31,45503,7545,9620,129117,38720,12310
2020-02-03,172891,47570,7370,215909,143740,8460
2020-02-04,97223,45633,12450,86377,25593,11530
2020-02-05,135783,80984,1600,77827,19980,201000
2020-02-06,254532,89320,7170,100618,39869,10590
2020-02-07,163933,76700,22460,125677,46470,17470
2020-02-10,53044,20384,500,94356,58096,9960
2020-02-11,101549,56320,6240,29911,0,2000
2020-02-12,156527,57370,6550,310643,232973,8180
2020-02-13,71828,41730,7390,85382,26610,2520
2020-02-14,63420,14000,20950,162240,124510,21940
2020-02-17,71815,32000,1310,102855,77590,2850
2020-02-18,101121,37895,10300,172869,121405,22320
2020-02-19,42935,23280,13050,103955,78710,5010
2020-02-20,57824,28200,5500,86416,56080,11540
2020-02-21,29437,7347,920,166593,126243,520
2020-02-24,135450,47295,59040,320840,242470,26440
2020-02-25,280388,104170,17560,333582,179632,24980
2020-02-26,53533,19673,10030,95117,41110,18720
2020-02-27,49740,19300,100,54920,14620,4500
2020-02-28,39512,7750,11120,177118,134698,10600
2020-03-02,47670,24000,1970,49820,19480,640
2020-03-03,50705,7900,16570,130925,67905,3000
2020-03-04,33895,0,1350,38025,0,3040
2020-03-05,127170,71430,6840,64980,21830,15430
2020-03-06,28020,5900,1300,41790,11790,12510
2020-03-09,144650,61935,33860,351210,231775,15860
2020-03-10,113945,43990,20720,25475,0,2620
2020-03-11,75555,26245,61130,141995,76145,2680
2020-03-12,123951,79330,25260,249059,131233,11330
2020-03-13,268734,155920,10500,754856,625436,54900
2020-03-17,286098,194530,2000,210722,91520,9620
2020-03-18,62949,10720,2960,177381,100741,9790
2020-03-19,142306,64420,17020,119244,31694,19250
2020-03-20,126932,59370,32910,168818,96968,18750
2020-03-23,13605,0,3580,76465,26710,7130
2020-03-24,174609,86288,12010,194321,100680,38600
2020-03-25,149915,79025,4010,147195,66000,10400
2020-03-26,134979,77282,23750,212321,135308,2070
2020-03-27,112265,55155,1520,145925,43000,2820
2020-03-30,144690,55180,15070,173760,87200,6970
2020-03-31,168254,65235,2420,262916,188210,9210
2020-04-01,83150,38730,3000,70660,30000,16040
2020-04-02,76905,76905,0,76905,76905,0
2020-04-03,180388,91323,10790,159552,74807,20470
2020-04-06,423770,253120,10990,174660,82360,24630
2020-04-07,329972,198657,101030,275448,165003,12430
2020-04-08,173690,61000,5330,143970,80310,5040
2020-04-09,350278,184348,31650,211312,126560,22430
2020-04-10,122551,86116,15010,160439,88000,14990
2020-04-13,223810,80460,16300,267410,149700,15020
2020-04-14,254445,42625,19880,235055,108415,106630
2020-04-15,408765,188770,18780,452235,318305,40600
2020-04-16,280425,149740,19690,214955,97260,32000
2020-04-17,256306,136760,19450,527474,294364,54500
2020-04-20,408573,199840,19940,375237,221757,87440
2020-04-21,475961,207695,113100,553789,287534,48240
2020-04-22,194098,50080,18520,183172,91040,18100
2020-04-23,76873,29660,49380,210137,111467,10720
2020-04-24,389347,279247,24570,334943,146176,12250
2020-04-27,183165,92626,14240,396375,306894,32920
2020-04-28,64565,17175,28730,90645,55525,37640
2020-04-29,112380,50000,10040,117850,89000,1200
2020-05-04,35550,5000,14630,58090,26490,4390
2020-05-05,47855,20060,6100,86935,42040,3300
