date,open,high,low,close,volume,unadjusted,putthrough
2006-12-11,8.65,9.27,8.65,8.98,40100,145.30,0
2006-12-12,9.27,9.39,9.27,9.27,60300,150.00,0
2006-12-13,9.15,9.33,9.15,9.28,90000,150.20,28400
2006-12-14,9.27,9.39,9.27,9.35,93700,151.30,0
2006-12-15,9.39,9.46,9.27,9.45,77100,153.00,0
2006-12-18,9.39,9.51,9.39,9.42,54100,152.40,0
2006-12-19,9.33,9.52,9.33,9.51,55200,154.00,0
2006-12-20,9.45,9.60,9.39,9.51,94900,154.00,0
2006-12-21,9.39,9.45,9.26,9.33,71100,151.00,0
2006-12-22,9.27,9.27,8.46,8.59,88300,139.00,0
2006-12-25,8.96,9.08,8.90,8.96,60100,145.00,0
2006-12-26,9.02,9.15,8.65,8.90,29100,144.10,0
2006-12-27,9.26,9.26,8.96,8.96,14500,145.00,0
2006-12-28,9.02,9.08,8.90,9.00,48500,145.60,29000
2006-12-29,9.09,9.15,9.04,9.08,36800,147.00,0
2007-01-02,9.02,9.07,8.89,9.02,35300,146.00,0
2007-01-03,8.99,9.08,8.96,9.01,23500,145.90,0
2007-01-04,9.02,9.26,9.01,9.27,32100,150.00,0
2007-01-05,10.01,10.01,9.46,9.95,92600,161.10,0
2007-01-08,10.01,10.50,9.85,9.93,30600,160.70,0
2007-01-09,10.00,10.88,10.00,10.87,97100,176.00,0
2007-01-10,11.69,11.69,10.99,11.69,57300,189.20,0
2007-01-11,12.39,12.39,11.74,12.11,95500,196.00,30000
2007-01-12,12.19,13.19,12.08,12.48,129300,202.00,0
2007-01-15,13.59,14.04,13.59,13.90,103900,225.00,50300
2007-01-16,15.35,15.35,13.53,13.96,63400,226.00,0
2007-01-17,12.84,12.97,12.84,12.84,26800,207.80,0
2007-01-18,11.56,12.67,11.56,12.66,114300,205.00,0
2007-01-19,12.54,13.29,12.35,13.30,70800,215.20,0
2007-01-22,12.36,13.47,12.24,12.97,47700,209.90,5000
2007-01-23,12.85,13.59,12.67,12.79,18900,207.00,0
2007-01-24,12.68,12.85,12.60,12.60,21500,204.00,0
2007-01-25,12.66,13.03,12.29,13.04,84500,211.00,0
2007-01-26,12.48,12.79,12.45,12.79,23500,207.00,0
2007-01-29,12.98,13.40,12.91,13.40,10600,216.90,0
2007-01-30,14.39,14.39,13.29,13.96,20800,226.00,0
2007-01-31,14.21,14.82,14.21,14.64,59500,237.00,0
2007-02-01,15.32,15.32,14.21,14.50,21100,234.70,0
2007-02-02,14.21,14.21,13.59,14.15,6900,229.00,0
2007-02-05,13.90,14.09,13.53,13.90,26500,225.00,0
2007-02-06,13.96,13.96,13.78,13.78,29800,223.00,0
2007-02-07,13.90,13.90,13.72,13.87,34100,224.50,0
2007-02-08,13.90,14.52,13.59,13.59,28300,220.00,0
2007-02-09,13.96,13.97,13.72,13.90,112400,225.00,0
2007-02-12,14.02,15.32,14.02,15.07,58600,244.00,0
2007-02-13,15.44,15.75,14.82,15.32,37400,248.00,0
2007-02-14,15.44,15.75,14.95,15.57,18600,252.00,0
2007-02-15,17.10,17.10,17.05,17.09,55600,276.70,0
2007-02-26,18.47,18.79,18.47,18.80,82300,304.30,10000
2007-02-27,20.67,20.67,18.84,19.77,76100,320.00,5600
2007-02-28,20.63,20.63,18.23,19.34,30100,313.00,0
2007-03-01,18.85,18.85,17.92,18.16,38200,294.00,10000
2007-03-02,18.35,18.53,17.91,18.35,40300,297.00,5000
