Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2018,1,13697956297481,-2288205858,13695668091623,-12991978622466,703689469157,68815644877,-43497541751,-28479775103,-367915192242,-159109265468,202092883937,8403034957,-2659290754,5743744203,0,207836628140,-18455981871,4815710822,-13640271049,194196357091,10313015851,183883341240,0,0
2018,2,18632569113370,-3760221737,18628808891633,-17836442256815,792366634818,72661199260,-45164754103,-36761647022,-426185319556,-190039915394,192511754013,17233777654,-35012393577,-17778615923,0,174733138090,-35345565954,-2390111602,-37735677556,136997460534,19872176343,117125284191,0,0
2018,3,9322054704645,-2573066829,9319481637816,-8847086392652,472395245164,54144185193,-40275672281,-27777612250,-252880859349,-187662540258,37717787386,6501386584,-7515661337,-1014274753,0,36703512633,-3137983973,-38798051044,-41936035017,-5232522384,6653788324,-11886310708,-5.06,0
2018,4,14273186801808,-13941138163,14259245663645,-13648698796905,610546866740,78895618852,-41989873802,-37352773304,-410171131193,-189602977011,35802397593,25116636248,-5021719160,20094917088,0,55897314681,-9525631679,-20196847645,-29722479324,26174835357,8789325927,17385509430,-25.31,0
2019,1,16947783429928,-1450130812,16946333299116,-16346875341240,599457957876,88381621596,-50649350212,-42344022913,-392877894469,-206789929615,30355499685,9073545265,-1056893975,8016651290,0,38372150975,-1313253928,1136655077,-176598851,38195552124,6571171931,31624380193,30.58,0
2019,2,21662690682969,-3949778294,21658740904675,-20705965556664,952775348011,86810359757,-73296322906,-56203682294,-475887538376,-226020555787,263940565305,19633816422,-6074422585,13559393837,0,277499959142,-43916018858,-724897572,-44640916430,232859042712,70361148137,162497894575,157,0
2019,3,20824477539580,-2984022777,20821493516803,-20227144239561,594349277242,96673049639,-53895344761,-46989451920,-393552303738,-221035249680,19270465958,26062355729,-10626321803,15436033926,0,34706499884,-5933824876,-3990786458,-9924611334,24781888550,16368285788,8413602762,8,0
2019,4,20496506724397,-2680140830,20493826583567,-19868428551315,625398032252,100453145081,-93763730805,-50070631357,-425314051704,-164971440701,37073566609,5636528693,5129515570,10766044263,0,47839610872,-13778323567,-256030582,-14034354149,33805256723,19654494628,14150762095,14,0
2020,1,17686381718359,-1777050291,17684604668068,-17620480860510,64123807558,103264813688,-67154500794,-53458100143,-430285965069,-185675612124,-530795400437,9538488796,-9294386370,244102426,0,-530551298011,-3905579708,-3256007696,-7161587404,-537712885415,-114742718076,-422970167339,-409,0
2020,2,11654823247389,-1495845825,11653327401564,-10871912803611,781414597953,99467764826,-53540077986,-36144662472,-378500360424,-178923367260,269103270324,23459528332,-69853009216,-46393480884,0,222709789440,-1488568882,-38128051384,-39616620266,183093169174,6537859520,176555309654,171,0
