date,open,high,low,close,volume,unadjusted,putthrough
2008-06-25,4.90,4.90,4.90,4.90,13600,25.00,0
2008-06-26,5.10,5.10,4.90,5.09,2700,26.00,0
2008-07-02,4.85,4.85,4.85,4.86,100,24.80,0
2008-07-03,4.68,4.68,4.68,4.68,100,23.90,0
2008-07-04,4.50,4.86,4.50,4.51,9600,23.00,0
2008-07-07,4.69,4.69,4.33,4.33,3100,22.10,0
2008-07-08,4.27,4.27,4.27,4.27,100,21.80,0
2008-07-10,4.11,4.11,4.11,4.11,100,21.00,0
2008-07-11,3.95,3.95,3.95,3.96,2600,20.20,0
2008-07-14,3.80,3.80,3.80,3.80,4100,19.40,0
2008-07-15,3.66,3.94,3.66,3.94,90200,20.10,0
2008-07-16,3.92,3.92,3.92,3.92,40000,20.00,0
2008-07-17,4.08,4.08,4.08,4.08,36800,20.80,0
2008-07-18,4.24,4.24,3.92,3.92,3200,20.00,0
2008-07-21,3.94,3.94,3.94,3.94,2200,20.10,10000
2008-07-24,3.78,3.78,3.78,3.78,3200,19.30,0
2008-07-25,3.64,3.64,3.64,3.64,200,18.60,0
2008-07-28,3.50,3.50,3.50,3.51,1600,17.90,0
2008-07-29,3.37,3.41,3.37,3.37,18100,17.20,0
2008-07-30,3.25,3.25,3.25,3.25,3000,16.60,0
2008-07-31,3.13,3.13,3.13,3.13,200,16.00,0
2008-08-01,3.01,3.25,3.01,3.06,34500,15.60,0
2008-08-04,3.04,3.16,3.04,3.15,16100,16.10,0
2008-08-05,3.21,3.21,3.21,3.21,800,16.40,0
2008-08-06,3.33,3.33,3.33,3.33,5200,17.00,0
2008-08-07,3.45,3.45,3.45,3.45,1200,17.60,0
2008-08-08,3.59,3.59,3.59,3.59,3100,18.30,0
2008-08-11,3.73,3.73,3.73,3.72,26600,19.00,0
2008-08-12,3.86,3.86,3.72,3.86,93400,19.70,0
2008-08-13,4.00,4.00,4.00,4.00,2300,17.30,0
2008-08-14,4.14,4.14,4.12,4.14,15200,17.90,0
2008-08-15,4.30,4.30,4.30,4.30,29700,18.60,0
2008-08-18,4.60,4.60,4.00,4.05,58200,17.50,0
2008-08-19,3.93,3.93,3.77,3.93,11100,17.00,0
2008-08-20,3.58,3.63,3.58,3.58,20400,15.50,0
2008-08-21,3.46,3.81,3.46,3.81,8500,16.50,0
2008-08-22,3.95,3.95,3.69,3.95,35800,17.10,0
2008-08-25,4.04,4.13,4.04,4.14,32600,17.90,0
2008-08-26,4.37,4.42,4.37,4.42,36900,19.10,0
2008-08-27,4.72,4.72,4.42,4.42,60100,19.10,0
2008-08-28,4.35,4.35,4.35,4.35,29200,18.80,0
2008-08-29,4.10,4.35,4.05,4.35,30500,18.80,0
