Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2007,0,37703223144,5078082767,214510775,27526706,0,-4381047678,1631251173,0,40273546887,-9228496850,-7663950004,6670022506,-1890000,-1631251173,-4295490313,412603920,-5303869790,19231225183,-15793507790,10409091,0,0,-59490000000,0,4381047678,-70892051021,129563390783,0,800000000,-37010900000,0,-12600000000,0,80752490783,29091664945,11638113764,0,40729778709
2008,0,34483674799,6743790774,7200000000,0,0,-6745036154,417044547,0,42099473966,20017578619,-21309170174,-1841039989,33255750,-417044547,-3442882443,790843782,-835004994,35096009970,-47114237366,50181818,-1355162500,1043162500,-3993600000,0,6745036154,-44624619394,3900000000,0,0,0,0,-19292386000,0,-15392386000,-24920995424,40729778709,0,15808783285
2009,0,63016362886,9380925904,-6505907975,0,0,-5945764111,85221187,0,60030837891,-86179188787,-26671564380,73109473235,-91471818,-85221187,-10495969135,416551190,-4300048828,5733398181,-2967560043,337208636,-93603100000,90157600000,0,50000000,3845764111,-2180087296,0,0,22302130760,-4268624610,0,-12060205000,0,5973301150,9526612035,15808783285,278135234,25613530554
2010,0,65786398287,12505454425,421652139,0,0,-4182369779,755431903,0,75286566975,58733713160,-38079412044,-34451930280,-898073637,-755431903,-13793456885,652109376,-22160692992,24533391770,-83119788997,4454545,-1375000000,50000000,0,0,3182369779,-81257964673,0,0,42013606000,-9950000000,0,-22045484160,0,10018121840,-46706451063,78554530554,-950670151,30897409340
2011,0,63237704670,17791926369,7868109168,77136479,0,3847155189,6842292072,0,99664323947,11960971125,-23175067547,4930615301,3056458,-6842292072,-14502855547,2509948978,-8837040787,65711659856,-99104547103,105004546,0,0,-4000000000,0,1242097690,-101757444867,0,0,77622982455,-40499753617,0,-20549477500,0,16573751338,-19472033673,30897409340,-8128747,11417246920
2012,0,75050617672,23714601403,3328645304,-1215342,0,-986139418,13210170829,0,114316680448,-10865938071,-14733478175,7829575435,432446429,-13210170829,-12503173667,595519345,-3634024504,68227436411,-12688648198,19090909,0,0,-5125000000,0,967048509,-16827508780,9724000000,0,102950463634,-123753584106,0,-24991821000,0,-36070941472,15328986159,11417246920,1215342,26747448421
2013,0,83525242035,24980998208,-3152155998,-233162,0,-2198508333,5926656351,0,109081999101,-20878568722,-26421875372,12368404182,-319273768,-5792451273,-23788040205,2207316011,-8531075163,37926434791,-14786567023,819752045,0,0,0,0,1098263824,-12868551154,0,0,152007200978,-147917648398,0,-28079550550,0,-23989997970,1067885667,26747448421,800092,27816134180
2014,0,86191636887,25155331052,-445171123,109868872,0,-1132058335,3054844899,0,112934452252,13450243511,-14530325776,2264645880,449857291,-3144289826,-26411103402,927589634,-7702633656,78238435908,-10997275745,96363636,0,0,0,4001966333,1146329505,-5752616271,1475000000,-1003000000,113765590621,-155491779762,0,-19215266700,0,-60469455841,12016363796,27816134180,5835,39832503811
2015,0,92068440991,25700552192,-2281028988,1228646,0,-2167725451,812191275,0,114133658665,-15598666284,-6045144746,10162007908,317981983,-812191275,-22079832385,266300000,-6351382711,84022394558,-25376492721,0,-13000000000,0,-27030000000,0,2133281051,-63273211670,62194450000,0,51873993206,-68760656858,0,-59486616350,0,-14178830002,6570352886,39832503811,1264962,46404121659
2016,0,100442362485,27001831273,484534609,17530501,0,-5219540032,2897279441,0,125623998277,-8061289479,-2893793118,19967693484,98494109,-2778956385,-20528056987,39996479,-4952850531,106516617874,-14746780572,17011818,0,5000000000,-450000000,0,4878715130,-5301053624,0,0,130353545204,-130102190392,0,-50336472340,0,-50085117528,51130446722,46404121659,155516,97534723897
2017,0,113383865635,29440536926,8356568785,1374061,0,-6938898483,4056441810,0,148299888734,-38281552705,-35766764601,69988371544,-3358209041,-3665726269,-26389096435,0,-7205976984,103620934243,-238624589502,155000000,0,26000000000,-6350000000,0,6672561776,-212147027726,0,0,342334111501,-154125105833,0,-51630117830,0,136578887838,28052794355,97534723897,1994358,125589512610
2018,0,130246042901,22951905720,3391618773,26027506,0,-19444269087,5647951804,0,142819277617,-1090365980,-122662762481,40025269691,-19205193629,-5457987574,-26520321421,0,-6365934541,1541981682,-42138150559,17074080000,-3000000000,0,0,0,4754395967,-23309674592,18983760000,0,420800990265,-397277802819,0,-53689268050,0,-11182320604,-32950013514,125589512610,-127628506,92511870590
2019,0,131183457522,25501046197,5138826040,-4470510,0,-14454463724,7519682209,0,154884077734,-6144200457,46442796567,-59970853865,-35442473409,-7327407858,-30146400939,0,-6238254477,56057283296,-27060145246,31592579527,-68000000000,8000000000,-525000000,0,5520739229,-50471826490,0,0,429014892638,-410252957664,0,-54745719910,0,-35983784936,-30398328130,92511870590,3133998,62116676458
