Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2005,0,205315840825,20159852453,20159852453,0,0,0,0,90454614158,73495423241,17354527570,0,0,207825482,-603162135,94361159535,94361159535,0,340214679,0,0,46450839,293763840,79505414601,0,0,0,0,0,75410299111,71817772289,174319952355,-102502180066,0,0,0,3592526822,16580893021,-12988366199,0,0,0,0,300000000,0,0,300000000,0,3795115490,3748715490,0,46400000,0,284821255426,171377750028,148827274076,88731062761,20021378165,214737229,2629109063,21873881926,5440011176,0,0,9917093756,0,22550475952,0,0,3220398413,19095959482,0,234118057,0,113443505398,112968139806,102630000000,0,0,0,0,0,8373922909,1964216897,0,0,475365592,436596942,38768650,0,284821255426
2006,0,190859288087,24768383393,24768383393,0,0,0,0,54543252305,51613913743,2736585242,0,0,752456301,-559702981,110463375907,110463375907,0,1084276482,0,0,586476239,497800243,75494713861,0,0,0,0,0,72549024475,71119460470,184373711151,-113254250681,0,0,0,276348218,16580893021,-16304544803,1153215787,0,0,0,66000000,0,0,66000000,0,2879689386,2833289386,0,46400000,0,266354001948,142976093183,131409985053,96729960715,11670623820,150845752,2093189546,10235716707,0,0,0,10529648513,0,11566108130,0,0,2215624648,9350483482,0,0,0,123377908765,123311717580,102630000000,0,0,0,0,0,17249506762,2946665605,0,485545213,66191185,27422535,38768650,0,266354001948
2007,0,373051766042,39779452435,39779452435,0,0,0,0,113525661319,74276059141,39251785465,0,0,503538206,-505721493,218936673270,218936673270,0,809979018,0,0,0,809979018,69301939491,0,0,0,0,0,66125616333,65958201870,191527041769,-125568839899,0,0,0,0,16580893021,-16580893021,167414463,0,0,0,102000000,0,0,102000000,0,3074323158,2979519859,34603299,60200000,0,442353705533,246664457976,244751203117,172995730692,23568481555,593855537,4342491300,33520713570,0,0,0,9729930463,0,1913254859,0,0,1740000000,0,0,173254859,0,195689247557,195022656895,120000000000,17370000000,0,0,0,0,26526852539,4831747714,0,26294056642,666590662,666590662,0,0,442353705533
2008,0,396812391977,62606453500,62606453500,0,69341666667,69341666667,0,67333713191,56567343778,11112925512,0,0,136928159,-483484258,196823985719,250614793586,-53790807867,706572900,0,0,0,706572900,109122879406,0,0,0,0,0,75935211947,58349916144,198491898455,-140141982311,0,0,0,1623952827,18441787741,-16817834914,15961342976,0,0,0,241000000,0,0,241000000,0,32946667459,25049505386,7836962073,60200000,0,505935271383,195526857802,194060740666,85793866751,11657040810,1518873526,16852199172,57264362307,0,0,0,17397990724,3576407376,1466117136,0,0,1390000000,0,0,76117136,0,310408413581,306224719693,165000000000,62290000000,0,-12743682256,0,0,42607068767,8078617186,0,40992715996,4183693888,4183693888,0,0,505935271383
2009,0,506629984777,55636201977,55636201977,0,161525708042,161525708042,0,113988863480,90425481516,23476792682,0,0,86589282,0,174579337070,174579337070,0,899874208,0,0,0,899874208,163262308801,0,0,0,0,0,137399370547,92434074380,250440668998,-158006594618,0,0,0,1112246587,18563953741,-17451707154,43853049580,0,0,0,294020000,0,0,294020000,0,25568918254,25508718254,0,60200000,0,669892293578,254078456645,230126303482,124924509627,20877464953,2062163630,13595316748,51207814450,0,0,0,13730990220,3728043854,23952153163,0,0,1040000000,22912153163,0,0,0,415813836933,404848303701,205352720000,62295088755,0,-14367110657,0,943022759,34273331378,15466402565,0,100884848901,10965533232,10965533232,0,0,669892293578
2010,0,797782434910,197241764050,77994949721,119246814329,0,0,0,68610116557,27555908506,38538106705,0,0,2967040907,-450939561,500974404139,500974404139,0,30956150164,454254167,29505453626,78797437,917644934,305656617463,0,0,0,0,0,303369918554,112855535438,292973361283,-180117825845,0,0,0,29669792970,49276762776,-19606969806,160844590146,0,0,0,294020000,0,0,294020000,0,1992678909,177244653,1655034256,160400000,0,1103439052373,622718618451,576781722161,349421738737,63068559461,36681686273,3663297232,75355459965,13646392228,0,0,17487415109,4965293692,45936896290,0,0,850000000,45086896290,0,0,0,480720433922,480720433922,225501220000,62295088755,0,-14367110657,0,0,58684898016,21036091015,0,127570246793,0,0,0,0,1103439052373
2011,0,753826286329,51478243869,51478243869,0,0,0,0,142120330034,112448107692,31683327987,0,0,74392561,-2085498206,543502062085,543660107740,-158045655,16725650341,1580767051,13250098824,0,1894784466,433269675708,0,0,0,0,0,429962122666,284744047302,494105922147,-209361874845,0,0,0,29013923110,49541944776,-20528021666,116204152254,294020000,294020000,0,0,0,0,0,0,3013533042,1787224398,1065908644,160400000,0,1187095962037,637439109437,623546702911,361971385357,127083750835,1353412777,7141701191,70888285281,28204490416,0,0,15776589276,4648537973,13892406526,0,0,1019000000,9373406526,0,3500000000,0,549674522130,549674522130,269878430000,62295088755,0,-14367110657,0,0,77177527175,25161897230,0,129528689627,0,0,0,-17669530,1187095962037
2012,0,727230853900,83912724201,30912724201,53000000000,45000000000,45000000000,0,161089419878,152242553154,7183009076,0,0,3544734584,-1880876936,420173730956,420640882135,-467151179,17054978865,2971557729,12075420481,0,2008000655,418260035334,0,0,0,0,0,410119090570,368644916086,629676841492,-261031925406,0,0,0,29084964173,50376360314,-21291396141,12389210311,0,0,0,294020000,0,0,294020000,0,7846924764,5102861087,2553663677,190400000,0,1145490889234,615330213825,614807213825,292690478278,176336835389,592842014,10036248896,69604090741,27403760573,0,0,23335867271,8181035629,523000000,0,0,523000000,0,0,0,0,530183953105,530183953105,269878430000,62295088754,0,-14367110657,0,0,80384982904,26987843000,0,105004719104,0,0,0,-23277696,1145490889234
2013,0,1010230342587,199971822650,133571822650,66400000000,176680000000,176680000000,0,114299705164,98584187136,10843467910,0,0,7178598356,-2306548238,494530328491,500052715154,-5522386663,24748486282,6356328012,15463555534,0,2928602736,420327613880,0,0,0,0,0,409728392872,366564402220,684393347188,-317828944968,0,0,0,29788500179,52348950060,-22560449881,13375490473,0,0,0,0,0,0,0,0,10599221008,5943031799,4465789209,190400000,0,1430557956467,929951637589,929389476589,479745955581,290662263475,2059417164,13360611744,75066066715,32230758043,0,0,19998117034,8828683963,562161000,0,0,562161000,0,0,0,0,498315000437,498315000437,269878430000,62295088755,0,-14419110657,0,0,50253243359,26987843000,0,103319505980,0,0,0,2291318441,1430557956467
2014,0,839740339216,200636882571,160636882571,40000000000,145000000000,0,0,64339966056,52373840212,5821567338,0,0,8122965450,-2041490118,421031292994,424239967169,-3208674175,8732197595,3027173889,5705023706,0,0,411949672904,0,0,0,0,0,364494340121,333229376890,711809189486,-378579812596,0,0,0,31264963231,55780846048,-24515882817,0,0,0,0,3600000000,0,0,3600000000,0,38220560119,6544748557,4024530683,190400000,0,1251690012120,740238412342,736115412342,487353040594,95569286119,7675620874,18507028249,79028472138,34404052268,0,0,1080124549,6908915025,4123000000,0,0,4123000000,0,0,0,0,511451599778,511451599778,269878430000,62295088755,0,-14419110657,0,0,84681949730,0,0,109015241950,0,0,0,0,1251690012120
