Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2014,3,51543886.8888889,51543886.8888889,19123.041660916,14375.4322055823,26773.1217676679,4456.62334164244,1464.17365979182,1464.17365979182,1426.19755821804,-112,0.154012723259369,1.78907976168689,2.79324384441897,3.62090449381462,0,0,0.124885355641436,0.0730271972886743,0.287475794295716,0.16810258847344,0.291903147529315,0.170691500491155,0.074464497804016,0.11987549923772,0.0482188047812762,6.85690176307438,53.2310382461054,4.30492910412944,84.7865298524613,29.9314272621727,12.1945404341371,295385173.424,40643076.905,0.025,1.46417365979182,0.682979094257291,0.224596847505853,0.240094906494172,0.173123139537528,0.168649012589943,0.137593489997754,0.359385805139558,0.566182749852584,0.874358340575061,-0.0310555225921889,0,0,27.3191637702917,27.3191637702917,28.0466053033901,2.09171745317863,2.78252503493196,1.49403571040809,8.97540512931444,2.62745031419353,10.9433821506635,15.1767714079837,0.46130674797768,0.673661905395232,0,0,-0.0588447447220047,-0.00260281009035968,-0.150145513857642,0.267188466094016,-0.0155189366882417,0.499999950449056
2014,4,63050414.6666667,63050414.6666667,19709.5306314275,13492.0225646311,25702.5007183535,614.107336798694,1590.37936927341,1590.37936927341,1544.6370920537,1826,0.243677857748093,1.10676197174583,1.87459419247814,2.54350591954251,0,0,0.182395246105368,0.0983508867716881,0.411222854235534,0.221738961066371,0.438000984872922,0.236178223878922,0.115733573788538,0.152376475669099,0.060371101514146,7.55484714210903,48.3133534185717,3.55809892391348,102.582870180165,13.8216377910643,26.4078689890118,373925774.708,53167914.5513333,0.0278551532033426,1.59037936927341,0.628780792382178,0.26737761481337,0.194378108454167,0.167218610094016,0.162909738201126,0.142188418524645,0.375822355560754,0.675378259089438,1.29472442316108,-0.0207213196764802,0,0,22.5732304465202,22.5732304465202,23.2417052424065,1.82145382715285,2.66083160089806,1.39675124974765,58.4588358561951,2.55189024713123,13.1284858538118,15.2608028837009,0.816383054432929,1.26396385872979,2.70960867138866,3.26164033021496,3.34012117771535,6.46720282920163,0,1.10832258262332,1.346071128286,2.07450114713217
2015,1,64700414.6666667,64700414.6666667,23909.0662352388,15979.3245939671,28369.2630449857,891.75323127759,1857.6748173752,1857.6748173752,1794.46405075848,1826,0.3728140418568,2.41843188799085,3.44185556090276,3.99740766303651,0.00792203697925,0.0052491252061769,0.142446542048545,0.0943847821410379,0.229853080306593,0.152300172381796,0.25424153469801,0.168459911476804,0.0868948869562343,0.120855386108228,0.0550338054142873,7.12224298026902,51.2479005576152,3.70288177031475,98.5718752691838,15.405825704453,23.6923360683288,442860312.417,63271317.8493333,0,0,0,0.279376357733994,0.217579653315007,0.16498534346394,0.161645493489741,0.1428696951958,0.451393350112064,0.608332196983541,0.960517941486911,-0.0187757982939411,-78.127488356996,13.8196381088874,19.056080035589,19.056080035589,19.7273386363116,1.48060989298801,2.21536272023444,1.24782938294398,39.697080715125,1.70826361459469,7.85121029732273,10.3540325384603,-0.120664863736528,-0.240374471308885,0,0,-0.118200678460592,-0.106897259494827,0.188984583855408,0.367848659309533,0.64143567420306,0.348778273507964
2015,2,71106056.9861111,71106056.9861111,24136.4399277622,18038.0976643593,28487.6155158533,6304.26230638213,1816.48635941421,1816.48635941421,1721.71429502008,1826,0.412579785557833,1.01484247884376,1.80337092782969,2.58763355701045,0.013965572151682,0.0104438268916416,0.165126852353061,0.123486259095322,0.298683399709412,0.223363403095259,0.337208314210859,0.252173360445982,0.0730501737577478,0.121223446070424,0.0478158189857172,7.22482813766063,50.5202328754889,3.22424732058269,113.204715305164,12.1292112697773,30.0926409707679,599902015.034333,74883924.081,0.0333333333333333,1.81648635941421,0.550513354981916,0.296635811592468,0.177895475145041,0.146593519923917,0.142411835686384,0.124826925405,0.601269922145312,0.666245726967766,1.01785072707612,-0.0175849102813836,11.3959086535302,17.7733226993581,16.5154006494575,16.5154006494575,17.4244937657616,1.24293392438101,1.66314655559691,1.05308919180354,4.75868524214633,1.46438822006355,8.23173393741251,9.98944715171301,0.783551589416917,0.937506175715566,0,0,0.450322464978004,0.318362781970309,0.256565064143503,0.210487980733921,0.366190769256204,0
2015,3,81315945.6083333,81315945.6083333,11150.3527780438,22016.0681339067,13212.857038708,-177.55640939777,2376.64392249525,2376.64392249525,2259.48999546125,1826,0.0237539600195357,0.891665557766721,1.49179027898457,2.52602394096087,0.0267854229265674,0.0147301358765278,0.278761691081782,0.153299710744255,0.405227294892557,0.222847073611994,0.464933184372198,0.255681196376274,0.0969983524362266,0.14072295995846,0.0615398264882348,7.43482421252076,49.0932925334421,2.95766237214897,123.408271152599,13.4571903827732,27.1230464620047,732199363.947333,98502091.414,0.0327868852459016,2.37664392249525,0.420761389846778,0.274407274759372,0.190686195497764,0.159553080628921,0.154480135477332,0.134529058975098,0.72183829947235,0.699466684136352,1.10249118037776,-0.0199510765022336,6.40623961984452,4.23105577699129,12.8332223903267,12.8332223903267,13.4986213974246,2.73533946477978,1.3853518173405,2.30835767848302,-171.776395475945,1.65132614123017,8.65991445746542,10.3496976349252,0.0324698513173471,-0.302469349399056,0,0,0.448723651770709,0.499230156541199,0.529871588945852,0.028859507606944,-0.243405136867419,1.21640306585169
2015,4,85300292.9305556,85300292.9305556,20961.3711289709,26266.7401881209,23513.1154949897,785.655118729304,2523.79629440738,2523.79629440738,2446.01313360802,2513,-0.0150797121661826,0.867704402863452,1.55964754337564,2.4121706879503,0.0273777570874231,0.0156735377753598,0.255002371679595,0.145986732680982,0.401185194132089,0.229675180295649,0.461755972945032,0.264351446389183,0.129321123626563,0.164076578860826,0.0724048537154558,7.71073415690793,47.3366079769463,3.60542383124797,101.236364179037,16.4939423797597,22.1293364312891,883197223.608667,105014417.997,0.0297619047619048,2.52379629440738,0.396228492060138,0.255335564670647,0.172567307368331,0.142387123288468,0.136762093605176,0.118902568067323,0.781748219884549,0.891131528417217,1.59163543105635,-0.0178595255378532,0,0,13.3132773332206,13.3132773332206,13.7366392429946,1.60294857589546,1.27918423677087,1.42898970607105,42.7668568548802,1.13542066815606,6.5795815294991,7.9741808243135,1.36195866492049,1.25558167933078,1.09692773616395,1.01121453787478,0.982855141689623,0.975146455962818,0.551510268428596,0.639165242911238,0.740312103097263,0.636378388283594
2016,1,91065615.5944444,91065615.5944444,21905.9485304007,28719.4409235721,24164.7578595581,2135.58923450427,3221.17151874714,3221.17151874714,3094.45938043702,2513,0.833478661035811,1.31750866458332,1.95936383919174,2.8777380633742,0.02423905568348,0.0186822769298697,0.16566968722293,0.127690080669814,0.248672906349944,0.191664896605337,0.297435841170193,0.229248978432666,0.121399897014733,0.165301970021094,0.079967840383441,7.33654343347071,49.7509492460442,3.00642029754893,121.406843979059,16.1801940685218,22.558443888513,965380045.059,129645180.065667,0,0,0,0.24166164881943,0.196985308494105,0.163881491916479,0.157288157426871,0.134294447797233,0.721593993054576,0.789526409409352,1.19858713619275,-0.0229937096296378,4.2388636661974,3.24565854059752,12.3557531067082,12.3557531067082,12.861697345783,1.81685809882947,1.38582084887778,1.64702664232398,18.636542719433,1.25429587557164,6.36745900067555,7.65367620774945,-0.287445636270608,-0.331182757717201,0,0,0.993411900954413,0.748013848961181,0.537991608854,-0.0232463914133758,0.316835808500087,0
2016,2,95576382.7027778,95576382.7027778,22039.9582717874,28286.0671061229,24315.7551220527,561.244351356279,3167.53056503991,3167.53056503991,3078.49875913905,2513,0.707615319549286,1.02838833178965,1.50044495345832,2.39312588670839,0.0092477270438887,0.00685335058256301,0.227949803073257,0.168930149892304,0.31584726815352,0.234069631264834,0.349373117934125,0.258915131249251,0.124264374897443,0.0755093946103322,0.0817466417774478,7.56533486631608,48.2463772522651,2.89028986045591,126.28491176398,19.6649018335913,18.5609876463514,1263818182.22907,169919067.315463,0,0,0,0.225330612114423,0.112050436495974,0.0764640236927813,0.154051251016771,0.134448981431623,0.596752470593311,0.770219792835456,1.17082340031662,-0.0196022695851477,-8.35887727702652,-20.9323113032289,14.964338631221,14.964338631221,15.3971151878119,2.15063928050513,1.67573667354199,1.94935340325958,84.4551929751368,1.58297636725313,14.1273556512206,20.7022373503812,0.0097570529142692,0.0896987655028796,0,0,-0.565632540961608,-0.499894028939014,0.0892443292330973,0.0451782093026145,0.00494937325814959,0
2016,3,100391063.002778,100391063.002778,22469.6254135258,27866.5082770357,24785.5552304906,4435.11383428304,2624.30113684233,2624.30113684233,2574.32204459125,2513,0.393684294074125,1.16672295619239,1.7977626013694,2.69774668634498,0.00606677419441862,0.00470664261850957,0.183873188811337,0.142650007916379,0.257387035664656,0.199682525290889,0.288981273096906,0.224193538826673,0.100059074500638,0.0692233791704466,0.0714935246684025,7.90416722193371,46.1781728234622,3.11402331802298,117.211710614848,20.2537489765927,18.0213549808399,1263592396.87328,149783361.621622,0,0,0,0.222818101410534,0.105588771421153,0.0702794470498147,0.1346449631645,0.118537719910515,0.655682547694957,0.773920855772321,1.08314431166302,-0.0161072432539846,12.8125385641535,13.9171562402497,16.1947877868688,16.1947877868688,16.5092009716866,1.89144230123288,1.52512828580765,1.71470840999025,9.58261762561284,1.41038777463946,13.3573651407872,20.0682821770035,0.102592582387537,-0.0869948748741515,0,0,-0.00674317061674579,-0.0616029529648039,-0.125590160230735,-0.0290263995342734,0.0164660278921365,0
2016,4,102372497,102372497,22650.8897749754,26903.4446274454,25143.9305626491,1982.56296443565,2510.31251585082,2510.31251585082,2471.34711364176,2489,0.84700635363847,0.832980179575741,1.93514756372577,2.65904916525381,0.00417650772285804,0.00324583101496409,0.167140064786617,0.129895223983032,0.2592842476158,0.201506356135044,0.286729870903106,0.222836103666313,0.102037624485297,0.074914795625684,0.0689521308303346,6.83124615334375,53.430954149023,3.25432404550911,112.158468208995,17.2999977188615,21.0982686779233,1219922774.06912,149047690.769163,0,0,0,0.233339660454255,0.115960660264075,0.0795573326669085,0.139883877633024,0.122177972194097,0.636015239419514,0.738755116898968,1.0932340494337,-0.0177059054389266,0,0,16.8504916152495,16.8504916152495,17.1161710819598,1.86747630756355,1.57228936984701,1.68231454086323,21.3360184563121,1.54712244707501,13.3417871505023,19.4466354666831,0.0391660463725902,-0.0503530022190986,-0.105311263517268,-0.208914996146446,0.0628864493024623,0.067791910489885,0.176239452129329,0.0182274185023983,0.382255209040578,0.0148702574498578
