date,open,high,low,close,volume,unadjusted,putthrough
2006-12-22,5.71,5.71,4.39,5.23,19500,59.50,10000
2006-12-25,4.71,5.27,4.71,5.28,30000,60.00,0
2006-12-26,5.31,5.31,5.31,5.30,2000,60.30,0
2006-12-27,5.83,5.83,5.83,5.83,34500,66.30,10000
2006-12-28,6.41,6.41,6.38,6.41,108000,72.90,0
2006-12-29,7.03,7.03,6.33,6.42,14400,73.00,0
2007-01-02,6.60,6.68,6.45,6.51,15600,74.00,0
2007-01-03,6.51,6.60,6.44,6.52,7800,74.10,0
2007-01-04,7.04,7.08,6.95,7.08,30400,80.50,0
2007-01-05,7.72,7.72,7.72,7.72,36000,87.80,0
2007-01-08,8.35,8.35,7.04,7.74,20900,88.00,0
2007-01-09,8.27,8.36,7.92,8.36,33800,95.00,0
2007-01-10,8.80,8.80,8.62,8.80,19900,100.00,0
2007-01-11,9.57,9.57,8.80,9.24,16300,105.00,0
2007-01-12,9.97,9.97,9.97,9.97,57900,113.30,0
2007-01-15,10.96,10.96,10.30,10.56,58500,120.00,11500
2007-01-16,11.70,11.79,9.77,10.20,27200,116.00,0
2007-01-17,10.82,10.82,9.72,9.72,13800,110.50,5000
2007-01-18,8.79,10.56,8.79,10.56,35600,120.00,0
2007-01-19,10.56,10.67,10.38,10.38,56000,118.00,0
2007-01-22,11.00,11.00,9.50,9.50,23600,108.00,0
2007-01-23,9.50,10.47,9.24,9.24,44000,105.00,8000
2007-01-24,10.12,10.12,9.86,9.85,1400,112.00,0
2007-01-25,9.82,9.82,9.23,9.33,18300,106.00,0
2007-01-26,10.12,10.21,9.31,9.33,40400,106.00,0
2007-01-29,10.12,10.30,9.51,9.50,46500,108.00,0
2007-01-30,10.64,10.64,10.20,10.56,56600,120.00,0
2007-01-31,10.82,10.82,10.56,10.57,33600,120.20,0
2007-02-01,10.55,10.90,10.20,10.20,5500,116.00,0
2007-02-02,10.46,10.46,9.67,10.44,35100,118.70,0
2007-02-05,10.09,10.11,10.02,10.02,4900,113.90,0
2007-02-06,10.02,10.03,9.33,9.59,14900,109.00,0
2007-02-07,9.68,10.12,9.24,10.12,23100,115.00,0
2007-02-08,9.94,9.94,9.42,9.68,42300,110.00,0
2007-02-09,9.68,9.68,9.28,9.28,17800,105.50,0
2007-02-12,9.48,9.68,9.48,9.60,4600,109.10,0
2007-02-13,9.59,10.12,9.59,10.07,3900,114.50,0
2007-02-14,10.47,10.55,10.11,10.47,7600,119.00,0
2007-02-15,10.56,11.09,10.56,11.08,21300,126.00,0
2007-02-26,10.73,11.48,10.73,11.48,15400,130.50,0
2007-02-27,12.32,12.56,11.44,11.44,35100,130.00,0
2007-02-28,11.88,11.88,11.26,11.44,34100,130.00,0
2007-03-01,11.44,11.70,11.09,11.43,20700,129.90,0
2007-03-02,11.43,11.44,11.00,11.00,10200,125.00,0
2007-03-05,11.26,11.44,11.26,11.35,16800,129.00,0
2007-03-06,11.53,11.53,11.35,11.43,24600,129.90,0
2007-03-07,11.45,11.45,10.91,10.91,6600,124.00,0
2007-03-08,11.35,11.39,11.00,11.26,21300,128.00,0
2007-03-09,11.44,11.44,11.08,11.17,24100,127.00,0
2007-03-12,12.38,12.38,11.96,12.23,28100,139.00,0
