date,bull,bigBull,cancelSell,bear,bigBear,cancelBuy
2019-12-02,31191,10070,2200,145609,109304,3050
2019-12-03,70280,27010,13550,83360,38980,6080
2019-12-04,77599,19679,6890,103941,85000,17010
2019-12-05,7452,0,200,37798,0,1230
2019-12-06,14125,0,2070,255715,177000,39990
2019-12-09,10910,0,0,38770,8490,1600
2019-12-10,15597,0,6050,44123,18553,4540
2019-12-11,50304,20000,6830,57576,18230,1090
2019-12-12,132170,71000,5560,79950,55820,14780
2019-12-13,68424,25260,12000,199956,156980,22050
2019-12-16,34165,10000,13110,322925,290560,11310
2019-12-17,39630,8180,5590,321760,259620,26560
2019-12-18,58410,20300,11100,176980,143730,11520
2019-12-19,62052,24932,9500,26948,7000,0
2019-12-20,47910,12260,1890,19090,0,12510
2019-12-23,10210,0,40,75660,37530,3400
2019-12-24,1860,0,0,14690,0,2400
2019-12-25,7220,0,400,44450,20000,150
2019-12-26,7710,0,0,56160,25000,3500
2019-12-27,26125,6000,1000,39255,7000,0
2019-12-30,13606,0,2330,139474,102000,1430
2019-12-31,4846,0,0,13834,0,6700
2020-01-02,91363,17013,4400,23287,0,1010
2020-01-03,16620,0,170,124490,97420,5830
2020-01-06,42773,14280,2450,66787,20690,600
2020-01-07,23260,11000,12290,52910,36140,6500
2020-01-08,33758,5930,15600,167542,88652,1960
2020-01-09,43095,9000,1000,65085,44090,3190
2020-01-10,60690,15470,6460,35520,7800,1730
2020-01-13,45740,6000,4480,69630,36220,4750
2020-01-14,13345,0,1830,64315,48000,600
2020-01-15,83630,67760,40,132030,110000,2010
2020-01-16,38921,15376,0,79879,54624,0
2020-01-17,31516,7980,6000,63294,33000,6140
2020-01-20,52435,12930,0,17385,10000,540
2020-01-21,188088,85758,5330,117122,44230,24030
2020-01-22,39155,19440,200,106515,53620,23740
2020-01-30,17265,0,5000,69175,38580,0
2020-01-31,64581,18160,3070,143379,72470,3650
2020-02-03,113855,67740,21030,416245,321640,2510
2020-02-04,143499,68709,190,375171,235311,9610
2020-02-05,242347,77867,20200,372983,256609,15010
2020-02-06,502606,318696,17290,333424,275224,1400
2020-02-07,222139,82460,16750,153691,47300,20980
2020-02-10,57020,35030,24190,188540,119890,380
2020-02-11,259796,81870,21970,298044,163984,96040
2020-02-12,734314,410078,48780,415616,247324,27600
2020-02-13,146525,76675,3700,296905,242845,33830
2020-02-14,121688,25000,9510,312992,197062,47220
2020-02-17,240172,122729,2170,238068,102437,8580
2020-02-18,255990,78260,17450,370810,89300,17480
2020-02-19,89243,38538,8590,113747,64480,46750
2020-02-20,177115,43577,9510,255285,164133,8550
2020-02-21,290271,87580,7600,882879,730559,47330
2020-02-24,124492,40000,25870,383578,260638,3310
2020-02-25,391406,185586,5900,335034,231287,11370
2020-02-26,201875,96000,20320,635835,546510,56460
2020-02-27,160689,100099,2000,506191,456961,36150
2020-02-28,235104,153980,7430,510996,374556,25700
2020-03-02,254880,141940,11620,436400,349830,11430
2020-03-03,169704,40000,2120,109766,27000,4340
2020-03-04,230326,110790,24540,105944,20994,26400
2020-03-05,227255,147864,27700,331565,165689,210510
2020-03-06,91888,17560,9330,133812,62092,9800
2020-03-09,68120,32370,59210,485680,293750,32120
2020-03-10,111617,53221,17930,173663,47880,7020
2020-03-11,84010,28530,11290,327720,202580,22580
2020-03-12,111190,49790,89060,685490,461240,26040
2020-03-13,349055,221945,87150,897295,742795,48360
2020-03-17,121240,60100,14770,164020,84650,26300
2020-03-18,150770,86000,5050,330140,212670,43650
2020-03-19,341290,218560,53580,731540,600290,7890
2020-03-20,123490,50230,9500,177120,44250,15440
2020-03-23,40388,22430,47110,243252,171760,24320
2020-03-24,198740,78028,18110,120760,20000,12700
2020-03-25,90988,45000,31810,86592,10000,52010
2020-03-26,67015,19140,6470,188135,120000,10500
2020-03-27,76115,50380,2340,107885,59890,510
2020-03-30,46930,9880,25670,106400,38370,2950
2020-03-31,46722,10000,32200,318528,200277,7600
2020-04-01,86944,10000,14200,56176,30820,3000
2020-04-02,71560,71560,0,71560,71560,0
2020-04-03,158580,50000,29580,190990,85000,5560
2020-04-06,260742,155690,12240,125648,20000,8870
2020-04-07,108757,59000,11370,103233,47990,18800
2020-04-08,63460,24940,5000,130230,77460,6860
2020-04-09,552955,392650,1830,53765,18570,30680
2020-04-10,312496,101080,7910,393414,214310,46260
2020-04-13,483363,310863,22880,278227,163820,15780
2020-04-14,378296,212075,71630,318474,182465,25560
2020-04-15,499255,364135,43490,225815,100363,32360
2020-04-16,131157,60000,7200,114533,40838,17480
2020-04-17,365118,218720,36460,247192,137600,29470
2020-04-20,469306,290011,13550,432234,216459,109180
2020-04-21,362535,128560,48800,718225,528845,29130
2020-04-22,304948,159050,4550,260422,150362,31120
2020-04-23,76946,10000,3000,169054,130124,30990
2020-04-24,178240,96000,4000,104750,28940,11580
2020-04-27,219330,120750,18000,135610,69360,25240
2020-04-28,31620,0,16750,44860,7610,2000
2020-04-29,24360,0,10430,52320,0,2000
2020-05-04,89565,28175,7550,82835,38505,1100
2020-05-05,51993,30000,0,47367,20650,1800
