Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2007,0,889204089130,52077423913,-231538721036,0,0,0,-231538721036,-109111098797,53226160794,11512788242,0,0,11512788242,665370642246,-326072693374,-38651387168,46917247881,46917247881,0,0,-317806832661,0,11985511002,-722214906,-118342043586,0,0,0,0,0,0,0,0,0,-118342043586,-424885580151,240485062095,0,0,0,0,0,0,-114870945527,-139670074250,-139670074250,0,0,-14055957682,0,0,68379925845,-10577696137,57802229708,46142070156,-44875839192,1266230964,0,45012502990,0,-14783141404,30229361586,0,30229361586,2651
2008,0,1069750856581,62249714859,-281395683752,-281395683752,0,0,0,-53831818299,59702055718,5173480100,0,0,5173480100,861648605207,-396429212609,-41561807419,61421446255,55554264647,5453819732,413361876,-376569573773,0,-14336519664,-25649710276,-159915515998,-146915882055,-100395328599,-1941347410,-40840030,-29507112283,-61260359,-14969993374,0,0,-12999633943,-576471319711,285177285496,0,0,0,0,0,0,-110334649365,-173486819005,-173486819005,0,0,1355817126,0,0,82042581569,-29097857856,52944723713,54030816723,-53331107263,699709460,0,55000250299,0,-12410590724,42589659575,0,42589659575,1335
2009,0,1297830078244,91359156472,-348132285912,-348132285912,0,0,0,-106207947625,83045282502,15162847223,0,0,15162847223,1033057130904,-517536734158,-27777823751,78051700304,70306282592,5760898515,1984519197,-467262857605,0,-1020599000,-31715468714,-177522498343,0,0,0,0,0,0,0,0,0,-177522498343,-677521423662,355535707242,0,0,0,0,0,0,-145341446536,-208326626646,-208326626646,0,0,1867634060,0,0,58944759365,-3861978012,55082781353,84422711647,-83754094005,668617642,0,57619033055,0,-12527545414,45091487641,0,45091487641,1346
2010,0,1592062157006,82045049899,-485173227906,-473179625005,0,-11993602901,0,-72188337214,131083925609,10749923803,22691558,9962449433,764782812,1258579491197,-667651246474,-31604679672,138230464140,134777341656,1229637987,2223484497,-561025462006,85706135451,-78134944913,-36081250023,-190210065485,-171871252852,-134129706764,-1154551985,-19992645,-18206444607,-121395682,-18239161169,-18338812633,0,0,-779745586976,478833904221,0,0,0,0,0,0,-212979227720,-259574182943,-259574182943,0,0,6280493558,0,0,91704135320,-16264571386,75439563934,70377000149,-69755540100,621460049,0,82341517541,0,-19163728284,63177789257,0,63177789257,1561
2011,0,1887780848780,95005039440,-518451666081,-504009424795,0,-14442241286,0,-128184068661,141379712686,11736269947,33697420,9677172363,2025400164,1489266136111,-805513721058,-35923729072,214977879998,208072940347,1806164658,5098774993,-626459570132,0,-16014496250,-44331063540,-212978044759,-191993295744,-160083808296,-1196860001,0,-8844519794,-21100384135,-767723518,0,-20984749015,0,-899783174681,589482961430,0,0,0,0,0,0,-268460326008,-308128388191,-308128388191,0,0,12894247231,0,0,176625027665,-55187516732,121437510933,66716392470,-66023128635,693263835,0,135025021999,0,-31483745402,103541276597,0,103541276597,1491
2012,0,1971466692333,111178510134,-492777947947,-483238974901,-774706540,-5156898712,-3607367794,-58646871367,121788072525,12399635466,1218673181,8751463919,2429498366,1665408091144,-928935776044,-61281600306,222315789349,215818971633,2631060248,3865757468,-767901587001,65491401186,-50416526358,-48066782587,-241154473047,-215279121757,-179503684424,-3803366698,-13600000,-10005491558,-20772659520,-1180319557,-25875351290,0,0,-1042047967807,623360123337,0,0,0,0,0,0,-287996493527,-329896168137,-329896168137,0,0,5467461673,0,0,154706960243,-30687281953,124019678290,27993417996,-27302305660,691112336,0,130178252299,0,-30969185195,99209067104,0,99209067104,0
2013,0,1984459459591,225874662752,-551357492366,-530714442945,-4667026735,-7151063690,-8824958996,-38309673937,119437074704,12161858378,0,10791030765,1370827613,1752265889122,-894737595829,-158760216625,289233039442,269184817994,13882044497,6166176951,-764264773012,15000000000,-155037567302,-16785926197,-337418142769,-220382947262,-174543845913,-3188606665,0,-18431688403,-22515310464,-1703495817,-95194923142,-21840272365,0,-1258506409280,493759479842,0,0,0,0,0,0,-216497408686,-323789558492,-323789558492,0,0,-46527487336,0,0,137065416508,-15228693411,121836723097,31206397080,-21105034369,10101362711,0,85410598472,0,-19526635781,65883962691,0,65883962691,949
2014,0,2123579809501,155223614360,-565003792464,-602375918651,37372126187,0,0,0,75463678311,13754167,0,0,13754167,1745391442021,-915262202084,0,10640582824,0,10640582824,0,-776190931503,0,-66610402260,-50292825157,-582821223208,-103174184878,-103174184878,0,0,0,0,0,0,0,-479647038330,-1475915382128,269476059893,0,0,0,0,0,0,0,-255819876378,-255819876378,0,0,13656183515,0,0,129387665391,-36402236797,92985428594,62244393925,-58741139634,3503254291,0,110144866400,0,-21945652349,88199214051,0,88199214051,1040
2015,0,2230545060131,163798749254,-562920010122,-536242682558,-26677327564,0,0,0,125186790039,62021454,0,0,62021454,1896564438596,-1028144052682,0,2721333029,0,2721333029,0,-836508704077,-55743040855,-53240397529,0,-640338406528,-640338406528,-191211366774,0,0,0,0,-449127039754,0,0,0,-1585830548989,310733889607,0,0,0,8876522151,-5741188738,3135333413,0,-291010725732,-291010725732,0,0,19723163875,0,3135333413,126750924880,-31611893095,95139031785,103985336103,-102167319913,1818016190,0,119815545263,0,-22924114055,96891431208,0,96891431208,1188
2016,0,2484460174461,161146967190,-583631051966,-635935342202,52304290236,0,0,0,133384839168,22509852,0,0,22509852,2066758581415,-1125692740981,0,1884817686,0,1884817686,0,-965604760007,0,-31518859020,-40183902298,-693742647489,-693742647489,-175551475217,0,0,0,0,-518191172272,0,0,0,-1731050168814,335708412601,0,0,0,10068517581,-8675438058,1393079523,0,-316538927461,-316538927461,0,0,19169485140,0,1393079523,144038222137,-39032571970,105005650167,39251254550,-39424523737,-173269187,0,125394945643,0,-23423922783,101971022860,0,101971022860,1446
