date,open,high,low,close,volume,unadjusted,putthrough
2019-07-04,11.16,11.16,10.88,11.16,68300,11.90,0
2019-07-05,11.07,11.72,11.07,11.35,70700,12.10,0
2019-07-08,11.44,11.73,11.16,11.72,91300,12.50,0
2019-07-09,11.34,11.34,11.06,11.35,60900,12.10,0
2019-07-10,11.35,11.35,10.69,10.79,42300,11.50,0
2019-07-11,10.41,10.41,9.76,10.22,61500,10.90,0
2019-07-12,9.66,10.31,9.66,10.32,33000,11.00,0
2019-07-15,10.32,10.32,9.94,10.04,19000,10.70,0
2019-07-16,9.95,10.04,9.20,9.19,23100,9.80,0
2019-07-17,9.38,9.38,9.19,9.38,19300,10.00,0
2019-07-18,9.38,9.47,9.29,9.47,13000,10.10,0
2019-07-19,9.38,9.56,9.00,9.57,17100,10.20,0
2019-07-22,9.38,9.38,8.73,9.19,12800,9.80,0
2019-07-23,9.19,9.28,8.81,8.82,17800,9.40,0
2019-07-24,8.82,8.91,8.54,8.54,22000,9.10,0
2019-07-25,9.29,9.29,8.45,8.72,15030,9.30,0
2019-07-26,9.00,9.00,8.72,8.72,19270,9.30,0
2019-07-29,8.53,8.81,8.53,8.63,15600,9.20,0
2019-07-30,8.35,8.82,8.35,8.72,14400,9.30,0
2019-07-31,8.63,9.00,8.63,8.91,14400,9.50,0
2019-08-01,8.82,9.19,8.82,9.00,13900,9.60,0
2019-08-02,8.91,9.00,8.81,9.00,13700,9.60,0
2019-08-05,8.91,9.00,8.81,9.00,15100,9.60,0
2019-08-06,8.91,9.00,8.62,8.72,14300,9.30,0
2019-08-07,8.81,8.91,8.72,8.82,12500,9.40,0
2019-08-08,9.66,9.66,8.73,8.82,14500,9.40,0
2019-08-09,8.82,8.91,8.73,8.91,9700,9.50,0
2019-08-12,9.19,9.19,8.91,9.10,19100,9.70,0
2019-08-13,9.19,9.85,9.10,9.85,15600,10.50,0
2019-08-14,9.29,9.76,9.29,9.76,17900,10.40,0
2019-08-15,9.38,9.57,9.38,9.57,15500,10.20,0
2019-08-16,9.38,9.66,9.19,9.66,15900,10.30,0
2019-08-19,9.38,10.22,9.38,10.13,16400,10.80,0
2019-08-20,9.94,10.41,9.66,9.66,15100,10.30,0
2019-08-21,9.47,9.66,9.19,9.19,17200,9.80,0
2019-08-22,9.10,9.10,8.63,8.63,13900,9.20,0
2019-08-23,8.44,8.44,8.16,8.35,16600,8.90,0
2019-08-26,8.35,8.44,8.35,8.44,16200,9.00,0
2019-08-27,8.44,8.63,8.44,8.63,15500,9.20,0
2019-08-28,8.44,8.63,8.16,8.44,30100,9.00,0
2019-08-29,8.35,8.35,8.16,8.35,29200,8.90,0
2019-08-30,8.35,8.44,8.35,8.44,25100,9.00,0
2019-09-03,8.44,8.53,8.35,8.44,20100,9.00,0
2019-09-04,8.44,9.28,8.35,9.29,10700,9.90,0
2019-09-05,9.38,9.38,9.01,9.00,20400,9.60,0
2019-09-06,9.00,9.38,8.81,9.10,30600,9.70,0
2019-09-09,8.82,9.10,8.26,9.00,38100,9.60,0
2019-09-10,8.91,9.38,8.72,8.82,42900,9.40,0
2019-09-11,8.82,9.29,8.63,9.00,42500,9.60,0
2019-09-12,8.91,9.28,8.62,9.00,36500,9.60,0
2019-09-18,9.84,9.84,9.75,9.76,400,10.40,0
2019-09-19,10.42,10.42,9.67,10.32,400,11.00,0
2019-09-20,11.07,11.07,9.29,9.29,7300,9.90,0
2019-09-23,9.85,9.85,9.01,9.85,2400,10.50,0
2019-09-24,10.79,10.79,9.01,9.85,3300,10.50,0
2019-09-25,9.94,10.13,9.85,10.13,2500,10.80,0
2019-09-26,9.85,9.85,9.19,9.66,2200,10.30,0
2019-09-27,9.85,9.85,9.19,9.85,4300,10.50,0
