disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2010-04-06,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2010-04-12,2019-05-17,,Giá tham chiếu 32.000đ/cp,,,,
2010-05-06,investorRight,DIVIDEND,Cổ tức bằng tiền,2010-05-12,2010-05-31,2010-05-31,Trả cổ tức đợt 2/2009 (700 đ/cp),700,7,2,2009
2010-05-06,investorRight,POLL,Lấy ý kiến cổ đông,2010-05-12,2010-05-31,2010-05-31,Lấy ý kiến cổ đông về việc phát hành thêm cổ phiếu tăng vốn điều lệ,,,,
2010-09-29,investorRight,ISSUE,Phát hành thêm,2010-09-27,2010-11-08,,Bán ưu đãi tỷ lệ 15:1 với giá 18.000 đ/cp,,6.67,,
2010-10-20,investorRight,DIVIDEND,Cổ tức bằng tiền,2010-10-27,2010-11-30,2010-11-30,Trả cổ tức đợt 1/2010 (800 đ/cp),800,8,1,2010
2011-01-26,investorRight,ISSUE,Phát hành thêm,2011-02-16,2011-03-28,,"Bán ưu đãi tỷ lệ 100:23,12 với giá 17.000 đ/cp",,23.12,,
2011-03-24,investorRight,MEETING,Họp cổ đông,2011-04-04,2011-05-30,2011-05-30,ĐHCĐ thường niên năm 2011,,,,
2012-04-26,investorRight,MEETING,Họp cổ đông,2012-05-09,2012-05-28,2012-05-28,ĐHCĐ thường niên 2012,,,,
2012-10-09,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2012-10-19,2012-10-23,,"Trả cổ tức năm 2011, Tỷ lệ 100:15",,15,,2011
2012-11-13,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2012-11-21,,,Số lượng 1.832.320 cp,,,,
2013-04-24,investorRight,MEETING,Họp cổ đông,2013-05-16,2013-06-30,2013-06-30,Đại hội cổ đông thường niên 2013,,,,
2014-03-07,investorRight,MEETING,Họp cổ đông,2014-03-19,2014-04-21,2014-04-21,Đại hội cổ đông thường niên năm 2014,,,,
2014-06-04,investorRight,POLL,Lấy ý kiến cổ đông,2014-06-13,,,Lấy ý kiến cổ đông bằng văn bản năm 2014,,,,
2014-11-17,investorRight,MEETING,Họp cổ đông,2014-11-26,,,Đại hội cổ đông bất thường lần 2 năm 2014,,,,
2015-06-11,investorRight,MEETING,Họp cổ đông,2015-06-19,2015-07-18,2015-07-18,ĐHĐCĐ thường niên năm 2015,,,,
2015-06-15,schedEvent,schedIssue,Dự kiến phát hành,,,,Phát hành cổ phiếu chào bán cho cổ đông hiện hữu số lượng : 20039242 cổ phiếu tỷ lệ phân quyền 10:8,,80,,
2015-06-25,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2015-07-08,2015-07-10,,Tỷ lệ 100:10,,10,,2014
2015-06-25,investorRight,KINDDIV,Cổ phiếu thưởng,2015-07-08,2015-07-10,,Tỷ lệ 10:1,,10,,
2015-06-25,investorRight,ISSUE,Phát hành thêm,2015-07-08,2015-08-14,,"Tỷ lệ 10:8, giá 10.000 đ/cp",,80,,
2015-08-05,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2015-08-14,,,Số lượng 5.009.416 cp,,,,
2015-08-29,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2015-07-30,,,Số lượng 11.000.000 cp,,,,
2015-09-11,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2015-09-22,,,Số lượng 18.232.160 cp,,,,
