Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2006,0,1068550136,2273593893,0,0,0,0,3119704012,0,6461848041,39015592510,-40129571686,18369903337,98532941,-2737301347,0,1459932476,-57686000,22481250272,-2253878525,0,0,0,0,0,0,-2253878525,584840725,-901934899,11274998000,-36502963460,-682312383,-614112581,0,-26841484598,-6614112851,9128812650,0,2514699799
2007,0,17219590989,2893403694,658000000,0,0,0,5014776781,0,25785771464,-56151822883,7530829745,57964767762,5984274611,-4458094283,-106576963,4738755182,-41599943,41246304692,-50088406331,4396653671,-3986364950,0,0,0,0,-49678117610,68633803557,0,88937162862,-105778887309,-775884131,-1321274000,0,49694920979,41263108061,2415699799,0,43678807860
2008,0,26189153067,1133620044,2479613170,0,0,-6676629411,421695000,0,23547451870,-127145102654,46356342912,-35576366687,-400944350,-397695000,-7954038129,410669143,-386631242,-101546314137,-5477077109,6543192728,-5000000000,0,-2600000000,0,6676629411,142745030,95565349592,0,32027189980,-27110525856,0,-17179762400,0,83302251316,-18101317791,43687807860,0,25586490069
2009,0,38182096947,1997663733,-2027511300,0,0,-1852182600,7223015165,0,43523081945,-47676826704,-20809309634,-91610438395,-4805839334,-7223015165,-4555403822,1223264992,-468867829,-132403353946,-29731613146,3952227098,0,5000000000,-1167085905,904873000,1119449060,-19922149893,20649834792,0,154395069580,-39107815939,0,-1321988800,0,134615099633,-17710404206,25586490069,0,7876085863
2010,0,52559929018,4090093307,66873100,82471340,0,632965250,10458243448,0,67890575463,-76052031520,-74004111350,-18908930403,-1933385542,-8934256782,-3752753650,0,-1068628594,-116763522378,-12066244185,0,0,665000000,-1350000000,0,1029818332,-11721425853,47279218000,0,278167674586,-184944569088,0,-14141589500,0,126360733998,-2124214233,7876085863,0,5751871630
2011,0,9142609788,4313967420,82559063,252280050,0,-8889740,7068761070,0,20851287651,26911055918,-87903230493,-13949086621,6401586968,-36989499033,-16109987926,0,-1403378980,-102191252516,-2290328140,465581000,0,0,-726692095,0,2597373917,45934682,413385303,0,287454666667,-183890021257,0,0,0,103978030713,1832712879,5751871630,0,7584584509
2013,0,135814035,2279000847,500000000,0,0,4430576500,7840531257,0,15185922639,17937041788,-30999998319,6030762660,-347198332,-35943030728,-4900917739,0,-198015969,-33235434000,-177645806,12504318460,-1693403482,0,0,0,44874670,10678143842,0,0,140796641750,-110267540616,0,0,0,30529101134,7971810976,2441820137,0,10413631113
2014,0,23130418861,1489882034,4214558052,0,0,940842428,7145556764,0,36921258139,-205544446619,88511020878,35796227983,-1597310474,-22059517850,-5090693863,0,0,-73063461806,-3927792755,477272727,0,0,0,0,87552034,-3362967994,101733500000,0,100024980339,-131961190647,0,0,0,69797289692,-6629140108,10413631113,0,3784491005
2015,0,36149923843,3620736079,0,0,0,16213625,7810918316,0,50043951191,-329055056459,-35060200718,82425888927,-204449838,-7810918316,-591656888,0,-831431200,-241083873301,-16824370800,0,0,0,-1029695000,0,81987342,-17772078458,182321600000,0,308797600524,-208190721877,0,0,0,282928478647,24072526888,3784491005,0,27857017893
2016,0,-37206488242,5267738948,20871696236,0,0,4993230375,8908744302,0,2834921619,96902017703,110590416051,-116757332943,-288709956,-8908744302,-822884199,0,-1123035986,82426647987,-2535000000,11059090908,0,0,-2250000000,0,66064508,6340155416,0,0,304001457894,-418290923327,0,0,0,-114289465433,-25522662030,27857017893,0,2334355863
2017,0,-84771423850,2944864791,56993128688,0,0,-280218620,4371430600,0,-20742218391,146060686386,-30292981021,15440300533,54276945,-4371430600,-407196462,0,-34319000,105707118390,-350000000,493636363,0,0,-1000000000,4269500000,9527258,3422663621,0,0,224770728000,-334624449607,0,0,0,-109853721607,-723939596,2334355863,0,1610416267
2018,0,-152935405099,2392115411,123996857417,0,0,47477242,2848409982,0,-23650545047,40399902460,16958775034,-8608218787,3105112834,-2848409982,-389075809,0,-113766000,24853774703,-220000000,3330000000,0,0,0,0,2471938,3112471938,0,0,115373491026,-144142513119,0,0,0,-28769022093,-802775452,1610416267,0,807640815
2019,0,-166067072398,1691029336,71435657802,0,0,21484336670,1824701180,0,-69631347410,68758689251,34305468570,10513200934,0,-1824701180,-2482974165,0,-213086000,39425250000,0,4020000001,0,0,0,900000000,663329,4920663330,0,0,30537778082,-74908531375,0,0,0,-44370753293,-24839963,705815960,0,680975997
