Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2006,0,50213131065,0,50213131065,-42636931153,7576199912,132922644,-3119704012,-3119704012,0,-4029708092,559710452,714714320,-205874636,508839684,0,1068550136,0,0,0,1068550136,0,1068550136,785,0
2007,0,165641520529,0,165641520529,-139928137942,25713382587,1112292797,-5582776781,-5014776781,-160656164,-5453366871,15628875568,6852821904,-5262106483,1590715421,0,17219590989,-4573680822,0,-4573680822,12645910167,0,12645910167,4550,0
2008,0,270754201984,0,270754201984,-245408089078,25346112906,5659097676,-2908932159,-421695000,-816483711,-4255664372,23024130340,8888165230,-6744434197,2143731033,1021291694,26189153067,-6374321415,0,-6374321415,19814831652,0,19814831652,2387,0
2009,0,277031112960,0,277031112960,-229312351634,47718761326,4228016838,-7976754745,-7223015165,-1174903176,-6730394344,36064725899,5175492090,-4071416675,1104075415,1013295633,38182096947,-6032837448,0,-6032837448,32149259499,0,32149259499,3219,0
2010,0,434971189390,0,434971189390,-370323971785,64647217605,9885521993,-12251577951,-10458243448,-2725090680,-7625576218,51930494749,5582224216,-5181366719,400857497,228576772,52559929018,-13077204798,0,-13077204798,39482724220,7521786,39475202434,3846,0
2011,0,155679918238,0,155679918238,-127670715036,28009203202,3202798848,-10978024326,-7068761070,-2793356628,-7871749983,9568871113,129256983,-590038318,-460781335,34520010,9142609788,-2325491631,0,-2325491631,6817118157,4927953,6812190204,558,0
2012,0,191574017582,0,191574017582,-169362991331,22211026251,700570892,-9148348389,-8395144703,-3750059889,-8171771314,1841417551,3431642589,-3790415545,-358772956,0,1482644595,-566398870,0,-566398870,916245725,0,916245725,73,0
2013,0,103606860986,0,103606860986,-83050109517,20556751469,124454486,-8662101572,-7840531257,-764231390,-6737867638,4517005355,12697341424,-13779660916,-1082319492,-3298871828,135814035,-29177696,0,-29177696,106636339,0,106636339,8,0
2014,0,352734820231,0,352734820231,-309149429915,43585390316,127044343,-7145556764,-7145556764,-402753455,-11973286824,24151345307,0,-1020926446,-1020926446,0,23130418861,-213218952,0,-213218952,22917199909,0,22917199909,1220,0
2015,0,439297779140,0,439297779140,-380404453937,58893325203,81987342,-7810918316,-7810918316,-63150000,-13798557204,37204486058,219223950,-1273786165,-1054562215,0,36149923843,-7285270530,-40884346,-7326154876,28823768967,0,28823768967,854,0
2016,0,249388202035,0,249388202035,-242385047263,7003154772,66064508,-8947428452,-8908744302,-19980000,-31080704806,-32978893978,2530839281,-6758433545,-4227594264,0,-37206488242,0,-68683568,-68683568,-37275171810,0,-37275171810,-772,0
2017,0,39224701097,0,39224701097,-50745692849,-11520991752,9527258,-4381625600,-4371430600,0,-64931561229,-80824651323,286771068,-4233543595,-3946772527,0,-84771423850,0,109567914,109567914,-84661855936,0,-84661855936,-1753,-1753
2018,0,48318056368,0,48318056368,-68662076352,-20344019984,2471938,-3148409982,-2848409982,-99000000,-129711366275,-153300324303,1077845040,-712925836,364919204,0,-152935405099,0,0,0,-152935405099,0,-152935405099,-3167,-3167
2019,0,7022440059,0,7022440059,-26578640636,-19556200577,900663329,-5990216858,-1824701180,-185000000,-141226263126,-166057017232,4020000001,-4030055167,-10055166,0,-166067072398,0,0,0,-166067072398,0,-166067072398,0,0
