Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2009,1,281042446,2613578130,0,0,0,-879744099,2008182355,0,4023058832,30906575057,10727020898,-38162230106,-2617253671,-2008182355,0,0,-347669424,2521319231,-1577746753,0,0,0,0,0,152734418,-1425012335,0,0,21937534048,-20362226398,0,0,0,1575307650,2671614546,11432155920,0,14103770466
2010,1,-1342212228,2101697249,-7198611,0,0,-855004694,710941517,0,608223233,38231396042,53173812,-18554768253,-6312162715,-710941517,0,271721132,-2205033653,11381608081,-1390714317,0,0,0,0,0,865079806,-525634511,0,0,5904338714,-20633547596,0,0,0,-14729208882,-3873235312,13336143640,0,9462908328
2010,2,-5685946154,4209278556,-1453878368,0,0,-2056443677,2263079932,0,-2723909711,36495688732,-3556450733,-13387697529,-2150143464,-2344709974,0,0,-293790825,12038986496,-1071728213,145454546,0,0,0,0,1619933175,693659508,0,0,17569817072,-35972005000,-712000,0,0,-18402899928,-5670253924,13336143640,4653072,7670542788
2010,3,-5898682826,6482310590,-3254859471,0,0,-2056443677,3267924732,0,-1459750652,53138546375,-4418609559,-10475798715,-3184104152,-2360079056,0,0,-276427002,30963777239,-1071626838,145454546,0,0,0,0,1336500000,410327708,0,0,320000000,-38087452213,0,0,0,-37767452213,-6393347266,13336143640,0,6942796374
2011,1,-3971101298,2267561270,0,0,0,-175897773,1339291155,0,-540146646,30963843886,-14745957932,-18253729066,-3680719576,-1339291155,0,276165927,-480590855,-7800425417,-691926426,982898798,0,0,0,0,0,290972372,0,0,18522929055,-13726430124,0,0,0,4796498931,-2712954114,36011532985,0,33298578871
2011,2,-3380049974,2168631423,-1987610776,0,0,-2075011222,2245278147,0,-3028762402,1948297137,-6284105735,4310745754,-1620846693,-2189632065,0,309799347,-453129971,-7007634628,-3975213104,229373929,0,0,0,0,1578936861,-2166902314,0,0,11264236336,-21027624061,0,0,0,-9763387725,-18937924667,33298578871,813588,14361467792
2011,3,8568237080,2177742391,291594308,0,0,-4876194971,1739536878,0,7900915686,-22109139369,5203740678,24925432600,4219302451,-1795182960,-15826322989,67543520,5695153,2591984770,-3098809001,0,0,0,-4367500000,0,-1578936861,-9045245862,0,0,10350467,-1984592082,0,0,0,-1974241615,-8427502707,14361467792,0,5933965085
2011,4,5939176822,579260788,-2569780364,0,0,1203767069,3584611911,0,8737036226,-6212076091,4990654078,-2615115667,3167105519,-3584611911,15826322989,82970540,-141421236,20250864447,-21818433367,999090908,0,0,-300000000,0,0,-21119342459,0,0,20944262147,-18047594397,0,0,0,2896667750,2028189738,5933965085,-813588,7961341235
2012,1,-3667156097,813400986,0,0,0,0,1130620965,0,-1723134146,44476726091,-14786905902,-26854346291,-5518515122,-1130620965,0,396840650,-72019200,-5211974885,-344498913,0,0,0,0,0,0,-344498913,0,0,20788299349,-18019946188,0,0,0,2768353161,-2788120637,7961236337,0,5173115700
2012,2,-25506656437,850061067,19624402800,0,0,-3214125694,2105293109,0,-6141025155,-70780867,2406876370,15522021609,6807873408,-4287187550,-59787600,-381834198,-3229587348,10566568669,332498913,997727273,0,0,0,0,256713389,1586939575,0,0,-4589799576,-6183822264,-545013007,0,0,-11318634847,834873397,5173115700,1974320,6009963417
2012,3,-403490621,1126651291,-3592413607,0,0,3214125694,2224511663,0,2569384420,-5202062667,10524526999,-9642957360,756232167,-42617222,59787600,799911311,3162652808,2984858056,-724040890,1238199,0,0,0,0,-256713389,-979516080,0,0,20659624118,-19916933881,545013007,0,0,1287703244,3293045220,6009963417,-1974320,9301034317
2012,4,-29447532566,10077359900,-38381095960,0,0,-3072033475,745214784,0,-60078087317,31132652197,11547997924,13697721568,146338590,-745214784,0,21707387,-5684855,-4282569290,-316918068,661993000,0,0,0,0,0,345074932,0,0,14987687023,-12379665174,0,0,0,2608021849,-1329472509,9301034317,0,7971561808
2013,1,-3103774977,1979109157,-416773915,0,0,-504158509,772180129,0,-1273418115,26952041009,-3279045798,-4289202818,21599388,-772180129,0,54875000,0,17414668537,0,0,0,0,0,0,0,0,0,0,7214800868,-20251992324,0,0,0,-13037191456,4377477081,7971788823,0,12349265904
2013,2,-3332298071,2030446203,-698497520,0,0,680111412,615446464,0,-704791512,13610193735,2019418552,-10298324711,-189292267,-1121867333,-165000000,-54875000,0,3095461464,0,5885128545,0,0,0,0,361008359,6246136904,0,0,7013248457,-19686900288,0,0,0,-12673651831,-3332053463,12349265904,0,9017212441
2013,3,-1828978459,1842337507,-73206050,0,0,-1514469589,584095364,0,-990221227,4628233691,-6459581971,1049166707,58775438,-77674495,165000000,0,0,-1626301857,0,604545455,0,0,0,0,-361008359,243537096,0,0,7728310326,-3175256636,0,0,0,4553053690,3170288929,9017212441,0,12187501370
2013,4,9579258036,422173600,-980706686,0,0,58302452,431171142,0,9510198544,-36369063865,11007411965,12653559344,126148441,-431171142,0,0,0,-3502916713,0,9910221509,0,0,0,0,0,9910221509,0,0,662167590,-6541884980,0,0,0,-5879717390,527587406,12187501370,0,12715088776
2014,1,-6925955685,1513993357,0,0,0,-206302521,124070250,0,-5494194599,32685661467,-9029586360,-17747662201,71286535,-124070250,0,0,0,361434592,0,0,0,0,0,0,24393625,24393625,0,0,478312751,-4476108649,0,0,0,-3997795898,-3611967681,12715088776,0,9103121095
2014,2,-6000634829,1518634065,2171602939,0,0,-31547830,923142278,0,-1418803377,-3363626855,3982971730,493838764,102029170,-717194880,0,0,0,-920785448,0,0,0,0,0,0,213456726,213456726,0,0,2150460800,-481600000,0,0,0,1668860800,961532078,9103121095,0,10064653173
2014,3,-5184204971,1054074805,0,0,0,-763896462,131385623,0,-4762641005,14164770187,-2495959124,-11102459162,15749957,-337333021,0,0,0,-4517872168,0,0,0,0,0,0,312844362,312844362,0,0,7876607020,-1235593338,0,0,0,6641013682,2435985876,10064653173,0,12500639049
2014,4,21828040700,781332913,837956183,0,0,953746813,0,0,24401076609,-54659921901,6251971303,20281248323,35071333,0,0,0,0,-3690554333,0,38250000000,0,0,0,0,232012132,38482012132,0,0,2437564070,-1967949102,0,0,0,469614968,35261072767,12500639049,0,47761711816
2015,1,-3820667383,291441094,0,0,0,152038326,291209014,0,-3085978949,6964618280,-8726901553,9053612842,2893024,-291209014,-571830138,0,0,3345204492,0,0,0,0,-36497876795,0,346955365,-36150921430,0,0,0,-9660698470,0,0,0,-9660698470,-42466415408,47761711816,0,5295296408
2015,2,-2333228649,309163481,1113597583,0,0,-1227981574,60796255,0,-2077652904,32384553321,8641705521,-44806920486,-66533257,-60796255,0,0,0,-16041120060,0,0,0,0,30554879212,840000000,1011107163,32405986375,0,0,466307906,-905856363,0,0,0,-439548457,15925317858,5295296408,0,21220614266
2015,3,4345809128,1122112044,-548705075,0,0,-2935853134,473694253,0,2457057216,-22687453245,-10058090854,22713014122,-462409373,-473694253,0,0,0,1543899613,1505842965,785098110,0,0,-12269269025,0,856753578,-9121574372,0,0,19583000000,-19723647939,0,0,0,-140647939,-7718322698,21220614266,0,13502291568
2015,4,10772994252,1691593396,4974484843,0,0,0,1587617130,0,19026689621,-181079204371,-47253669790,161830359509,-5931039017,-1587617130,0,0,0,-54994481178,-1505842965,40000000000,0,0,-96259787512,12939216000,7539169308,-37287245169,0,0,177023916508,-53812660059,0,0,0,123211256449,30929530102,13502291568,-365891,44431455779
2016,1,48932753257,339599086,0,0,0,-8739618219,3689323006,0,44222057130,48047324848,34768193705,-118336533132,-155492277,-2578745374,0,10864716902,0,16831521802,0,27204166667,0,0,-158147603050,74180000000,485258708,-56278177675,0,0,177064114050,-135763525333,0,0,0,41300588717,1853932844,20978770350,0,22832703194
