Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2010,1,35291344055,2369806305,329166685,0,0,-412631199,2308664639,0,39886350485,-141138812945,48209432080,-71057941990,-8250940950,-2308664639,-983091789,3280336319,-1742000888,-134105334317,-3351091157,0,100000000,0,-8567960000,0,6523600840,-5295450317,8000000000,0,120088887766,-164789496471,0,-54197200,0,-36754805905,-176155590539,288133721245,0,111978130706
2011,1,35291344055,2369806305,329166685,0,0,-412631199,2308664639,0,39886350485,-141138812945,48209432080,-71057941990,-8250940950,-2308664639,-983091789,3280336319,-1742000888,-134105334317,-3351091157,0,100000000,0,-8567960000,0,6523600840,-5295450317,8000000000,0,120088887766,-164789496471,0,-54197200,0,-36754805905,-176155590539,288133721245,0,111978130706
2011,2,54085107540,2852278618,3590853639,1060543381,0,-69568079245,1734107639,0,-6245188428,67119979535,-151095621768,22785928193,-3038839688,-3626438562,-748388369,-2728858203,-3934647533,-81512074823,-17837096412,3514545,-100000000,0,8000000000,30844800000,90176034347,111087252480,-8000000000,0,115526756529,-32654493595,0,-40964269883,0,33907993051,63483170708,111978130706,3833762,175465135176
2011,3,38818656505,1061425722,-3477874387,0,0,0,4664921585,0,41067129425,44547063204,-167839576883,46528686464,-39062342133,-2772590662,0,186543252808,-13480522967,95531099256,-16711472121,0,0,0,0,0,0,-16711472121,0,0,0,0,0,0,0,0,78819627135,175465135176,-3833762,254280928549
2011,4,61166834112,2479421699,7666067108,3833762,0,-78476412393,8559948469,0,1399692757,44890556283,109013136839,32492150567,23367185614,-8559948469,-19772198702,-187179017754,70151228238,65802785373,-123293519833,509082363,0,0,-25333692350,0,-382449620,-148500579440,0,0,-3598000000,1270000000,0,0,0,-2328000000,-85025794067,254280928549,109098387,169364232869
2012,1,50651110324,4407040638,24422869579,0,0,0,7690373821,0,87171394362,-199853872056,268138785567,-232638277990,-9984000071,7690373821,0,916574667,-323098036,-78882119736,-3125438430,0,0,0,0,0,323526772,-2801911658,0,0,178219219882,-170227697125,0,0,0,7991522757,-73692508637,174077405381,0,100384896744
2012,2,111451229217,4602304368,-45203086759,354447021,0,-3467399103,7305641493,0,75043136237,16859970549,-193243703221,305434215259,727695524,-22060609245,-16987017943,-7830916222,-110739072,157832031866,-58333883888,0,-2082800000,0,0,0,1745612947,-58671070941,0,0,152046726980,-171909887632,0,-62610046400,0,-82473207052,16687753873,100384896744,0,117072650617
2012,3,100668505715,1887332190,-1554479159,276910519,0,125608371,3125977642,0,104529855278,-204945080823,215805051634,100082485920,9256304547,-3751757532,-45833470566,-3024154494,-8703579642,163415654322,-5651372373,0,2082800000,0,0,0,271664535,-3296907838,0,0,60594276994,-121762113514,0,0,0,-61167836520,98950909964,117072650617,0,216023560581
2012,4,61483630622,6791169042,-2147716658,51152191,0,12049790732,13785880002,0,92013905931,50442213453,21153424518,-207878788923,-1422385992,-13785880002,-20138730574,10111993347,9137416750,-60366831492,6491153735,14698606299,0,0,-1565250000,0,-2340804254,17283705780,151117500000,0,221202015600,-105471916005,0,-88637439102,0,178210160493,135127034781,216023560581,725431612,351876026974
2013,1,42076803070,5129357255,1715507487,0,0,0,5380214421,0,54301882233,-55479848675,71351620581,-102475161863,-9379264583,-5380214421,-40980850205,0,0,-88041836933,-940604456,0,0,0,-1493700000,0,2249008942,-185295514,0,0,102012865153,-224560123915,0,0,0,-122547258762,-210774391209,349794504974,0,139020113765
2013,2,32660734682,6115426460,1223651869,-1845613715,0,-4503836110,4462602390,0,38112965576,104780914023,-76268185942,29220292165,21116230382,-4207138981,-3172392874,-30163062207,0,79419622142,-10620819419,105955022,0,2081500000,-71175000,0,2213304989,-6291234408,0,0,267371585458,-154834525435,0,0,0,112537060023,185665447757,139020113765,0,324685561522
2013,3,44419549336,4829367039,82445285,1845613715,0,1583526514,4279821377,0,57040323266,151639394350,-112956287195,15187502240,3104531461,-4535284786,-16187441429,30716002763,-100580170537,23428570133,-23065588487,369079211,-5200000000,29918500000,0,0,1408414864,3430405588,0,0,311141900974,-316937489458,0,-70053000,0,-5865641484,20993334237,324685561522,0,345678895759
2013,4,81680489449,7317532241,-70010918,66170822,0,-6428284063,5211853639,0,87777751170,-97008545248,-66041025476,117645968533,8669678208,-5211853639,-2769420335,686409854,69009162818,112758125885,-4721112953,21388,-100020000000,200000000,-7217030880,0,3262430637,-108495691808,0,0,377483294653,-228686912219,0,-49768157250,0,99028225184,103290659261,345678895759,20290946,448989845966
2014,1,66286928605,5912577703,1143022904,0,0,-12522460067,6097095125,0,66917164270,-71320027473,91322109404,-233847382556,6773776065,-6097095125,-20185652560,1522130305,-11165102381,-176080080051,-4834228095,295463636,-117020000000,165137525405,0,0,2756133407,46334894353,0,0,409653216876,-392151334719,0,0,0,17501882157,-112243303541,448989852292,0,336746548751
