Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2005,0,210128365272,191449083596,191449083596,0,0,0,0,3230061917,2480512241,47980000,0,0,701569676,0,12559159630,12559159630,0,2890060129,2792710682,97349447,0,0,362724786042,0,0,0,0,0,338785621782,338709508308,465526359555,-126816851247,0,0,0,23818374,108737700,-84919326,52295100,0,0,0,0,0,0,0,0,23939164260,23939164260,0,0,0,572853151314,318775830928,67204370395,38688000000,15331842495,52917248,3851434416,2314769330,3610664699,2601237362,0,753504845,0,251571460533,0,0,0,251472000000,0,99460533,0,254077320386,250941053766,203496475389,0,0,0,0,0,35683566255,5482744007,0,6278268115,3136266620,3136266620,0,0,572853151314
2006,0,321023400456,284907758724,284907758724,0,0,0,0,21940387491,19769109150,230830239,0,0,2642963591,-702515489,11003877698,11003877698,0,3171376543,3017329427,154047116,0,0,1087083194432,0,0,0,0,0,1065037018977,1064248221810,1279770320528,-215522098718,0,0,0,148452613,258085150,-109632537,640344554,0,0,0,0,0,0,0,0,22046175455,0,0,22046175455,0,1408106594888,892527551336,115549271034,48876412500,16838511119,0,7046355811,3284188798,12932891568,25568438831,0,1002472407,0,776978280302,0,0,0,776813138750,0,165141552,0,515579043552,510592615551,448549585492,0,0,0,0,0,51436129608,10606900451,0,0,4986428001,4986428001,0,0,1408106594888
2007,0,326566470653,256227937436,256227937436,0,0,0,0,44996881014,43634562035,151229076,0,0,1874036381,-662946478,13385232843,13385232843,0,11956419360,10729860419,13506234,896000,1212156707,1434608657125,0,0,0,0,0,1425172369048,1191969785237,1822390113407,-630420328170,0,0,0,87258054,258085150,-170827096,233115325757,0,0,0,8066756100,8066756100,0,0,0,1369531977,6693333,1362838644,0,0,1761175127778,1000918835630,452776125036,68857136250,18558503602,0,1788854713,5329551372,11717433769,0,0,346524645330,0,548142710594,0,0,0,547926356250,0,216354344,0,760256292148,760256292148,720000000000,0,0,0,0,0,21710918920,0,0,18545373228,0,0,0,0,1761175127778
2008,0,2501665737162,1997075649391,918300109991,1078775539400,112296200000,117245086000,-4948886000,201048418504,110701799155,26787175294,0,0,66206732584,-2647288529,23732624015,23732624015,0,167512845252,2566014659,31114978255,0,133831852338,3373384779462,0,0,0,0,0,3328261459565,2534921066530,3327745560002,-792824493472,0,0,0,81827230,318209350,-236382120,793258565805,8501460000,8501460000,0,12559435400,0,0,12559435400,0,24062424497,18960294834,2994857663,2107272000,0,5875050516624,4288974675963,2403075732639,1415619114255,101467973705,4020051287,28773567618,8987046361,50147083301,0,0,794060896112,0,1885898943324,0,0,3263816323,1882389091146,0,246035855,0,748408556125,748068167956,720000000000,0,0,0,0,-41228063000,1113048267,1051390410,2268817,67129523462,340388169,340388169,0,837667284536,5875050516624
2009,0,1979462116926,1017523153456,131969911658,885553241798,63704125219,66869816219,-3165691000,779164772138,295358659805,458519351793,0,0,34001927866,-8715167326,85482356722,85482356722,0,33587709391,18206787966,10821100464,896000,4558924961,4408151381431,0,0,0,0,0,4200348904163,3705536058963,4837488802473,-1131952743510,0,0,0,571849402,916446520,-344597118,494240995798,8511460000,8511460000,0,48516939351,0,24679264151,23837675200,0,150774077917,147771488875,795317042,2207272000,0,6387613498357,4253170255127,1556849052022,583441725031,514872940868,6271775002,21463994191,16129946747,112294294915,0,0,299927778284,0,2696321203105,0,0,2916134839,2693114156591,0,290911675,0,1436906122742,1436906122742,1476000000000,0,0,0,0,-112826981715,21356553290,4749579524,1199727349,46427244294,0,0,0,697537120488,6387613498357
2010,0,2475724666689,1098494491090,354247536490,744246954600,189150481904,192952454984,-3801973080,1004461003654,455661363409,463340257044,0,0,105762293002,-20302909801,112665571931,112665571931,0,70953118110,15370911694,19254671327,29034956610,7292578479,5285207997488,0,0,0,0,0,5018515385914,4500373684007,6111353280635,-1610979596628,0,0,0,3024027375,3642376520,-618349145,515117674532,8511460000,8511460000,0,57154026600,0,0,57154026600,0,197477634971,192711506588,697860545,4068267838,3549490003,7760932664177,4651765894006,1474937009134,929406896496,312826305910,768716310,29173964617,21948842504,119036926363,0,0,56088112824,0,3176828884872,0,0,3012188628,3173548329366,0,268366878,0,2342173207360,2342173207360,2326000000000,0,0,0,0,-125167187659,43190330243,16885683047,2406590870,78857790859,0,0,0,766993562811,7760932664177
2011,0,2920244455821,819863449693,174528564041,645334885652,471947307700,476649710080,-4702402380,1479335872689,703165648913,629867106887,0,0,184416250748,-38113133859,93665360887,93665360887,0,55432464852,18281884881,201272060,29390588178,7558719733,5108651551414,0,0,0,0,0,4740253453596,4153828009760,6169908358758,-2016080348998,0,0,0,8796055476,9808268835,-1012213359,577629388360,8511460000,8511460000,0,153047793848,0,102907818736,56496612436,-6356637324,203999251968,185723760432,1482506058,16792985478,2839592002,8028896007235,5032525399308,1510215554502,785481513551,430342906894,17751296838,45752458667,44726762300,108533793135,0,0,73390396778,0,3522309844806,0,0,4614217969,3517393619045,0,302007792,0,2274448141887,2274448141887,2326000000000,0,0,0,0,-211820603051,95617838717,17246831519,2878356342,44525718360,0,0,0,721922466040,8028896007235
2012,0,3227642789630,1088991821550,163837805112,925154016438,142334829900,146523710080,-4188880180,1880860588203,937350646045,890659714313,0,0,198545525468,-145695297623,83263659560,83263659560,0,32191890417,10751282812,5271186700,5395007110,10774413795,4704343699192,0,0,0,0,0,4150272475138,3499915149399,5184725476863,-1684810327464,0,0,0,2965150093,4451250670,-1486100577,647392175646,8511460000,8511460000,0,345395418451,0,114688779523,233063276252,-2356637324,198034653866,188272086678,4914875685,4847691503,2129691737,7931986488822,4619152846562,1596304122494,944152845914,405196547681,9199808010,34323201914,74781806161,77598665637,0,0,47492193249,0,3022848724068,0,0,16989901398,3005858822670,0,0,0,2589507174209,2589507174209,2326000000000,0,0,0,0,0,128013266068,23115069932,6187816834,106191021375,0,0,0,723326468051,7931986488822
2013,0,3445352191646,1995074404085,738404562785,1256669841300,577347799075,581257084355,-3909285280,665165439600,540447998377,26746097603,0,0,237612277522,-139640933902,111056378156,111056378156,0,96708170730,13302157809,71395287455,352727824,11657997642,6102274881449,0,0,0,0,0,5588675907792,4477834906676,6505295383523,-2027460476847,0,0,0,2710063326,4529107870,-1819044544,1108130937790,8511460000,8511460000,0,356754728802,0,123691452550,233063276252,0,146912990553,131116879045,8553534660,7242576848,1419794302,9547627073095,5925149503037,1819991079226,811927212094,627556727208,21489357903,35409619666,100220256879,168062612130,0,0,45840194257,0,4105158423811,0,0,613717659783,3491440764028,0,0,0,2818638435865,2818638435865,2326000000000,0,0,0,0,0,167725974592,30191420194,8921493957,285799547122,0,0,0,803839134193,9547627073095
2014,0,3257896885257,1719355604001,245025420285,1474330183716,677678600693,681142457373,-3463856680,645992545143,580335224609,20561377359,0,0,174029179292,-128933236117,103035094830,103190066806,-154971976,111835040590,11646744194,47602776664,6928435836,45657083896,6091982309776,0,0,0,0,0,5590498953856,4044934310331,6263977201974,-2219042891643,0,0,0,2429635069,4609857870,-2180222801,1543135008456,8511460000,8511460000,0,378302974504,0,135250698252,243052276252,0,113959024549,99990820970,5523061131,8445142448,709896867,9349879195033,5377457036648,1521848691816,629386069744,480480790827,21566066204,31197240331,109326259671,165953324952,0,0,54765517344,0,3855608344832,577227840000,0,39096673070,3238287613579,0,0,0,3130771404310,3130771404310,2558575420000,0,0,0,0,0,74685974592,52147369262,18909569022,426453071434,0,0,0,841650754075,9349879195033
