date,open,high,low,close,volume,unadjusted,putthrough
2010-08-09,29.9000,29.9000,27.2200,28.3400,300820,45.5000,0
2010-08-10,27.0900,28.3400,26.9700,26.9700,134610,43.3000,380850
2010-08-11,25.6600,26.9100,25.6600,26.1000,369860,41.9000,0
2010-08-12,26.4700,26.4700,24.8500,24.8500,87280,39.9000,200000
2010-08-13,24.1000,25.1000,24.0400,24.9200,731660,40.0000,200000
2010-08-16,25.7900,26.0400,24.9800,25.9100,583730,41.6000,0
2010-08-17,25.9100,25.9100,24.9800,25.3500,291860,40.7000,800000
2010-08-18,24.9100,25.1000,24.1000,24.1100,712220,38.7000,500000
2010-08-19,24.3600,24.4800,23.9900,24.1100,429820,38.7000,20000
2010-08-20,24.1100,24.1100,23.2400,23.4800,574310,37.7000,1000000
2010-08-23,23.2300,23.2300,22.4200,22.4200,224980,36.0000,0
2010-08-24,23.3000,23.3000,21.3600,21.3700,599070,24.3000,2300000
2010-08-25,20.5800,21.9900,20.5800,21.4600,224490,24.4000,0
2010-08-26,22.4300,22.5200,21.9900,22.5100,242060,25.6000,0
2010-08-27,22.8600,23.5700,22.6900,23.5700,355310,26.8000,60000
2010-08-30,24.7100,24.7100,24.6300,24.7100,1066050,28.1000,0
2010-08-31,25.1500,25.5000,24.5300,25.5000,941330,29.0000,30000
2010-09-01,25.5000,25.5000,24.3600,25.3300,463320,28.8000,20950
2010-09-06,25.9500,26.0300,24.7100,25.4100,1102110,28.9000,0
2010-09-07,24.6200,24.7900,24.2700,24.2700,672000,27.6000,0
2010-09-08,23.3000,23.8300,23.2100,23.7400,346870,27.0000,0
2010-09-09,24.1800,24.5300,23.6500,24.0900,452530,27.4000,0
2010-09-10,23.7400,24.0900,23.4700,23.4800,530950,26.7000,0
2010-09-13,23.3000,23.4800,22.4200,22.6900,327220,25.8000,0
2010-09-14,22.8700,23.1300,22.4300,22.9500,259960,26.1000,0
2010-09-15,22.9500,23.3000,22.6900,23.0400,263990,26.2000,0
2010-09-16,23.0400,24.1800,23.0400,24.1800,619470,27.5000,0
2010-09-17,24.1800,25.1500,24.1800,24.9700,541740,28.4000,0
2010-09-20,25.0600,25.4100,24.6200,25.0600,824820,28.5000,0
