Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,7994967.115,7994967.115,15299.2471730761,154632.595246391,15299.2471730761,13611.8495703156,5176.81616880547,5176.81616880547,3852.81110068081,8269,0,1.17176971403959,1.89159143865405,3.02397208609301,2.18464363046074,0.498047953844612,2.28438448570578,0.520786549822861,1.11355430335479,0.253864490550226,3.38641221913812,0.772023250428459,0.338370647277059,0.143431042398762,0.0771406403166424,46.8110694016745,7.79730103724021,7.30600306236896,49.9589169186098,20.6832079644996,17.647165789102,310467733.275239,10393891.2682069,0,0,0,0.101618249621185,0.150702960228692,0.046445038017056,0.0334781690791437,0.0334781690791437,0,2.30420726217969,10.1072028902518,0,0,0,0,0,0,0,0,0,0,0.0969165543358141,0.64309655356964,2.08669340092312,0,0,0,0,0,0,0,0,0,0
2008,0,9191187,9191187,11184.4191338942,148583.962798385,12503.8292381604,10617.8259854794,3536.3743041024,3536.3743041024,2576.92959783105,3742.58,0,0.277865695619394,0.815579969591059,1.53799077211296,2.10181117838305,0.414635989666131,2.62635234164152,0.518115144494692,1.87044363633359,0.368992826873505,4.06905148314658,0.802724434083029,0.272876598238195,0.10475444487148,0.0578305511081457,69.6668985307943,5.23921701263423,7.84084039615713,46.5511324754028,16.4954070176843,22.1273715531052,360809243.667371,8587444.52602378,0.018657412590022,7.07274860820479,0.141387748299147,0.122858945158244,0.0798820848906504,0.0295732516412484,0.0243402053263382,0.0238005114246477,5.5443845963799,2.42980287592713,11.4651569190906,-0.00053969390169051,0,0,7.57810053333767,7.57810053333767,10.3995856241304,2.3961011903413,0.180362668320832,2.14326343470944,2.52396300680098,0.366119582709406,4.58325021449531,12.3800922249195,0.104652837781103,0.33555225485357,-0.153618546289428,0,-0.196865371509678,-0.21467322708942,-0.316882387013869,0.0951074807098462,-0.0523685051086844,0.149621614172205
2009,0,9613346,9613346,20387.4692535773,185248.084893855,20632.2185613625,16608.3726208336,11236.9733471572,11236.9733471572,10658.4332354729,12746.26,0,0.622704915214329,0.897621641123305,1.3333149367425,1.13955055854712,0.24238470801631,2.60944888889609,0.555035055070277,2.30772314609116,0.490857379475066,3.70141275773238,0.787297977963048,0.685344932465221,0.313937820114831,0.141700034204316,107.022011330772,3.41051336506748,8.40614996903481,43.4205910368631,12.525734868474,29.140006860489,470503021.379657,28540267.5770145,0,0,0,0.173783478808312,0.122230564777511,0.0747353017068713,0.068303944312549,0.060659052716231,6.91249990275215,2.33600802945609,11.2983124822495,-0.00764489159631804,0,0,2.38489486199412,2.38489486199412,2.51434703468507,1.3144838953122,0.14466546315637,1.29889085462607,1.61358373946784,0.391861772412404,3.20592294673337,5.24332896854252,0.304021528376949,0.844533154263957,2.16825649892095,0,2.65936986407599,2.32348785375263,2.17754071850416,0.594962186474321,0.719684242489264,0.0459308465816222
2010,0,14491687,14491687,29061.180849131,172826.6399433,29005.0721020955,19585.8653987628,16919.6911058733,16919.6911058733,16320.0997415794,18416.24,0,0.959031522816595,1.64131622421517,2.45913785041797,0.630870602212193,0.240894950453621,0.770938644005971,0.29437926858436,0.693218849278401,0.264702333196164,1.61886187744584,0.618154737898856,0.790343665985862,0.441762676967272,0.240380113677423,105.675679463356,3.45396407057468,8.99998600275043,40.5556186296795,12.4572658619687,29.300169398674,661703981.85469,64780678.3733157,0.055972237770066,11.2797940705822,0.0886541007524249,0.226086248226888,0.157869383911061,0.113601280590764,0.104668424280713,0.0978997862333275,6.44899585593865,2.45536913742097,8.07298663658175,-0.00676863804738566,0,0,1.58389416404282,1.58389416404282,1.64208555243832,0.92215798590997,0.155062900076007,0.923941850779398,1.36828265968237,0.251644725377437,1.59400587462359,2.21515747066233,0.406375627332582,0.829645668056172,3.6746483644971,0,1.15511889307769,1.26979926514383,0.505716048543785,0.176905178341972,1.11279451877571,0.50745505259043
2011,0,29615682,29615682,33752.2421243245,134437.836195297,33726.7370152408,26164.9632159746,19531.4269550841,19531.4269550841,19092.9251351699,20570.5,0,0.966437507159819,1.23225910094193,1.7405572657582,0.217370791380852,0.10242746495344,0.512719839761149,0.241599126931708,0.674633267718793,0.31789448318574,1.12219243617581,0.528789197928722,0.814274305778621,0.550411185929884,0.358803063470287,154.632946740545,2.36042840606552,10.2186168725809,35.7191197743589,10.5640372113817,34.5511846178229,1051907055.62166,152823389.619022,0.111944475540132,6.51047565169471,0.153598608381201,0.266488363336382,0.190987860048014,0.156073185392823,0.155843705755705,0.145282217475674,5.0165243552109,2.4696970469243,5.60477613796722,-0.010561488280031,0,0,1.37209636866927,1.37209636866927,1.40360891850119,0.793991696945268,0.199341203030591,0.794592135844324,1.02423228264423,0.306047348316174,1.60244398905372,1.96092203504324,0.589694311152964,0.873776218176585,4.95574944140674,35.9764132424633,1.36693973537243,1.35908905952385,0.154360728743104,0.923376618217315,1.37351599956544,1.0436324632184
2012,0,62192932,62192932,24063.5528770536,77724.430249984,24041.2340780621,13238.9632018314,11387.6293897673,11387.6293897673,11179.7355071875,11740,0,0.996694550842526,1.32503045321776,1.62053146990198,0.176005752017492,0.0874380697477061,0.678272939531732,0.336959877248006,0.770381775502758,0.382718715988767,1.01291900113234,0.503209021606202,0.56745143694366,0.436208216666805,0.275906850768851,193.021009731567,1.89098585955799,10.6509650130915,34.2691952843113,13.1863392023897,27.6801615973789,1277122907.60264,187114943.270542,0.111944475540132,3.79587646325577,0.263443768436628,0.271774798519657,0.193972457304358,0.149189493903481,0.156788007329302,0.14651287057546,2.90027352699668,1.88315777095328,3.87304838622623,-0.0102751367538413,0,0,2.3533431834444,2.3533431834444,2.39710501046923,1.11367594539852,0.344795065255631,1.11470983199046,2.02425217076613,0.393403368608172,2.02814035598307,2.63693748343088,0.214102425473206,0.238187056028047,4.22659927678201,16.8564121506101,0.221459019217706,0.224386814983004,-0.416958657656959,0.420096810589933,0.497188266580036,1.09999999324682
2013,0,97928353,97928353,17619.8050338292,56610.3077441831,17613.2713509845,7933.8152632568,5948.53257051101,5948.53257051101,5815.81930481614,6322,0,0.633987878851485,0.765689983575994,1.00796284830636,0.179297971686147,0.0771179287818902,0.921972203131986,0.396549866300068,1.05926548521869,0.455601139722881,1.32498427432159,0.56988956396628,0.361588390784947,0.372711388287812,0.165863479100103,196.837523522529,1.8543212364599,10.527440837767,34.6712943463494,18.3621863519242,19.8778071959688,1464664253.68851,153904887.026948,0.111944475540132,1.98284419017034,0.504326060997306,0.275149835475379,0.175223229315439,0.135925026398234,0.139056938661108,0.105078612138833,2.11240373686269,1.57847040157856,3.44112263594807,-0.0339783265222745,0,0,4.50514470288894,4.50514470288894,4.60794921496399,1.52095894072308,0.473394352864186,1.52152314388218,3.37782001606616,0.649642845073818,3.70751553667763,4.77942040761861,0.146846748241255,0.161088871421724,1.77883101660838,4.66173189070356,0.0171504864458529,-0.177484789098731,-0.477632054318852,0.331688006474137,0.152945472112497,0.574589745985927
2014,0,117513304,117513304,14764.820970543,53181.0363210535,14759.2659769229,9294.51771710887,6589.05898946557,6589.05898946557,6434.0939534025,6114,0,0.654600599035731,0.786026265486086,1.05565995954273,0.0827487339858326,0.0363943382648902,0.842903040523548,0.370723477008974,1.15936724355195,0.509909959979414,1.27367051939671,0.560182536797224,0.447503443276105,0.454053755027902,0.194629644419076,223.186634486528,1.63540258958487,9.0091395309343,40.5144130298699,16.7346038822552,21.8110929047465,1651117381.30277,204571226.447292,0.111944475540132,2.19635299648852,0.455300218862258,0.292102187254665,0.201588069137454,0.149572567075839,0.150649564448032,0.123898657214716,1.98444107321368,1.57087775440361,3.61185063128314,-0.0267509072333165,0,0,4.06719685509655,4.06719685509655,4.1651552175156,1.81505756510465,0.503920228974378,1.81574070430752,2.88331259519467,0.675248348334876,3.34964440715216,4.51452001885144,0.127300934084188,0.196755462242254,1.50770616976689,2.28535966960737,0.221279544600972,0.329205526862002,0.107678055278686,-0.0166385377659312,0.00555463782620902,0.199992651770627
2015,0,141015252,141015252,18492.4301391455,55208.4580930508,18477.7106898763,13427.4199557719,8722.92246052221,8722.92246052221,8616.83224956759,10317,0,0.454479483647569,0.770720272497031,1.45995797461445,0.0770951021918682,0.0388686899645028,0.647931647141639,0.326664776294886,0.851198449724656,0.429144883397052,0.983475704024912,0.495834510112336,0.566487729598807,0.545692125981451,0.269831001690623,327.519521791277,1.11443738682731,12.2480450048309,29.8006742999423,20.4577878494284,17.8416162434786,2056865159.97966,324984176.736328,0.111944475540132,2.90764082017407,0.3439214338517,0.295191740606617,0.215788802366402,0.171239207236641,0.174927230354715,0.15799974789769,2.06009396220198,1.70779387486964,3.58537109796926,-0.0169274824570248,0,0,3.07225016859724,3.07225016859724,3.11007563148799,1.44918757558374,0.485414752116999,1.45034200663629,1.99584135211919,0.572864990969115,2.65474846093454,3.34540786665437,0.245741328431015,0.258917485491299,0.774980772819463,1.14537575424605,0.446496583772146,0.588611372088832,0.323849501798089,0.311125326341559,0.502951105318784,0.199993934303813
