Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,450000000,450000000,11216.39657518,7611.62964659778,11214.40731192,3328.10872222,624.413426053333,624.413426053333,618.651828651667,624,0,0.313352319098146,0.634092693644899,0.757173243010309,2.22539697434765,0.616640931209623,2.44930490800134,0.678684152398916,0.383505486898701,0.106266514824636,2.60890246124635,0.722907446034259,0.0556696994322629,0.0477333639392484,0.0154256591941909,6.64920886841879,54.8937485982146,10.8263110896653,33.7141614513945,4.850210358405,75.2544679567323,3905625246.25884,320394574.371722,0,0,0,0.312720777629992,0.483740668462971,0.226872012259802,0.0820341313285561,0.0820341313285561,0.653414855060329,0.188039526284606,0.678616309220114,0,0,0,18.6559089121908,18.6559089121908,18.8296541940055,1.03856884177734,1.53042128175624,1.03875306790561,3.50018613341141,4.96260017673664,10.258802908808,21.874007848327,0,0,0,0,0,0,0,0,0,0
2013,0,450000000,450000000,9294.55327657556,6114.47860893333,9293.05471527333,-1980.57786773111,-1309.19353128,-1309.19353128,-1310.16978167667,-1309.19,0,0.00270061827881837,0.0850662280711412,0.164118522440967,2.94674297590626,0.607580068996822,3.51198267065767,0.724125141147603,0.903223516200105,0.186232939479099,3.84996649210637,0.793813008475922,-0.127658011037255,-0.00941054295800799,-0.0306039526321787,8.61094006887599,42.3879387245166,11.7525131181411,31.0571872016538,3.32909418867203,109.639433225408,3137417758.28962,-671764069.641961,0,0,0,0.0100436400646472,0.264202947779973,-0.0560683360924149,-0.214113682459736,-0.214113682459736,0.52489300445818,0.142933194556278,0.596216036129598,0,-14.2286291862602,-2.85948054427742,0,0,0,1.25331467294487,1.90515017633403,1.2535167775193,-5.88161676942535,7.23996942668589,27.4030607437253,-129.127595560399,-0.196692575332227,-0.974200209222529,-0.561260395481901,-1.1985265182037,-3.09667742020681,-3.09667742020681,-3.09667742020681,0.113624453219081,-0.171342309958722,0
2014,0,450000000,450000000,9365.07159661555,16779.5994740511,9363.82213654,3149.81375073556,14.5749994377778,14.5749994377778,6.69892863944444,15,0,0.0782626888377898,0.293992747944339,0.359490920233593,2.77500862387008,0.585655375846375,3.38491119206587,0.714373072337073,0.963287545373999,0.203298297735508,3.73829616924408,0.788953673581883,0.00156219640392859,0.0551144648236689,0.000325870331592879,16.3125841683618,22.3753634760038,25.1419494173556,14.5175695782778,5.48564670541315,66.5372780277344,8609828692.50057,7478620.00798176,0,0,0,0.148815906582371,0.3431710485625,0.118305856580646,0.000868614263428478,0.000868614263428478,1.44043261001383,0.37516115646852,1.79849269083205,0,1.50176460814992,-8.19151154668415,799.245313849295,799.245313849295,1738.9347800197,1.24387730299999,0.694235879587868,1.24404327956451,3.69831390737934,2.54135433396798,7.40550330400363,21.4812217029645,1.74424044096514,39.6612170959533,2.5644714699319,-6.79042894186318,-1.0111328074036,-1.0111328074036,-1.0111328074036,-0.0156126011290292,0.00758705856447373,0
2015,0,450000000,450000000,5283.74093954889,17118.1661783178,5280.94916677556,3248.62518089556,-2935.20061644667,-2935.20061644667,-2943.27025782333,-2935,0,0.0188952266462463,0.417643769855032,0.480347946464499,4.67326769349717,0.646477633063906,5.54477457264233,0.767037751032894,1.55554805276269,0.215187121565177,6.22881574625986,0.861664754629084,-0.400742464169072,-0.0290207797859988,-0.0710963365833706,6.98211998942523,52.2763860479068,26.7965189031716,13.6211722619239,5.23983865918426,69.6586333551009,8783551630.8358,-1506089255.87343,0,0,0,0.135407558814094,0.197874060717718,-0.0553770564783347,-0.17146700095507,-0.17146700095507,1.46949662445856,0.4146356802613,2.33714045231408,0,3.41706977606766,-13.7372644632945,0,0,0,2.20468795371988,0.680505135810334,2.2058534615876,3.58582457234685,2.38289837728451,12.0425000055156,-43.0304268378146,0.020177281632392,-0.071740928534554,-0.411760921516665,-1.47752847217974,-202.385984883042,-202.385984883042,-202.385984883042,-0.139253299828713,-0.435803465564707,0
