Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2015,1,120752951035,48940852102,9690048762,39250803340,25000000000,0,0,34954366118,33127849425,1408770375,0,0,417746318,0,11581395812,11581395812,0,276337003,268316364,0,8020639,0,1205696006391,0,0,0,0,0,1205696006391,1202296006391,1378579148482,-176283142091,0,0,0,3400000000,3400000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326448957426,888450707158,65644987158,57728000000,255861423,0,3965318586,588400000,0,0,0,932981250,0,822805720000,0,0,0,822805720000,0,0,0,437998250268,437998250268,422000000000,0,0,0,0,-12303621065,8343512416,0,0,19958358917,0,0,0,0,1326448957426
2015,2,107306064379,5768957244,5768957244,0,47475555948,0,0,52442913284,49346167120,447832451,0,0,2648913713,0,1350321539,1350321539,0,268316364,268316364,0,0,0,1206171877553,0,0,0,0,0,1193469849003,1190069849003,1378579148482,-188509299479,0,0,0,3400000000,3400000000,0,0,0,0,0,0,0,0,0,0,12702028550,0,0,0,0,1313477941932,879766058386,75063328386,63702000000,255861423,0,5740242814,531681632,0,0,0,2031391994,0,804702730000,0,0,0,804702730000,0,0,0,433711883546,433711883546,422000000000,0,0,0,0,-8202414043,11891593442,0,0,8022704147,0,0,0,0,1313477941932
2015,3,151796200968,15605856047,5605856047,10000000000,79475555948,0,0,55541374777,52632999157,435832451,0,0,2472543169,0,1173414196,1173414196,0,0,0,0,0,0,1188587844991,0,0,0,0,0,1181304358904,1177904358904,1378655535982,-200751177078,0,0,0,3400000000,3400000000,0,0,0,0,0,0,0,0,0,0,7283486087,0,0,0,0,1340384045959,879472534241,42918804241,31851000000,186216050,0,6884591898,531387720,0,0,0,810798050,0,836553730000,0,0,0,836553730000,0,0,0,460911511718,460911511718,422000000000,0,0,0,0,-4101207021,11891593442,0,0,31121125297,0,0,0,0,1340384045959
2015,4,110109742429,19945405063,4945405063,15000000000,56214040566,0,0,32354605890,29974878748,30000000,0,0,2349727142,0,1173414196,1173414196,0,422276714,0,0,422276714,0,1176350462806,0,0,0,0,0,1169066976719,1165666976719,1378655535982,-212988559263,0,0,0,3400000000,3400000000,0,0,0,0,0,0,0,0,0,0,7283486087,0,0,0,0,1286460205235,829873121849,73476091849,65022000000,416479817,0,3604311438,0,1193364221,0,0,738423850,0,756397030000,0,0,0,756397030000,0,0,0,456587083386,456587083386,422000000000,0,0,0,0,0,11891593442,0,0,22695489944,0,0,0,0,1286460205235
2016,1,94600603004,18209384739,4209384739,14000000000,51291571780,0,0,23257779575,20243829756,783177600,0,0,2230772219,0,1419590196,1419590196,0,422276714,0,0,422276714,0,1164113080624,0,0,0,0,0,1156829594537,1153429594537,1378655535982,-225225941445,0,0,0,3400000000,3400000000,0,0,0,0,0,0,0,0,0,0,7283486087,0,0,0,0,1258713683628,827102168884,70705138884,65022000000,0,0,2124496439,653000000,0,0,0,651805475,0,756397030000,0,0,0,756397030000,0,0,0,431611514744,431611514744,422000000000,0,0,0,0,0,13026367939,0,0,-3414853195,0,0,0,0,1258713683628
2016,2,98526599412,30749617051,11749617051,19000000000,36204614547,0,0,28005152191,24390285265,42500000,0,0,3572366926,0,3144938909,3144938909,0,422276714,0,0,422276714,0,1151847422799,0,0,0,0,0,1144601621249,1141201621249,1378655535982,-237453914733,0,0,0,3400000000,3400000000,0,0,0,0,0,0,0,0,0,0,7245801550,0,0,0,0,1250374022211,817563101252,97355221252,87068000000,3722718723,0,3053600033,0,908389001,0,0,651805475,0,720207880000,0,0,0,720207880000,0,0,0,432810920959,432810920959,422000000000,0,0,0,0,0,13026367939,0,0,-2215446980,0,0,0,0,1250374022211
2016,3,118038796309,19363453323,4363453323,15000000000,42212480710,0,0,53625823787,50444997314,30000000,0,0,3150826473,0,2837038489,2837038489,0,0,0,0,0,0,1139588713406,0,0,0,0,0,1132387132406,1128987132406,1378655535982,-249668403576,0,0,0,3400000000,3400000000,0,0,0,0,0,0,0,0,0,0,7201581000,0,0,0,0,1257627509715,796207538464,75999658464,64712000000,0,0,8124106813,538735565,0,0,0,731730066,0,720207880000,0,0,0,720207880000,0,0,0,461419971251,461419971251,422000000000,0,0,0,0,0,13026367939,0,0,26393603312,0,0,0,0,1257627509715
2016,4,152326613588,76954000471,7547749964,69406250507,19212480710,0,0,53777755376,52532239327,229000000,0,0,1016516049,0,1950930379,1950930379,0,431446652,431446652,0,0,0,1127374224573,0,0,0,0,0,1120172643573,1116772643573,1378655535982,-261882892409,0,0,0,3400000000,3400000000,0,0,0,0,0,0,0,0,0,0,7201581000,0,0,0,0,1279700838161,775208712847,81576882847,70184200000,366776236,0,7110169147,567600000,1078863969,0,0,651887475,0,693631830000,0,0,0,693631830000,0,0,0,504492125314,504492125314,422000000000,0,0,0,0,0,13026367939,0,0,69465757375,0,0,0,0,1279700838161
2017,1,108058783820,26753396225,2567655286,24185740939,44402364431,0,0,34544142133,33418091188,21146000,0,0,1104904945,0,1927434379,1927434379,0,431446652,431446652,0,0,0,1115193802397,0,0,0,0,0,1107992221397,1104592221397,1378655535982,-274063314585,0,0,0,3400000000,3400000000,0,0,0,0,0,0,0,0,0,0,7201581000,0,0,0,0,1223252586217,772553866424,79420366424,70163200000,10237500,0,5178055598,607654490,525314616,0,0,770448825,0,693133500000,0,0,0,693133500000,0,0,0,450698719793,450698719793,422000000000,0,0,0,0,0,14026367939,0,0,14672351854,0,0,0,0,1223252586217
2017,2,126783182705,27501870338,7501870338,20000000000,53686397479,0,0,43088415924,33078768341,719000000,0,0,9290647583,0,1854136529,1854136529,0,652362435,652362435,0,0,0,1103059160621,0,0,0,0,0,1095811799221,1092411799221,1378655535982,-286243736761,0,0,0,3400000000,3400000000,0,0,0,0,0,0,0,0,0,0,7187361400,0,0,0,0,1229842343326,743507190389,83332260389,70118200000,437477375,0,9342598661,574600000,837416476,0,0,770448825,0,660174930000,0,0,0,660174930000,0,0,0,486335152937,486335152937,422000000000,0,0,0,0,0,14026367939,0,0,50308784998,0,0,0,0,1229842343326
