Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,641281186,641281186,10018.5524509322,0,8347.7631615642,0,0,0,0,0,0,0.447977243351657,0.674661893635645,0.913261507643893,0.0502109002929856,0.0249206508174966,0.0667853924588735,0.0331468951057538,0.797812597573669,0.395969979544677,0.862854465458707,0.428251529340095,0,0,0,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3585194664682,0,26.8335356028509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,641281186,641281186,12398.9399466945,19980.0894251699,11499.359313504,5062.61318266555,2508.10657483097,2508.10657483097,2476.90823978812,2510,0,0.863441217582497,0.981366244508557,1.18146709189993,0.163055615280153,0.0854613134988021,0.180251990703803,0.094474341529751,0.610701687571113,0.320083232252322,0.784107287001905,0.410969217809707,0.223763347866374,0.220620618860851,0.114415166969859,38.054903216301,9.59140528949369,11.0360708695801,33.0733649967842,14.3676656025734,25.4042660858299,1526248414.88493,202587873.215485,0,0,0,0.223127544076839,0.202108059449468,0.156118885141503,0.158440630955419,0.132735845121752,0.089196827790937,0.911454597102832,1.78254454787148,-0.0257047858336673,0,0,89.3103994255493,89.3103994255493,90.4353243296414,18.0660605634854,11.211161033034,19.4793461003476,44.2459243710301,11.1595341266821,55.215680943551,71.4810006269727,0,0,0,0,0,0,0,0.171944777366104,0.237597947150617,0
2010,0,641281186,641281186,12220.7552631803,27059.4636775092,11230.3956175225,2215.91598257648,3787.45731561818,3787.45731561818,3796.27607962406,3790,0,0.7406587025376,0.859262380195521,1.04832115418564,0.200721508798955,0.0992962585424102,0.212814953388432,0.105278845101322,0.683180189336003,0.337966952905417,0.900006190365391,0.445230049848832,0.307677027138749,0.309008753821036,0.156635797603365,52.8288243206685,6.9091070015957,14.8075437479583,24.6495979490405,14.3246781483975,25.4805026834639,2067030966.00798,313397084.408219,0.0133928571428571,1.26248577187273,0.792088134598647,0.247044373770601,0.207721406076525,0.185220595711858,0.200858472200087,0.151617024399725,0.120801177131737,1.11908341735441,2.19819648024366,-0.0492414478003618,0,0,59.142580716699,59.142580716699,59.0051922731031,18.3294727024676,8.27806503002425,19.9458690173389,101.086865098356,8.34084295574346,40.1539885237956,45.0319410953576,0.354321449803976,0.499489880710095,5.1171256076271,0,0.716901375834423,0.546968628644766,0.510086275290527,0.0442592294286897,-0.0143709610886269,0
2011,0,641281186,641281186,14866.2849368623,30084.7221762732,13693.7963637639,3732.50810571106,3552.94155334537,3552.94155334537,3547.69858783367,3556,0,0.869415984624176,1.03535315084837,1.34233014515354,0.145536103358383,0.0837282047389379,0.159873658730232,0.091976726885184,0.484047977347174,0.278477073492832,0.644631751897434,0.37086233627664,0.262335163023074,0.23494308428652,0.140587887946722,45.2146187688779,8.07261036227595,13.7954545374419,26.4579901306885,11.8973592820023,30.6790768731473,2298125827.00191,279238961.460155,0.00892857142857143,1.77647077667268,0.562913847574229,0.210863896987117,0.162722738978697,0.136660630620644,0.155297239054629,0.121507255250878,0.134306795429791,1.19043544249799,2.22133699024273,-0.0337899838037513,0,0,63.0463509283137,63.0463509283137,63.1395239629929,15.0676514644605,7.44563964019787,16.3577720925325,60.0132655190382,7.49774063442667,46.0767848518593,54.8639399684877,0.111800386541975,-0.0510265075062299,7.04038615337084,0,-0.140392095396196,-0.108993110170646,-0.0619190508908825,0.0460256662060061,0.216478410434476,0
2012,0,641281186,641281186,16472.2711118255,33977.4413036593,15133.4018182688,3734.03670236632,4158.1662114363,4158.1662114363,4116.42342647333,4161,0,1.17335114146925,1.34198013380138,1.61417081275679,0.136753366654588,0.0815013422987692,0.156663080626925,0.0933669983570111,0.450223553621812,0.268321174478877,0.602706628520433,0.359197001422655,0.265370138093367,0.258102273738698,0.155503862185273,46.3067205192779,7.88222521281868,13.5085595106723,27.0199053949191,11.3950037932889,32.0315821408473,2595484676.17105,331826379.123169,0.00982142857142857,1.89007555065287,0.529079379739388,0.225372997737076,0.17104640024017,0.14762496897249,0.167410148192198,0.127847558557999,0.151685005819907,1.27066189306256,2.16840737775531,-0.0395625896341983,0,0,53.8699004825558,53.8699004825558,54.4161707368156,13.5986105667718,6.59260943159589,14.8016951304095,59.9886979841542,6.62874205433719,38.7540576418424,44.9025805083992,0.129391892156348,0.20710297017216,6.41223292297784,0,0.21748245612049,0.188324069778914,0.170344670466383,0.0696134825839723,0.10803267275816,0
2013,0,641281186,641281186,15651.72831362,37449.413641396,13502.575067713,4539.75305185236,3352.04261066845,3352.04261066845,3310.69173940922,3354,0,0.823088876345317,0.968434517315507,1.22389214988411,0.119908245876656,0.062042837509136,0.166381694340065,0.0860890954659945,0.714581970879066,0.369738484472644,0.858381038610204,0.444142893677208,0.208693219989794,0.218255973140815,0.115809118686866,48.1181187166579,7.58550021768913,12.2338586920044,29.8352309920459,11.0192323064516,33.1239046286645,2860703322.80631,259291852.411793,0.0102678571428571,1.45740983072541,0.686148795567173,0.244237380719146,0.13620801280769,0.114486756982478,0.136492123516869,0.0906391971319244,0.167184882327661,1.29383307221297,2.33154515836961,-0.0458529263849443,0,0,66.8249261769769,66.8249261769769,67.6595761947839,14.3115185436152,5.98140206265857,16.5894282295548,49.3418909446189,6.00500711364738,44.0870326926048,52.4515434965673,0.102184632053586,0.194440728501603,0.302891326128863,0.374508426644984,-0.101371556257519,-0.218591803650584,-0.193865170312517,0.0944427087276667,-0.0498134038397029,0
2014,0,641281186,641281186,18045.3599677038,38377.6694228076,15951.8887179625,4521.38141833932,4096.70950084134,4096.70950084134,4045.8234854944,3784,0,0.828708355017533,0.959365411227883,1.29682492983306,0.0730518831174094,0.0419044857937069,0.108076037829118,0.0619952641682294,0.652751362534827,0.37443538798584,0.743295060987961,0.426373640137958,0.233266531205731,0.226737262156811,0.127629777650544,44.8238169415913,8.14299238450892,10.1852284245219,35.8362115002965,10.1050752858899,36.1204632002754,2931611359.54425,334491893.133413,0.0111607142857143,1.63868380033653,0.610245856946063,0.251287788252062,0.142743825824557,0.11905110098112,0.14609132858196,0.114098307077584,0.17132888135182,1.19562624935283,2.18522348733297,-0.0319930215043766,0,0,54.6780287823673,54.6780287823673,55.3657372357231,12.4131632952126,5.83672753892862,14.0422243384739,49.5423808067655,5.6170910602671,39.3508512737421,47.1821849103092,0.0247869243107599,0.0543694780931516,-0.0596082375711209,-0.0884016037025159,0.0968580415372984,0.290020839537185,0.222153169474295,0.122226998694745,0.244134149508065,0
2015,0,641281186,641281186,20379.5917207417,42328.2363180759,20355.6699758224,3364.72525014323,5317.94142706067,5317.94142706067,5274.94335928171,4864,0,1.17401364731627,1.33452777572447,1.80397104577124,0.0434030659458525,0.0282984130326717,0.118176389391376,0.0770499549934807,0.480614113050974,0.313356127823206,0.533763250106707,0.348008892552075,0.256873634969736,0.264816704357609,0.157368501427649,46.2895631837682,7.88514677814005,10.1857407759256,35.834408908451,11.6924634294504,31.2166894685902,3233389111.05944,428838132.957594,0.0129032258064516,1.77264714235356,0.564128063677858,0.278428369131545,0.162084867519942,0.138682473771481,0.164675795379762,0.132628062453356,0.182056930400327,1.25257699973065,2.04458963567259,-0.0320477329264053,0,0,43.719924935034,43.719924935034,44.0763026565767,11.4084719255376,5.4927873264758,11.4218790281112,69.0992526031962,5.26165747480213,32.462360955163,37.9403202993929,0.102939207999966,0.222063225080529,0.36650454985225,0.427783396628442,0.243245530695697,0.282058374988929,0.298100689338244,-0.00908047179893867,0.126291896242297,0
