Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,166270275280,0,166270275280,-140770164310,25500110970,67108983146,-33640030418,-675538407,-5966022915,-15057116490,37945924293,0,0,0,0,37945924293,-14917830067,0,-14917830067,23028094226,0,23028094226,359,0
2010,1,225443681729,-30432625,225413249104,-181699794370,43713454734,11550364300,3820537452,0,-6758332486,-7076532793,45249491207,5000000,0,5000000,-11852102465,33402388742,-6789175868,0,-6789175868,26613212874,193029238,26420183636,415,0
2010,2,192704367385,0,192704367385,-156925511433,35778855952,19740356112,14537739841,0,-8468880856,-8777063089,52811007960,0,0,0,4199624388,57010632348,-7734202296,0,-7734202296,49276430052,395783711,48880646341,761,0
2010,3,197907243805,-667394617,197239849188,-166443671374,30796177814,49415268760,-10301648301,0,-5633434790,-4748007854,59528355629,41218920,0,41218920,-3357129059,56212445490,-5880628578,0,-5880628578,50331816912,284117111,50047699801,778,0
2010,4,188302713006,0,188302713006,-161553873143,26748839863,-18783424006,-9799371664,-375423919,-5005371689,-4080361289,-10919688785,228200938,0,228200938,-2866011118,-13557498965,803322036,0,803322036,-12754176929,1424225642,-14178402571,-220,0
2011,1,130256221786,0,130256221786,-110066780569,20189441217,12710128591,-45026951698,-1273279397,-5084483584,-7097125119,-24308990593,0,0,0,2535790849,-21773199744,-3241486,0,-3241486,-21776441230,801101684,-22577542914,0,0
2011,2,167307256324,-1597515914,165709740410,-147250822988,18458917422,8309358762,-91645860645,-1207195721,-9574458381,-11525070281,-85977113123,0,0,0,-1950033807,-87927146930,1604942482,-1604700996,241486,-87926905444,455249350,-88382154794,0,0
2011,3,151397957008,0,151397957008,-128089428837,23308528171,6200101421,-9669611662,-2657125594,-6103836995,-12904627287,830553648,1015954997,-160533865,855421132,-29848078,1656126702,24030628,0,24030628,1680157330,844152423,836004907,6,0
2011,4,284590635868,0,284590635868,-253467707201,31122928667,4139497469,-71898682840,-5094355890,-12232013978,-21191755154,-70060025836,280053985,0,280053985,-5203295299,-74983267150,-1669482847,0,-1669482847,-76652749997,-106921680,-76545828317,-585,0
2012,1,115621824677,0,115621824677,-98275815495,17346009182,2325107101,32719264615,-7198154707,-5561728181,-9442839643,37385813074,745903175,-562827545,183075630,696474957,38265363661,-671432134,0,-671432134,37593931527,13729647,37580201880,287,0
