Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,120188384422,-5832137707,114356246715,-89549861911,24806384804,2808903877,-578447250,-430545077,-2615613833,-21574260399,2846967199,250312683,-694720,249617963,-2197888756,898696406,-587995524,0,-587995524,310700882,217099152,93601730,10,0
2010,1,63882807871,-4923936965,58958870906,-48045499499,10913371407,3108375746,-1915754899,-491161794,-1905582128,-9124597286,1075812840,4254493046,-955682435,3298810611,0,4374623451,-1039946588,0,-1039946588,3334676863,91432919,3243243944,341,0
2010,2,77853352092,-13196859441,64656492651,-54165565980,10490926671,3382564082,-1588689674,-1411596055,-1095378524,-12075512935,-886090380,4607772833,-2055501,4605717332,122233767,3841860719,-947274351,0,-947274351,2894586368,-115750613,3010336981,314,0
2010,3,135213228432,-11046720358,124166508074,-106542806253,17623701821,1276297742,-2122257519,-1898742874,-1565388269,-10394450459,4817903316,298581771,-27272727,271309044,-41691182,5047521178,-1189492341,0,-1189492341,3858028837,104684901,3753343936,395,0
2010,4,150638102095,-6193317340,144444784755,-118065215395,26379569360,5008859545,-15548002839,-2025815462,-2493343143,-16765577350,-3418494427,6877396605,-162211495,6715185110,-167613017,3129077666,-1077018262,0,-1077018262,2052059404,-319633814,2371693218,246,0
2011,1,114443792012,0,114443792012,-101081855693,13361936319,5515096719,-3500716059,-2608071689,-2052845905,-10610111372,2713359702,0,-33006352,-33006352,15023755,2695377105,-857309278,0,-857309278,1838067827,-236674656,2074742483,215,0
2011,2,76574965996,0,76574965996,-69875962016,6699003980,5964833147,-4924524319,-2712576932,-1827485210,-11793469189,-5881641591,4523362943,0,4523362943,-75849825,-1434128473,522001345,0,522001345,-912127128,-461305474,-450821654,-47,0
2011,3,124148935810,-32794396,124116141414,-109149184631,14966956783,2204053811,-2521171238,-1848570486,-2577392189,-10846451141,1225996026,8333333,-30000000,-21666667,0,1204329359,-628549265,0,-628549265,575780094,-364537976,940318070,97,0
2011,4,146843381733,-18121260,146825260473,-120112706295,26712554178,3462074092,-2025319259,-570170379,-3562008490,-21344166499,3243134022,2663883095,-50025408,2613857687,87555519,5944547228,-793356499,0,-793356499,5151190729,-771554111,5922744840,615,0
2012,1,113294408929,-113671594,113180737335,-99765514317,13415223018,782213806,-1235652809,-553309746,-1934790776,-10654524534,372468705,1261069340,-59202894,1201866446,0,1574335151,-541748934,0,-541748934,1032586217,-111891219,1144477436,120,0
